time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.2795,-0.1416,-0.3253,0.452
0.002000,-0.3007,0.0315,0.0048,0.302
0.004000,-0.2515,0.1446,0.4023,0.496
0.011000,-0.1634,0.2833,0.7731,0.839
0.014000,-0.0115,0.4409,1.1784,1.258
0.019000,0.1425,0.5023,1.6909,1.770
0.025000,0.2289,0.4106,2.1332,2.184
0.029000,0.2930,0.4114,2.4733,2.524
0.034000,0.3152,0.4055,2.7788,2.826
0.039000,0.3780,0.3712,2.9630,3.010
0.045000,0.3653,0.3295,3.0622,3.102
0.050000,0.3787,0.3796,2.9934,3.041
0.054000,0.3895,0.3955,2.9648,3.016
0.061000,0.4184,0.4365,2.7412,2.807
0.065000,0.4356,0.4393,2.3913,2.470
0.070000,0.4726,0.4163,2.0275,2.123
0.075000,0.4707,0.3564,1.6437,1.746
0.080000,0.4873,0.2351,1.2277,1.342
0.085000,0.4475,0.0220,0.8557,0.966
0.090000,0.3697,-0.0290,0.5021,0.624
0.095000,0.3291,-0.0479,0.1676,0.372
0.100000,0.2271,0.0100,-0.1267,0.260
0.105000,0.1000,0.0411,-0.3190,0.337
0.110000,0.0157,0.1470,-0.3715,0.400
0.115000,-0.0586,0.1928,-0.3814,0.431
0.120000,-0.1065,0.1301,-0.4623,0.492
0.125000,-0.1887,0.0671,-0.5281,0.565
0.130000,-0.2241,-0.0033,-0.4799,0.530
0.135000,-0.2380,-0.1120,-0.4493,0.521
0.140000,-0.1492,-0.1569,-0.3826,0.440
0.146000,-0.0800,-0.1664,-0.2484,0.310
0.150000,0.0557,-0.1704,-0.1030,0.207
0.156000,0.2377,-0.1063,-0.0214,0.261
0.161000,0.4683,-0.0478,0.0113,0.471
0.165000,0.5802,-0.0178,-0.0167,0.581
0.171000,0.6405,0.0025,-0.0480,0.642
0.176000,0.6275,-0.0848,-0.0394,0.634
0.181000,0.5948,-0.1280,0.0554,0.611
0.186000,0.5230,-0.1068,0.1408,0.552
0.190000,0.3869,-0.0130,0.1141,0.404
0.196000,0.2710,0.0202,-0.0278,0.273
0.201000,0.1993,-0.0470,-0.1796,0.272
0.206000,0.0913,-0.1554,-0.3510,0.395
0.212000,-0.0053,-0.2684,-0.4263,0.504
0.216000,-0.0606,-0.3220,-0.4551,0.561
0.221000,-0.1409,-0.4292,-0.5591,0.719
0.226000,-0.2151,-0.4654,-0.5798,0.774
0.231000,-0.2595,-0.4830,-0.5614,0.785
0.236000,-0.2655,-0.4664,-0.5101,0.740
0.242000,-0.2108,-0.3622,-0.4429,0.610
0.246000,-0.1202,-0.1662,-0.3379,0.395
0.251000,-0.0042,0.0557,-0.1991,0.207
0.256000,0.1301,0.1162,-0.2294,0.288
0.262000,0.1990,0.0610,-0.1501,0.257
0.266000,0.2827,0.0537,-0.0905,0.302
