time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.5229,0.0736,-1.0769,1.199
0.003000,-0.5474,0.2713,-0.9212,1.105
0.004000,-0.3847,0.4445,-0.5203,0.785
0.008000,-0.2097,0.5177,-0.0916,0.566
0.012000,-0.0358,0.5206,0.2663,0.586
0.023000,0.1719,0.4610,0.5455,0.735
0.024000,0.3639,0.3781,0.7080,0.881
0.027000,0.5137,0.3472,0.8604,1.061
0.032000,0.5408,0.3111,0.8519,1.056
0.037000,0.5460,0.2674,0.7462,0.963
0.042000,0.4784,0.1791,0.6043,0.791
0.047000,0.3398,0.1305,0.3686,0.518
0.055000,0.2120,0.1170,0.0846,0.257
0.058000,0.1084,0.1567,-0.1569,0.247
0.063000,0.0665,0.2224,-0.2845,0.367
0.071000,0.1244,0.2738,-0.4000,0.500
0.072000,0.2173,0.3149,-0.5025,0.632
0.078000,0.2558,0.3280,-0.5777,0.712
0.083000,0.3071,0.2922,-0.6103,0.743
0.088000,0.3010,0.2401,-0.5849,0.700
0.093000,0.2616,0.2100,-0.4717,0.579
0.098000,0.2502,0.1668,-0.3641,0.472
0.103000,0.2687,0.1463,-0.2940,0.424
0.108000,0.2858,0.0675,-0.2050,0.358
0.113000,0.2740,-0.0114,-0.1004,0.292
0.120000,0.2036,-0.0284,-0.0318,0.208
0.123000,0.2315,-0.0912,-0.0551,0.255
0.128000,0.1998,-0.0768,-0.0865,0.231
0.133000,0.1433,0.0570,-0.0843,0.176
0.138000,0.0964,0.1115,-0.0174,0.148
0.144000,0.0930,0.1897,0.0518,0.218
0.149000,0.1412,0.1490,0.0649,0.215
0.164000,0.2374,0.0243,0.0459,0.243
0.165000,0.2909,-0.0619,-0.0101,0.298
0.166000,0.2209,-0.2142,-0.0807,0.318
0.170000,0.1386,-0.3511,-0.1122,0.394
0.177000,0.0679,-0.3204,-0.1416,0.357
0.179000,0.0238,-0.3033,-0.1451,0.337
0.184000,0.0176,-0.2859,-0.1319,0.315
0.189000,-0.0134,-0.2219,-0.0339,0.225
0.194000,-0.0563,-0.1659,0.0201,0.176
0.199000,-0.0392,-0.1375,0.0600,0.155
0.205000,-0.0055,-0.1007,0.0717,0.124
0.209000,0.0436,-0.1320,0.0169,0.140
0.214000,0.0495,-0.2228,-0.0459,0.233
0.220000,0.0043,-0.2827,-0.0751,0.293
0.225000,-0.0414,-0.3233,-0.1305,0.351
0.229000,-0.1004,-0.2895,-0.1788,0.355
0.235000,-0.1479,-0.2852,-0.1411,0.351
0.240000,-0.1838,-0.2267,-0.0809,0.303
0.245000,-0.1803,-0.1096,0.0378,0.214
0.249000,-0.1276,0.0179,0.2018,0.239
0.264000,-0.0357,0.2181,0.3705,0.431
0.265000,0.0632,0.3089,0.4937,0.586
0.265000,0.1860,0.3093,0.6003,0.700
0.271000,0.3230,0.2255,0.6054,0.722
0.275000,0.3841,0.1250,0.5435,0.677
0.279000,0.3338,0.0178,0.4243,0.540
0.285000,0.2534,-0.0567,0.2751,0.378
0.290000,0.0994,-0.0577,0.1308,0.174
0.295000,-0.0149,-0.0261,0.0069,0.031
0.300000,-0.0665,0.0030,-0.1181,0.136
0.304000,-0.1240,0.0127,-0.1675,0.209
0.310000,-0.1961,0.0171,-0.2023,0.282
0.315000,-0.1476,0.0412,-0.1794,0.236
0.321000,-0.1063,0.0841,-0.1302,0.188
0.325000,-0.0538,0.0390,-0.0831,0.106
0.330000,0.0197,0.0794,-0.0383,0.090
0.335000,0.0858,0.0930,-0.0770,0.148
0.340000,0.0657,0.0851,-0.0846,0.137
0.345000,0.0605,0.1027,-0.0504,0.129
0.350000,0.0549,0.1603,-0.0453,0.175
0.364000,0.0314,0.0952,-0.0583,0.116
0.365000,0.0014,0.0967,-0.1194,0.154
0.366000,-0.0124,0.0737,-0.1292,0.149
0.370000,-0.0559,0.0441,-0.1321,0.150
0.379000,-0.1281,0.0112,-0.0657,0.144
0.380000,-0.1549,-0.0264,-0.0269,0.159
0.387000,-0.1326,-0.0318,0.0705,0.154
0.391000,-0.0911,-0.0173,0.0854,0.126
0.396000,-0.0376,0.0106,0.0851,0.094
0.401000,-0.0117,0.0378,0.0636,0.075
0.405000,0.0320,0.0221,-0.0352,0.052
0.411000,0.0326,0.0057,-0.1240,0.128
0.416000,-0.0183,-0.0157,-0.2102,0.212
0.422000,-0.0571,-0.0108,-0.2820,0.288
0.426000,-0.0687,-0.0187,-0.4171,0.423
0.431000,-0.1344,-0.0119,-0.4865,0.505
0.437000,-0.1634,0.0194,-0.4879,0.515
0.441000,-0.1245,0.0263,-0.4824,0.499
0.446000,-0.1254,0.0663,-0.3888,0.414
0.451000,-0.0711,0.1118,-0.3052,0.333
0.456000,0.0023,0.1233,-0.2435,0.273
0.461000,0.0140,0.1020,-0.1762,0.204
0.466000,0.0454,0.0599,-0.1008,0.126
0.481000,0.0271,0.0375,-0.0485,0.067
0.482000,0.0106,-0.0179,0.0107,0.023
0.482000,-0.0101,-0.0612,0.0065,0.062
0.488000,-0.0891,-0.0851,0.0046,0.123
0.492000,-0.1383,-0.1020,0.0698,0.185
0.497000,-0.2021,-0.0988,0.0560,0.232
0.515000,-0.1644,-0.0898,0.0460,0.193
0.518000,-0.1484,-0.0834,0.1233,0.210
0.519000,-0.1374,-0.0747,0.1551,0.220
0.519000,-0.1096,-0.0304,0.1618,0.198
0.526000,-0.0816,-0.0283,0.2356,0.251
0.527000,-0.0467,-0.0711,0.2562,0.270
0.532000,-0.0650,-0.0638,0.2207,0.239
0.538000,-0.0616,-0.0601,0.1500,0.173
0.541000,-0.0926,-0.0457,0.1178,0.157
0.547000,-0.0628,0.0384,0.1097,0.132
0.555000,-0.0110,0.0704,0.1125,0.133
0.557000,-0.0181,0.1208,0.1427,0.188
0.562000,-0.0005,0.1215,0.1290,0.177
0.567000,0.0582,0.1395,0.1191,0.192
0.572000,0.1150,0.1083,0.1321,0.206
0.577000,0.1247,0.0463,0.0951,0.164
0.582000,0.1059,0.0440,0.0894,0.145
0.587000,0.1077,0.1081,0.0517,0.161
0.592000,0.1016,0.1324,0.0155,0.168
0.597000,0.1052,0.1613,-0.0334,0.195
0.603000,0.0730,0.1508,-0.0843,0.188
0.607000,0.0872,0.1630,-0.1348,0.229
0.612000,0.0680,0.1383,-0.1255,0.199
0.618000,0.0488,0.1293,-0.1412,0.198
0.622000,0.0605,0.0930,-0.1450,0.183
0.628000,0.0638,0.0796,-0.1665,0.195
0.633000,0.0860,0.1257,-0.1570,0.219
0.638000,0.1044,0.1158,-0.1607,0.224
0.643000,0.1061,0.1167,-0.2000,0.255
0.648000,0.1056,0.1260,-0.1986,0.258
0.665000,0.1547,0.1888,-0.2080,0.321
0.666000,0.1370,0.1860,-0.1486,0.275
0.666000,0.1445,0.1719,-0.1311,0.260
0.668000,0.1594,0.1643,-0.1258,0.261
0.672000,0.1618,0.1605,-0.0568,0.235
0.680000,0.1633,0.1699,-0.0798,0.249
0.682000,0.1333,0.1342,-0.1074,0.218
0.698000,0.1144,0.1215,-0.0838,0.187
0.699000,0.0462,0.0720,-0.1328,0.158
0.699000,0.0192,0.0669,-0.1291,0.147
0.710000,-0.0383,0.0477,-0.1813,0.191
0.712000,-0.1012,0.0490,-0.2628,0.286
0.716000,-0.1177,0.1251,-0.3306,0.373
0.718000,-0.1118,0.1403,-0.3089,0.357
0.723000,-0.1125,0.1778,-0.3241,0.386
0.728000,-0.0425,0.1795,-0.3452,0.391
0.733000,-0.0128,0.1495,-0.3342,0.366
0.742000,-0.0158,0.1222,-0.3127,0.336
0.743000,0.0001,0.1073,-0.3104,0.328
0.748000,0.0279,0.1297,-0.2810,0.311
0.759000,0.0006,0.1035,-0.2306,0.253
0.760000,-0.0455,0.1060,-0.1675,0.203
0.764000,-0.0784,0.1319,-0.1345,0.204
0.778000,-0.1256,0.1513,-0.0839,0.214
0.779000,-0.1406,0.1081,-0.0488,0.184
0.779000,-0.1543,0.0886,-0.0483,0.184
0.784000,-0.1095,0.0889,-0.0476,0.149
0.790000,-0.1240,0.1115,-0.0503,0.174
0.794000,-0.1156,0.1123,-0.0518,0.169
0.799000,-0.1423,0.0454,-0.0936,0.176
0.813000,-0.1848,0.0481,-0.1932,0.272
0.814000,-0.1948,0.0855,-0.3385,0.400
0.815000,-0.2189,0.1197,-0.3201,0.406
0.820000,-0.2262,0.1506,-0.2535,0.372
0.824000,-0.1760,0.0955,-0.2613,0.329
0.831000,-0.1459,0.1081,-0.3264,0.373
0.834000,-0.1634,0.1036,-0.2831,0.343
0.839000,-0.1315,0.1247,-0.2132,0.280
0.845000,-0.0995,0.1402,-0.1987,0.263
0.850000,-0.1184,0.1288,-0.1738,0.247
0.863000,-0.1559,0.1546,-0.1420,0.262
0.864000,-0.1492,0.1470,-0.1640,0.266
0.864000,-0.1791,0.1072,-0.1489,0.256
0.871000,-0.1789,0.0769,-0.1492,0.245
0.878000,-0.1554,0.0821,-0.1696,0.244
0.881000,-0.1821,0.0596,-0.1445,0.240
0.885000,-0.1529,0.0308,-0.1895,0.245
0.891000,-0.1149,0.0099,-0.1840,0.217
0.895000,-0.1177,0.0113,-0.1653,0.203
0.900000,-0.1031,-0.0389,-0.1988,0.227
0.905000,-0.0626,-0.0665,-0.2687,0.284
0.910000,-0.0568,-0.0646,-0.2998,0.312
0.915000,-0.0691,-0.0631,-0.3709,0.383
0.921000,-0.1217,-0.0129,-0.4272,0.444
0.925000,-0.0875,-0.0035,-0.4213,0.430
0.930000,-0.0823,0.0521,-0.4297,0.441
0.935000,-0.0926,0.1026,-0.4547,0.475
0.940000,-0.1052,0.1114,-0.4890,0.512
0.946000,-0.1142,0.1275,-0.5018,0.530
0.950000,-0.0972,0.1450,-0.5396,0.567
0.956000,-0.1732,0.1177,-0.5511,0.590
0.960000,-0.1717,0.1252,-0.5756,0.614
0.965000,-0.2002,0.1363,-0.5513,0.602
0.971000,-0.2078,0.1414,-0.5106,0.569
0.976000,-0.2172,0.1311,-0.4893,0.551
0.981000,-0.1806,0.1291,-0.4325,0.486
0.988000,-0.1697,0.1896,-0.4104,0.483
0.991000,-0.1736,0.1934,-0.3493,0.435
0.996000,-0.1812,0.1684,-0.2648,0.362
1.001000,-0.0830,0.1386,-0.2058,0.262
1.006000,-0.0434,0.1745,-0.1664,0.245
1.011000,-0.0120,0.1473,-0.1463,0.208
1.016000,0.0148,0.1396,-0.0968,0.171
1.022000,0.0123,0.1858,-0.0657,0.197
1.027000,0.0151,0.2311,-0.0801,0.245
1.032000,-0.0003,0.2031,-0.0448,0.208
1.040000,0.0086,0.2283,0.0457,0.233
1.042000,0.0300,0.2578,0.0426,0.263
1.047000,0.0260,0.2567,0.1022,0.278
1.052000,0.0630,0.2833,0.1315,0.319
1.060000,0.0729,0.3053,0.1320,0.341
1.061000,0.0783,0.3107,0.1206,0.342
1.089000,0.0496,0.2878,0.1935,0.350
1.090000,0.0333,0.2405,0.1909,0.309
1.091000,0.0402,0.2130,0.1824,0.283
1.091000,0.0472,0.2698,0.2085,0.344
1.092000,0.0699,0.2371,0.2584,0.358
1.092000,0.1047,0.2861,0.2949,0.424
1.096000,0.1217,0.2647,0.3398,0.448
1.102000,0.1271,0.2746,0.3917,0.495
1.107000,0.1434,0.2216,0.4219,0.498
1.112000,0.1336,0.2048,0.4496,0.512
1.117000,0.1242,0.1561,0.5297,0.566
1.122000,0.1272,0.0852,0.5642,0.585
1.127000,0.0947,0.0207,0.5927,0.601
1.132000,0.0773,-0.0852,0.5971,0.608
1.138000,0.0581,-0.1192,0.6469,0.660
1.142000,0.0468,-0.1960,0.6525,0.683
1.148000,0.0193,-0.2346,0.6247,0.668
1.153000,0.0164,-0.2612,0.6006,0.655
1.160000,0.0285,-0.2579,0.5813,0.637
1.163000,0.0804,-0.2740,0.5431,0.614
1.168000,0.1183,-0.2794,0.4393,0.534
1.190000,0.1278,-0.2979,0.3954,0.511
1.191000,0.1336,-0.2673,0.3457,0.457
1.191000,0.1556,-0.1988,0.2746,0.373
1.192000,0.1815,-0.1448,0.2013,0.307
1.193000,0.2266,-0.1222,0.1103,0.280
1.198000,0.2299,-0.0712,0.0208,0.242
1.203000,0.2665,0.0071,-0.0806,0.279
1.208000,0.3385,-0.0001,-0.1732,0.380
1.213000,0.4066,0.0642,-0.2346,0.474
1.218000,0.4454,0.0956,-0.2813,0.535
1.223000,0.4803,0.0729,-0.3674,0.609
1.228000,0.4860,0.1155,-0.4257,0.656
1.233000,0.5534,0.1458,-0.4635,0.736
1.239000,0.5413,0.1843,-0.5311,0.780
1.244000,0.5213,0.1892,-0.6249,0.835
1.249000,0.5254,0.1437,-0.6241,0.828
1.254000,0.4952,0.1259,-0.6737,0.846
1.258000,0.5192,0.1743,-0.7126,0.899
1.263000,0.5424,0.2255,-0.6464,0.873
1.269000,0.5579,0.2875,-0.6031,0.870
1.277000,0.5908,0.3315,-0.6113,0.912
1.279000,0.6098,0.3588,-0.6410,0.955
1.287000,0.6186,0.3655,-0.5678,0.916
1.311000,0.6613,0.4391,-0.6059,0.999
1.312000,0.6951,0.4768,-0.5472,1.005
1.313000,0.7594,0.5648,-0.5675,1.104
1.313000,0.7802,0.5742,-0.5760,1.127
1.314000,0.7900,0.6138,-0.5547,1.144
1.314000,0.8426,0.7183,-0.5886,1.254
1.319000,0.8803,0.7577,-0.5867,1.301
1.324000,0.9070,0.7752,-0.6138,1.342
1.329000,0.9213,0.8192,-0.6222,1.381
1.334000,0.9568,0.8194,-0.6120,1.400
1.339000,0.9525,0.8219,-0.5856,1.388
1.345000,0.9636,0.8085,-0.5276,1.364
1.350000,0.9768,0.8295,-0.4212,1.349
1.354000,0.9827,0.8643,-0.2712,1.336
1.359000,0.9739,0.8666,-0.0882,1.307
1.364000,0.9770,0.8807,0.0371,1.316
1.370000,0.9596,0.9056,0.1287,1.326
1.383000,0.9589,0.9018,0.2550,1.341
1.386000,0.9737,0.8564,0.3253,1.337
1.387000,0.9395,0.8184,0.3515,1.295
1.394000,0.9139,0.8329,0.3818,1.294
1.395000,0.8863,0.8209,0.3419,1.255
1.400000,0.8349,0.7858,0.2608,1.176
1.406000,0.7403,0.8391,0.1836,1.134
1.409000,0.6790,0.9195,0.1764,1.157
1.415000,0.6548,0.9364,0.1264,1.150
1.419000,0.6459,1.0440,0.0350,1.228
1.425000,0.6237,1.0606,0.0253,1.231
1.430000,0.6241,1.1062,-0.0344,1.271
1.435000,0.6184,1.1435,-0.0913,1.303
1.441000,0.6009,1.1166,-0.1324,1.275
1.445000,0.5593,1.1321,-0.1661,1.274
1.451000,0.4928,1.1531,-0.2271,1.274
1.461000,0.4683,1.1831,-0.3010,1.308
1.463000,0.4344,1.1983,-0.3293,1.316
1.465000,0.4281,1.1926,-0.3766,1.322
1.470000,0.3943,1.1781,-0.4213,1.312
1.491000,0.3700,1.1978,-0.5220,1.358
1.493000,0.3766,1.2037,-0.5686,1.384
1.494000,0.3255,1.2164,-0.6618,1.423
1.494000,0.2849,1.2360,-0.6411,1.421
1.496000,0.3070,1.2660,-0.6935,1.476
1.501000,0.3214,1.2383,-0.7194,1.468
1.506000,0.3351,1.2634,-0.6413,1.456
1.511000,0.4069,1.2777,-0.6100,1.473
1.516000,0.4457,1.3052,-0.4975,1.466
1.521000,0.4706,1.2956,-0.3935,1.433
1.526000,0.4977,1.2895,-0.2549,1.406
1.531000,0.5007,1.3347,-0.1417,1.433
1.536000,0.5418,1.3674,-0.0057,1.471
1.541000,0.5614,1.3412,0.1015,1.457
1.546000,0.5657,1.3195,0.2672,1.460
1.551000,0.5933,1.2903,0.4054,1.477
1.559000,0.5726,1.2390,0.5136,1.458
1.561000,0.5372,1.1849,0.6112,1.437
1.565000,0.4899,1.1254,0.6670,1.397
1.581000,0.4639,1.0548,0.7599,1.380
1.582000,0.4475,1.0174,0.8075,1.374
1.583000,0.3940,0.9423,0.8731,1.344
1.586000,0.3751,0.8606,0.9604,1.343
1.592000,0.3201,0.8056,1.0108,1.332
1.597000,0.2792,0.7511,1.0303,1.305
1.602000,0.2476,0.6667,1.1876,1.384
1.606000,0.1883,0.6135,1.2279,1.385
1.611000,0.1063,0.6353,1.3116,1.461
1.617000,0.0302,0.7102,1.3969,1.567
