time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.9079,-0.0316,-1.2133,1.516
0.005000,-0.7888,0.2450,-0.7446,1.112
0.006000,-0.6068,0.5111,-0.1396,0.806
0.010000,-0.3740,0.7063,0.4681,0.926
0.015000,-0.1021,0.8313,1.0877,1.373
0.025000,0.1523,0.7728,1.4756,1.673
0.026000,0.3224,0.7326,1.6694,1.851
0.030000,0.2408,0.7995,1.9586,2.129
0.036000,0.1334,0.8270,2.0815,2.244
0.040000,0.1281,0.7442,1.8838,2.029
0.045000,0.1642,0.5880,1.6392,1.749
0.050000,0.1453,0.4215,1.4941,1.559
0.055000,0.1140,0.1918,1.3573,1.375
0.060000,-0.0319,-0.0727,1.1615,1.164
0.065000,-0.0940,-0.3591,0.9233,0.995
0.078000,-0.1142,-0.6419,0.5699,0.866
0.079000,-0.1023,-0.8295,0.1573,0.850
0.080000,-0.0376,-1.0668,-0.4090,1.143
0.085000,-0.1001,-1.4326,-0.9218,1.707
0.091000,-0.2662,-1.1900,-0.9309,1.534
0.095000,-0.3652,-0.6584,-0.8561,1.140
0.100000,-0.3838,-0.1539,-0.5801,0.712
0.106000,-0.3255,0.2674,-0.2429,0.486
0.111000,-0.1750,0.5885,-0.1436,0.631
0.116000,-0.0280,0.8349,-0.0958,0.841
0.121000,0.1036,0.9334,-0.3436,1.000
0.126000,0.1842,0.9295,-0.6150,1.130
0.131000,0.2325,0.9118,-0.7254,1.188
0.137000,0.2481,0.8108,-0.7979,1.164
0.141000,0.1598,0.5800,-0.9053,1.087
0.146000,0.0965,0.3296,-1.0094,1.066
0.152000,0.0045,0.1185,-1.0827,1.089
0.156000,-0.0268,-0.1419,-1.0862,1.096
0.162000,-0.0530,-0.3285,-1.0533,1.105
0.167000,-0.0996,-0.5417,-0.8722,1.032
0.183000,-0.0728,-0.6853,-0.6075,0.919
0.184000,-0.0463,-0.7198,-0.3140,0.787
0.184000,0.0740,-0.6333,-0.0640,0.641
0.188000,0.1064,-0.6315,0.5191,0.824
0.192000,0.1577,-0.6397,1.0003,1.198
0.197000,0.2579,-0.5748,0.8418,1.051
0.202000,0.2981,-0.6715,0.5170,0.898
0.207000,0.2511,-0.8232,0.5338,1.013
0.211000,0.2330,-0.7683,0.6524,1.035
0.216000,0.2090,-0.6763,0.4476,0.837
0.222000,0.1496,-0.7170,0.1765,0.753
0.226000,0.1539,-0.6864,0.0538,0.705
0.232000,0.0910,-0.5542,-0.0765,0.567
0.237000,0.0283,-0.4034,-0.2445,0.473
0.242000,-0.0293,-0.3237,-0.4433,0.550
0.247000,-0.0883,-0.1622,-0.5649,0.594
0.255000,-0.1260,-0.0857,-0.5858,0.605
0.257000,-0.1553,-0.0052,-0.5710,0.592
0.263000,-0.1279,-0.0208,-0.5530,0.568
0.268000,-0.0677,0.0464,-0.4853,0.492
0.290000,0.0296,0.0600,-0.2418,0.251
0.290000,0.1458,0.1113,0.0613,0.193
0.291000,0.2624,0.1529,0.3035,0.429
0.291000,0.3986,0.2282,0.5092,0.686
0.303000,0.4162,0.2299,0.6649,0.817
0.304000,0.4960,0.2352,0.8381,1.002
0.304000,0.5125,0.1503,1.0458,1.174
0.308000,0.4692,0.0369,1.1690,1.260
0.312000,0.3789,-0.1389,1.1639,1.232
0.317000,0.1788,-0.3177,1.1897,1.244
0.322000,-0.0084,-0.4428,1.1369,1.220
0.327000,-0.1238,-0.5796,1.0976,1.247
0.332000,-0.2286,-0.6624,1.0553,1.267
0.337000,-0.2791,-0.6962,0.9657,1.223
0.343000,-0.3046,-0.7192,0.8253,1.136
0.348000,-0.2724,-0.6617,0.7200,1.015
0.355000,-0.2260,-0.5525,0.5815,0.833
0.360000,-0.1503,-0.4130,0.5209,0.681
0.363000,-0.1585,-0.2487,0.4398,0.530
0.370000,-0.1241,-0.0953,0.3024,0.340
0.373000,-0.1153,0.0348,0.1791,0.216
0.378000,-0.0891,0.1431,0.0505,0.176
0.384000,-0.0537,0.2651,-0.0048,0.271
0.388000,0.0522,0.2857,-0.0004,0.290
0.393000,0.1418,0.2461,-0.0489,0.288
0.398000,0.1811,0.1579,0.0132,0.241
0.404000,0.1863,0.0797,0.1128,0.232
0.409000,0.1783,-0.0324,0.1888,0.262
0.413000,0.2017,-0.1388,0.2030,0.318
0.418000,0.3032,-0.2883,0.1532,0.446
0.423000,0.2611,-0.2730,0.2294,0.442
0.429000,0.1271,-0.3051,0.2999,0.446
0.434000,0.0758,-0.2702,0.3758,0.469
0.439000,0.0661,-0.2146,0.3390,0.407
0.444000,0.0259,-0.1376,0.2296,0.269
0.449000,-0.0667,-0.0682,0.1946,0.217
0.455000,-0.1234,-0.0008,0.1718,0.212
0.459000,-0.0335,0.0371,0.1112,0.122
0.464000,0.0721,0.0955,0.1071,0.161
0.470000,0.1152,0.0442,0.0402,0.130
0.474000,0.1390,-0.0102,0.0537,0.149
0.479000,0.1283,-0.0356,0.0937,0.163
0.484000,0.1073,-0.0152,0.1543,0.189
0.489000,0.0799,-0.0304,0.1959,0.214
0.494000,0.0975,-0.0214,0.2150,0.237
0.499000,0.0657,0.0155,0.1962,0.207
0.505000,0.0585,0.0430,0.2005,0.213
0.509000,-0.0051,0.0363,0.2646,0.267
0.515000,-0.0055,0.0867,0.2344,0.250
0.521000,0.0165,0.0760,0.2306,0.243
0.525000,0.0290,0.0479,0.2099,0.217
0.529000,0.0602,0.0716,0.2177,0.237
0.535000,0.0930,0.0410,0.2026,0.227
0.539000,0.1251,0.0542,0.2636,0.297
0.545000,0.1769,0.0680,0.2777,0.336
0.550000,0.2437,0.0537,0.3155,0.402
0.556000,0.2386,0.0087,0.3459,0.420
0.560000,0.1976,-0.0251,0.3343,0.389
0.564000,0.1639,-0.0800,0.3561,0.400
0.573000,0.2029,-0.1057,0.3432,0.412
0.575000,0.2344,-0.0966,0.2777,0.376
0.580000,0.2307,-0.0660,0.2482,0.345
0.585000,0.2860,-0.0440,0.1974,0.350
0.590000,0.3139,-0.0341,0.1111,0.335
0.596000,0.3476,0.0042,0.0023,0.348
0.600000,0.3730,0.0426,-0.0298,0.377
0.605000,0.3471,0.1682,-0.1168,0.403
0.610000,0.3370,0.2997,-0.2037,0.495
0.615000,0.3712,0.3707,-0.2011,0.562
0.621000,0.3981,0.3550,-0.1785,0.562
0.625000,0.3603,0.3457,-0.1549,0.523
0.631000,0.3671,0.2821,-0.0933,0.472
0.636000,0.3394,0.1665,-0.1371,0.402
0.641000,0.2809,-0.0049,-0.1570,0.322
0.646000,0.2572,-0.1205,-0.2438,0.374
0.651000,0.1853,-0.1879,-0.2253,0.347
0.665000,0.1788,-0.2192,-0.2190,0.358
0.666000,0.1157,-0.2327,-0.2030,0.330
0.676000,0.1109,-0.2786,-0.0986,0.316
0.679000,0.1141,-0.2984,-0.0088,0.320
0.680000,0.1256,-0.3448,0.0666,0.373
0.685000,0.1553,-0.3507,0.0846,0.393
0.692000,0.1762,-0.3220,0.0740,0.374
0.693000,0.1991,-0.3243,0.0933,0.392
0.695000,0.2254,-0.2847,0.0337,0.365
0.701000,0.2959,-0.2209,-0.0975,0.382
0.705000,0.3185,-0.1842,-0.1962,0.417
0.711000,0.2897,-0.1828,-0.2364,0.416
0.716000,0.2810,-0.1726,-0.3099,0.453
0.722000,0.3039,-0.1299,-0.3739,0.499
0.726000,0.3022,-0.1132,-0.4234,0.532
0.731000,0.3164,-0.1074,-0.4405,0.553
0.736000,0.3241,-0.0779,-0.5135,0.612
0.741000,0.3209,-0.1394,-0.6256,0.717
0.746000,0.3567,-0.2040,-0.7613,0.865
0.751000,0.3821,-0.2633,-0.9363,1.045
0.756000,0.4031,-0.2380,-1.0035,1.107
0.763000,0.3909,-0.0947,-1.0005,1.078
0.766000,0.3517,-0.0524,-1.0731,1.130
0.771000,0.3353,-0.0806,-1.1732,1.223
0.776000,0.3477,-0.0622,-1.2209,1.271
0.781000,0.2958,-0.0431,-1.1361,1.175
0.787000,0.2973,0.0150,-1.0313,1.073
0.792000,0.3311,-0.0505,-1.0617,1.113
0.797000,0.3436,-0.1472,-1.1172,1.178
0.802000,0.3458,-0.2938,-1.2359,1.317
0.806000,0.3154,-0.5225,-1.4142,1.540
0.812000,0.2559,-0.7790,-1.5218,1.729
0.817000,0.1399,-0.9650,-1.6200,1.891
0.822000,0.0432,-1.1713,-1.7398,2.098
0.827000,-0.0015,-1.3876,-1.9399,2.385
0.832000,0.0325,-1.3886,-2.1092,2.526
0.837000,0.0883,-1.3062,-2.2598,2.612
0.842000,0.1676,-1.1820,-2.4706,2.744
0.847000,0.1456,-1.1633,-2.6974,2.941
0.852000,0.0618,-1.1307,-2.8853,3.100
0.857000,0.0154,-1.0586,-3.0968,3.273
0.862000,0.0284,-0.9184,-3.2509,3.378
0.867000,0.0953,-0.7143,-3.2975,3.375
0.876000,0.1571,-0.4862,-3.2080,3.248
0.878000,0.2742,-0.3151,-3.0162,3.045
0.883000,0.3482,-0.2156,-2.8645,2.894
0.895000,0.4369,-0.2574,-2.8015,2.847
0.896000,0.6581,-0.3730,-2.7647,2.866
0.897000,0.7421,-0.3511,-2.6623,2.786
0.903000,0.9174,-0.2948,-2.4261,2.610
0.907000,1.2476,-0.1802,-2.1098,2.458
0.913000,1.3503,-0.0253,-1.7818,2.236
0.918000,1.4137,0.0918,-1.3786,1.977
0.923000,1.3604,0.1952,-0.6019,1.500
0.928000,1.0416,0.3079,0.4773,1.186
0.933000,0.4915,0.3734,1.4543,1.580
0.938000,0.0045,-0.0244,2.1090,2.109
0.943000,-0.3015,-0.5819,2.4948,2.579
0.948000,-0.4767,-1.0726,2.6265,2.877
0.959000,-0.5874,-1.3872,2.6094,3.013
0.961000,-0.6837,-1.7196,3.0489,3.567
0.963000,-0.5751,-1.9237,3.5048,4.039
0.969000,-0.3632,-2.0614,4.1042,4.607
0.981000,-0.1945,-2.1794,4.8434,5.315
0.982000,0.0659,-2.0909,5.3943,5.786
0.984000,0.5186,-1.9367,5.6550,6.000
0.992000,1.2279,-1.6073,5.5844,5.939
0.994000,2.2064,-0.8020,5.3013,5.798
0.999000,1.9790,-0.5559,5.3612,5.742
1.003000,1.7363,-0.4459,5.3896,5.680
1.009000,1.5027,-0.3735,5.5431,5.755
1.014000,1.2550,-0.2578,5.9394,6.076
1.019000,1.1250,-0.1768,6.0751,6.181
1.025000,1.1462,-0.0806,5.6667,5.782
1.030000,1.1865,-0.1946,5.0331,5.175
1.034000,1.0881,-0.5000,4.4636,4.621
1.040000,1.0126,-0.6949,4.1630,4.340
1.044000,0.9402,-0.6990,3.9951,4.163
1.050000,0.8102,-0.5659,3.9283,4.051
1.060000,0.6728,-0.5014,3.8212,3.912
1.062000,0.6939,-0.4500,3.4269,3.525
1.065000,0.6675,-0.4256,2.9754,3.079
1.070000,0.5232,-0.4237,2.6901,2.773
1.078000,0.3399,-0.3664,2.5246,2.574
1.079000,0.2825,-0.2649,2.3285,2.360
1.085000,0.2456,-0.1309,1.9519,1.972
1.090000,0.2077,-0.0206,1.4110,1.426
1.095000,0.0652,0.0425,0.8069,0.811
1.100000,-0.0653,0.4613,-0.7795,0.908
1.105000,-0.1085,1.4185,-2.9339,3.261
1.110000,0.0207,2.5363,-4.5166,5.180
1.116000,-0.2876,3.0257,-3.7766,4.848
1.121000,-1.4368,2.0369,-1.2599,2.793
1.125000,-3.0292,0.3193,1.0519,3.222
1.131000,-2.4829,-0.4780,-0.5797,2.594
1.136000,-1.2093,-0.7805,-2.3368,2.745
1.141000,-1.5415,-1.2130,-0.6835,2.077
1.146000,-1.9975,-1.4168,-0.3313,2.471
1.151000,-1.6200,-1.1085,-1.9162,2.743
1.159000,-1.5267,-0.9869,-2.0302,2.725
1.161000,-1.7211,-0.9113,-1.3579,2.374
1.166000,-1.6920,-0.7402,-1.2620,2.237
1.189000,-1.7789,-0.7091,-1.0549,2.186
1.191000,-1.9938,-0.7897,-0.7422,2.269
1.193000,-2.3013,-0.8452,-0.6787,2.544
1.194000,-2.5568,-0.9681,-0.5155,2.782
1.195000,-2.6723,-1.0772,-0.1627,2.886
1.197000,-2.4419,-1.1505,0.0512,2.700
1.201000,-1.8147,-1.2383,0.0584,2.198
1.208000,-1.2744,-1.3251,0.2414,1.854
1.211000,-0.9628,-1.3678,0.5415,1.758
1.218000,-0.6966,-1.4295,0.8179,1.788
