time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0381,-0.2623,-0.6882,0.738
0.004000,0.1290,0.0046,-0.4212,0.441
0.004000,0.3212,0.1933,-0.0447,0.378
0.005000,0.5256,0.3142,0.4053,0.734
0.011000,0.7128,0.3751,0.8086,1.141
0.014000,0.8865,0.3547,1.0956,1.453
0.021000,0.9591,0.2770,1.2442,1.595
0.025000,0.9601,0.1964,1.2418,1.582
0.029000,0.9821,0.1179,1.1578,1.523
0.034000,1.0108,0.1589,1.0555,1.470
0.038000,1.0534,0.2004,0.9432,1.428
0.044000,1.0050,0.2296,0.7070,1.250
0.049000,0.8851,0.2621,0.4424,1.024
0.054000,0.7270,0.1506,0.1657,0.761
0.059000,0.5586,0.0422,-0.1461,0.579
0.064000,0.3514,-0.0412,-0.3284,0.483
0.072000,0.2824,-0.0753,-0.3133,0.428
0.074000,0.3158,-0.0317,-0.2455,0.401
0.079000,0.3830,0.0232,-0.1979,0.432
0.084000,0.4446,-0.0083,-0.1610,0.473
0.089000,0.4314,0.0052,-0.1610,0.461
0.095000,0.4624,0.0200,-0.2136,0.510
0.100000,0.4449,-0.0042,-0.3070,0.541
0.105000,0.3945,0.0503,-0.3790,0.549
0.110000,0.3615,0.1455,-0.4467,0.593
0.115000,0.3015,0.2441,-0.4011,0.558
0.120000,0.2218,0.3484,-0.4277,0.595
0.125000,0.1080,0.3543,-0.5420,0.656
0.130000,-0.0225,0.3482,-0.5597,0.659
0.135000,-0.1664,0.2953,-0.5945,0.684
0.140000,-0.2271,0.3094,-0.6490,0.754
0.145000,-0.2636,0.3286,-0.6898,0.808
0.150000,-0.2643,0.3184,-0.6978,0.811
0.166000,-0.2127,0.3113,-0.6015,0.710
0.167000,-0.1516,0.3205,-0.4560,0.578
0.168000,-0.0288,0.2981,-0.2039,0.362
0.171000,0.1737,0.3537,0.1070,0.408
0.177000,0.4133,0.4103,0.4182,0.717
0.181000,0.5698,0.4172,0.6570,0.965
0.186000,0.6653,0.3656,0.9123,1.187
0.192000,0.6839,0.3117,1.0549,1.295
0.196000,0.7025,0.2610,1.1521,1.374
0.201000,0.6327,0.1715,1.2603,1.421
0.206000,0.5717,0.0514,1.2780,1.401
0.211000,0.5039,-0.0544,1.2830,1.379
0.216000,0.3790,-0.1187,1.2757,1.336
0.222000,0.3010,-0.1446,1.2611,1.305
0.227000,0.2039,-0.1979,1.1208,1.156
0.231000,0.0775,-0.2436,0.9863,1.019
0.235000,0.0043,-0.2792,0.8075,0.854
0.241000,-0.0912,-0.2745,0.5303,0.604
0.246000,-0.1518,-0.2315,0.2612,0.381
0.251000,-0.1755,-0.1328,0.0679,0.230
0.266000,-0.1024,-0.0271,-0.0796,0.133
0.267000,-0.0058,0.0834,-0.2450,0.259
0.268000,0.0297,0.1927,-0.3468,0.398
0.271000,0.1018,0.2701,-0.4104,0.502
0.278000,0.2021,0.3428,-0.5039,0.642
0.282000,0.2364,0.3918,-0.5126,0.687
0.295000,0.2478,0.4183,-0.5536,0.737
0.296000,0.2425,0.4507,-0.6124,0.798
0.296000,0.2621,0.4522,-0.7036,0.877
0.301000,0.2502,0.4387,-0.8618,0.999
