time,ax,ay,az
2019-11-14 20:11:02.6350,0.06,0.01,0.03
2019-11-14 20:11:02.6810,0.03,0.01,0.06
2019-11-14 20:11:02.7620,-0.01,0.03,-0.0
2019-11-14 20:11:02.8520,-0.06,0.0,0.03
2019-11-14 20:11:02.9430,0.03,-0.03,-0.03
2019-11-14 20:11:03.0330,0.05,-0.03,-0.02
2019-11-14 20:11:03.1230,0.03,0.01,0.01
2019-11-14 20:11:03.2130,0.01,-0.01,0.03
2019-11-14 20:11:03.3040,0.01,-0.01,0.05
2019-11-14 20:11:03.3970,0.01,-0.01,-0.06
2019-11-14 20:11:03.4950,-0.03,0.04,0.02
2019-11-14 20:11:03.5920,-0.0,0.01,-0.01
2019-11-14 20:11:03.6650,0.02,-0.01,0.01
2019-11-14 20:11:03.7570,0.0,-0.0,0.04
2019-11-14 20:11:03.8460,0.0,-0.0,-0.01
2019-11-14 20:11:03.9360,0.03,-0.03,0.0
2019-11-14 20:11:04.0260,-0.0,-0.01,0.0
2019-11-14 20:11:04.1160,0.01,-0.01,0.0
2019-11-14 20:11:04.2070,-0.02,0.02,-0.01
2019-11-14 20:11:04.3010,-0.0,0.01,0.06
2019-11-14 20:11:04.4000,0.01,-0.04,0.1
2019-11-14 20:11:04.5010,0.03,-0.09,0.23
2019-11-14 20:11:04.5680,-0.22,0.41,0.84
2019-11-14 20:11:04.6600,-0.51,0.47,0.64
2019-11-14 20:11:04.7490,-0.8,-0.13,0.04
2019-11-14 20:11:04.8390,-0.5,-0.65,-0.38
2019-11-14 20:11:04.9290,-0.06,-0.95,-0.23
2019-11-14 20:11:05.0190,0.96,3.11,-1.7
2019-11-14 20:11:05.1090,-0.03,-1.6,0.56
2019-11-14 20:11:05.2000,-0.01,1.37,-0.2
2019-11-14 20:11:05.3000,-0.45,0.89,-0.58
2019-11-14 20:11:05.3990,3.08,1.16,0.39
2019-11-14 20:11:05.4710,-0.18,0.25,-0.35
2019-11-14 20:11:05.5650,0.14,-0.04,0.11
2019-11-14 20:11:05.6510,0.03,0.03,0.03
2019-11-14 20:11:05.7410,0.03,0.04,0.03
2019-11-14 20:11:05.8310,0.03,0.04,0.02
2019-11-14 20:11:05.9220,0.03,0.03,0.01
2019-11-14 20:11:06.0120,0.03,0.04,0.02
2019-11-14 20:11:06.1060,0.04,0.04,0.03
2019-11-14 20:11:06.2050,0.02,0.06,0.02
2019-11-14 20:11:06.3030,-0.01,0.05,0.03
2019-11-14 20:11:06.3740,0.05,0.07,0.02
2019-11-14 20:11:06.4660,0.04,-0.01,0.0
2019-11-14 20:11:06.5540,0.02,-0.0,0.08
2019-11-14 20:11:06.6440,-0.09,0.08,0.02
2019-11-14 20:11:06.7340,0.08,-0.02,0.06
2019-11-14 20:11:06.8250,-0.02,0.05,-0.02
2019-11-14 20:11:06.9150,0.05,0.07,0.06
2019-11-14 20:11:07.0090,0.08,0.04,0.06
2019-11-14 20:11:07.1080,-0.03,0.02,0.03
2019-11-14 20:11:07.2080,0.01,0.02,0.02
2019-11-14 20:11:07.2760,0.03,-0.0,0.04
2019-11-14 20:11:07.3680,0.0,0.04,-0.02
2019-11-14 20:11:07.4560,0.01,0.05,0.04
2019-11-14 20:11:07.5470,-0.02,0.03,0.16
2019-11-14 20:11:07.6370,0.06,0.08,0.25
2019-11-14 20:11:07.7280,0.34,0.11,0.22
2019-11-14 20:11:07.8170,0.33,0.14,0.19
2019-11-14 20:11:07.9150,0.16,-0.05,-1.04
2019-11-14 20:11:08.0100,-0.03,0.04,0.11
2019-11-14 20:11:08.1110,-0.06,0.02,0.0
2019-11-14 20:11:08.1790,-0.04,0.0,0.0
2019-11-14 20:11:08.2710,-0.01,0.01,-0.02
