time,ax,ay,az
2019-11-14 19:31:15.7640,-0.02,-0.01,0.01
2019-11-14 19:31:15.8460,-0.03,-0.0,-0.03
2019-11-14 19:31:15.9360,-0.0,-0.02,-0.01
2019-11-14 19:31:16.0260,0.04,-0.01,0.03
2019-11-14 19:31:16.1160,-0.03,0.01,0.0
2019-11-14 19:31:16.2090,-0.02,0.01,0.02
2019-11-14 19:31:16.3070,0.02,-0.0,0.05
2019-11-14 19:31:16.4110,0.05,0.0,-0.0
2019-11-14 19:31:16.4780,0.03,-0.0,0.02
2019-11-14 19:31:16.5680,0.0,-0.0,0.01
2019-11-14 19:31:16.6580,-0.02,-0.01,0.02
2019-11-14 19:31:16.7480,-0.02,0.02,0.01
2019-11-14 19:31:16.8390,-0.03,0.02,0.02
2019-11-14 19:31:16.9290,-0.03,-0.0,-0.02
2019-11-14 19:31:17.0190,-0.05,0.02,0.03
2019-11-14 19:31:17.1160,-0.04,0.0,0.06
2019-11-14 19:31:17.2140,-0.02,-0.0,0.02
2019-11-14 19:31:17.3140,-0.12,-0.03,0.05
2019-11-14 19:31:17.3800,0.08,-0.04,0.14
2019-11-14 19:31:17.4700,0.08,-0.04,0.19
2019-11-14 19:31:17.5610,-0.09,0.01,-0.07
2019-11-14 19:31:17.6510,-0.12,-0.02,0.04
2019-11-14 19:31:17.7410,-0.07,-0.01,0.03
2019-11-14 19:31:17.8320,-0.17,-0.05,-0.02
2019-11-14 19:31:17.9220,-0.29,-0.04,0.12
2019-11-14 19:31:18.0180,-0.2,-0.01,0.22
2019-11-14 19:31:18.1140,-0.28,-0.01,0.08
2019-11-14 19:31:18.2150,-0.33,0.07,0.29
2019-11-14 19:31:18.2830,-0.4,0.19,0.4
2019-11-14 19:31:18.3730,-0.38,0.19,0.5
2019-11-14 19:31:18.4630,-0.68,-0.03,0.2
2019-11-14 19:31:18.5540,-0.9,0.15,-0.02
2019-11-14 19:31:18.6440,3.35,3.32,-2.35
2019-11-14 19:31:18.7340,-1.57,-0.41,-0.13
2019-11-14 19:31:18.8240,0.47,0.19,0.55
2019-11-14 19:31:18.9180,0.21,0.25,0.01
2019-11-14 19:31:19.0180,-0.03,0.07,-0.03
2019-11-14 19:31:19.1160,-0.21,0.1,-0.25
2019-11-14 19:31:19.1860,-0.13,-0.14,0.18
2019-11-14 19:31:19.2760,0.09,0.05,0.07
2019-11-14 19:31:19.3660,0.05,0.06,0.15
2019-11-14 19:31:19.4560,-0.0,0.02,0.03
2019-11-14 19:31:19.5470,0.02,0.06,-0.04
2019-11-14 19:31:19.6370,-0.04,-0.11,0.02
2019-11-14 19:31:19.7270,-0.15,-0.03,0.05
2019-11-14 19:31:19.8200,0.0,0.08,-0.06
2019-11-14 19:31:19.9180,0.33,0.05,-0.12
2019-11-14 19:31:20.0210,0.12,0.09,-0.09
2019-11-14 19:31:20.0880,-0.0,0.07,-0.04
2019-11-14 19:31:20.1780,0.22,-0.16,-0.44
2019-11-14 19:31:20.2690,0.27,0.25,-0.47
2019-11-14 19:31:20.3590,0.23,0.3,-0.01
2019-11-14 19:31:20.4490,-0.15,0.1,-0.02
2019-11-14 19:31:20.5400,-0.13,0.11,-0.03
2019-11-14 19:31:20.6300,-0.14,0.14,-0.16
2019-11-14 19:31:20.7240,-0.14,0.06,-0.11
2019-11-14 19:31:20.8240,-0.14,0.03,-0.1
2019-11-14 19:31:20.9220,-0.03,0.05,-0.05
2019-11-14 19:31:20.9910,0.0,0.03,0.02
2019-11-14 19:31:21.0810,-0.02,-0.01,0.02
2019-11-14 19:31:21.1710,0.03,0.01,0.03
2019-11-14 19:31:21.2620,0.06,-0.01,-0.0
