time,ax,ay,az
2019-11-14 20:39:42.0580,0.02,0.03,-0.02
2019-11-14 20:39:42.0970,-0.0,0.03,-0.01
2019-11-14 20:39:42.1870,0.0,0.02,-0.0
2019-11-14 20:39:42.2780,0.01,-0.01,0.0
2019-11-14 20:39:42.3680,-0.01,-0.02,-0.02
2019-11-14 20:39:42.4610,-0.0,-0.0,-0.01
2019-11-14 20:39:42.5480,-0.0,0.0,-0.01
2019-11-14 20:39:42.6390,0.0,0.01,0.01
2019-11-14 20:39:42.7330,-0.03,-0.01,0.05
2019-11-14 20:39:42.8340,0.04,-0.01,-0.03
2019-11-14 20:39:42.9290,0.04,0.01,-0.04
2019-11-14 20:39:43.0010,0.01,0.02,0.01
2019-11-14 20:39:43.0910,-0.04,-0.02,0.02
2019-11-14 20:39:43.1830,-0.0,-0.02,0.02
2019-11-14 20:39:43.2710,0.01,0.02,0.01
2019-11-14 20:39:43.3630,0.03,0.0,0.01
2019-11-14 20:39:43.4510,0.0,0.01,-0.02
2019-11-14 20:39:43.5410,-0.05,0.0,-0.01
2019-11-14 20:39:43.6360,-0.01,0.03,0.04
2019-11-14 20:39:43.7340,-0.03,0.05,0.03
2019-11-14 20:39:43.8310,-0.05,0.05,0.06
2019-11-14 20:39:43.9030,-0.02,0.07,0.07
2019-11-14 20:39:43.9930,-0.01,0.03,0.06
2019-11-14 20:39:44.0860,0.04,0.05,0.03
2019-11-14 20:39:44.1740,0.09,0.06,0.09
2019-11-14 20:39:44.2660,0.1,0.04,0.01
2019-11-14 20:39:44.3540,0.08,0.0,-0.02
2019-11-14 20:39:44.4440,0.04,-0.02,0.07
2019-11-14 20:39:44.5350,0.05,-0.03,-0.08
2019-11-14 20:39:44.6370,0.0,-0.03,-0.03
2019-11-14 20:39:44.7320,0.05,-0.08,-0.01
2019-11-14 20:39:44.8060,0.04,-0.08,0.02
2019-11-14 20:39:44.8960,0.07,-0.01,0.13
2019-11-14 20:39:44.9890,0.09,0.03,0.19
2019-11-14 20:39:45.0770,0.04,0.0,-0.07
2019-11-14 20:39:45.1700,-0.0,-0.25,-0.18
2019-11-14 20:39:45.2570,0.03,-0.33,-0.1
2019-11-14 20:39:45.3470,-0.12,-0.02,-0.17
2019-11-14 20:39:45.4380,-0.04,0.15,-0.06
2019-11-14 20:39:45.5350,-0.04,0.2,0.07
2019-11-14 20:39:45.6350,0.03,0.07,0.14
2019-11-14 20:39:45.7090,0.03,-0.05,-0.06
2019-11-14 20:39:45.7990,-0.02,-0.08,-0.03
2019-11-14 20:39:45.8900,-0.03,-0.03,0.04
2019-11-14 20:39:45.9790,-0.07,0.0,0.13
2019-11-14 20:39:46.0730,-0.06,0.08,0.16
2019-11-14 20:39:46.1590,0.07,0.04,0.25
2019-11-14 20:39:46.2490,0.17,0.05,0.07
2019-11-14 20:39:46.3430,0.24,0.04,0.2
2019-11-14 20:39:46.4440,0.24,-0.03,-0.04
2019-11-14 20:39:46.5370,0.18,0.1,-0.22
2019-11-14 20:39:46.6120,0.12,-0.03,-0.31
2019-11-14 20:39:46.7020,0.09,-0.08,-0.22
2019-11-14 20:39:46.7940,-0.11,-0.03,-0.22
2019-11-14 20:39:46.8820,-0.18,-0.04,-0.58
2019-11-14 20:39:46.9740,-0.23,0.46,0.54
2019-11-14 20:39:47.0620,0.24,-0.26,-0.42
2019-11-14 20:39:47.1520,0.0,0.06,-0.34
2019-11-14 20:39:47.2450,0.1,-0.07,0.04
2019-11-14 20:39:47.3460,0.03,-0.08,0.04
2019-11-14 20:39:47.4410,0.03,-0.0,0.07
2019-11-14 20:39:47.5140,0.01,0.13,-0.16
2019-11-14 20:39:47.6040,0.01,-0.0,0.02
2019-11-14 20:39:47.6970,-0.01,0.01,-0.02
2019-11-14 20:39:47.7850,0.0,0.01,0.0
2019-11-14 20:39:47.8760,0.02,0.03,-0.02
2019-11-14 20:39:47.9650,-0.0,0.05,-0.05
2019-11-14 20:39:48.0550,0.0,0.01,0.04
2019-11-14 20:39:48.1480,-0.0,-0.01,0.01
2019-11-14 20:39:48.2460,0.03,-0.03,0.0
2019-11-14 20:39:48.3450,0.01,-0.0,-0.03
2019-11-14 20:39:48.4170,0.02,0.02,-0.04
2019-11-14 20:39:48.5070,-0.0,0.02,0.01
2019-11-14 20:39:48.6000,0.01,0.01,-0.0
2019-11-14 20:39:48.6870,-0.04,-0.01,0.03
2019-11-14 20:39:48.7790,-0.0,-0.01,-0.01
2019-11-14 20:39:48.8670,0.02,-0.01,0.04
2019-11-14 20:39:48.9580,0.02,-0.01,-0.01
2019-11-14 20:39:49.0510,-0.02,-0.01,-0.02
2019-11-14 20:39:49.1500,-0.0,-0.01,0.02
2019-11-14 20:39:49.2430,0.06,0.01,-0.11
