time,ax,ay,az
2019-11-14 19:50:53.0480,-0.0,0.02,-0.05
2019-11-14 19:50:53.1020,0.01,0.01,0.02
2019-11-14 19:50:53.1930,-0.01,0.01,-0.04
2019-11-14 19:50:53.2840,-0.01,0.0,-0.0
2019-11-14 19:50:53.3740,-0.0,0.0,0.02
2019-11-14 19:50:53.4640,-0.0,0.01,0.01
2019-11-14 19:50:53.5540,0.0,0.01,-0.04
2019-11-14 19:50:53.6460,-0.0,-0.0,0.01
2019-11-14 19:50:53.7440,0.01,0.01,0.03
2019-11-14 19:50:53.8420,-0.01,0.02,-0.01
2019-11-14 19:50:53.9210,-0.02,0.02,0.05
2019-11-14 19:50:54.0070,-0.03,0.05,0.07
2019-11-14 19:50:54.0960,-0.03,0.05,0.04
2019-11-14 19:50:54.1860,-0.01,0.03,0.04
2019-11-14 19:50:54.2770,0.02,0.08,0.12
2019-11-14 19:50:54.3660,0.06,0.16,0.2
2019-11-14 19:50:54.4570,0.06,0.15,0.05
2019-11-14 19:50:54.5490,0.04,0.11,-0.15
2019-11-14 19:50:54.6460,-0.03,0.09,-0.23
2019-11-14 19:50:54.7450,-0.09,0.06,-0.37
2019-11-14 19:50:54.8230,-0.06,0.01,-0.33
2019-11-14 19:50:54.9090,-0.1,0.11,-0.34
2019-11-14 19:50:55.0000,0.0,0.0,0.07
2019-11-14 19:50:55.0890,-0.09,-0.1,-0.05
2019-11-14 19:50:55.1790,-0.12,-0.24,0.09
2019-11-14 19:50:55.2690,0.03,-0.24,0.16
2019-11-14 19:50:55.3590,0.01,-0.03,0.14
2019-11-14 19:50:55.4500,0.04,0.04,0.2
2019-11-14 19:50:55.5490,-0.01,0.0,0.09
2019-11-14 19:50:55.6540,-0.02,-0.01,-0.01
2019-11-14 19:50:55.7240,-0.02,-0.0,0.01
2019-11-14 19:50:55.8120,-0.01,-0.01,-0.02
2019-11-14 19:50:55.9020,-0.02,-0.0,-0.04
2019-11-14 19:50:55.9920,0.01,0.01,-0.02
2019-11-14 19:50:56.0820,0.02,-0.0,0.02
2019-11-14 19:50:56.1720,0.01,0.0,0.0
2019-11-14 19:50:56.2620,-0.0,0.01,-0.01
2019-11-14 19:50:56.3530,-0.0,0.0,-0.01
2019-11-14 19:50:56.4570,0.01,0.0,-0.0
2019-11-14 19:50:56.5490,-0.01,0.0,-0.01
2019-11-14 19:50:56.6290,-0.01,0.0,-0.0
2019-11-14 19:50:56.7150,0.01,0.01,-0.05
2019-11-14 19:50:56.8050,-0.0,0.0,0.03
2019-11-14 19:50:56.8950,-0.0,0.0,0.0
2019-11-14 19:50:56.9840,-0.01,-0.0,-0.01
2019-11-14 19:50:57.0750,-0.02,-0.01,0.01
