time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.3245,0.7123,-1.1704,1.408
0.005000,-0.5180,0.7950,-0.9258,1.326
0.005000,-0.7305,0.8985,-0.5729,1.292
0.010000,-0.8561,1.0366,-0.3457,1.388
0.014000,-0.7707,0.6858,-0.3468,1.088
0.019000,-0.8509,0.9320,-0.0593,1.263
0.023000,-0.9420,0.9692,0.2392,1.373
0.030000,-0.9652,0.7812,0.2862,1.274
0.034000,-0.9404,0.4572,0.1468,1.056
0.039000,-0.9269,0.0740,-0.0134,0.930
0.045000,-0.8334,-0.2606,-0.2949,0.922
0.047000,-0.6552,-0.5777,-0.3769,0.951
0.059000,-0.5402,-0.6380,-0.6585,1.064
0.060000,-0.2617,-0.4828,-1.0221,1.160
0.068000,-0.0047,-0.2302,-1.1502,1.173
0.069000,0.2559,0.0854,-1.0815,1.115
0.071000,0.4009,-0.0939,-1.1198,1.193
0.076000,0.5348,-0.2785,-1.0064,1.173
0.083000,0.6893,-0.4550,-0.7124,1.091
0.087000,0.8153,-0.5673,-0.5004,1.112
0.091000,1.1883,-0.1857,-1.3601,1.816
0.096000,1.0245,-0.3364,-0.3684,1.139
0.101000,0.8289,-0.6095,0.7779,1.290
0.107000,0.4795,-0.8262,1.3622,1.664
0.111000,-0.0832,-0.7707,1.5527,1.735
0.116000,-0.1074,-0.8245,1.5050,1.719
0.120000,0.1370,-0.6982,1.2763,1.461
0.124000,0.3867,-0.4781,1.0193,1.190
0.131000,0.4819,-0.3216,0.8842,1.057
0.136000,0.4647,-0.2047,0.9015,1.035
0.140000,0.4022,-0.1627,0.9753,1.067
0.146000,0.3765,-0.2141,0.9713,1.064
0.149000,0.4314,-0.3027,0.8704,1.018
0.154000,0.5168,-0.4306,0.7252,0.989
0.162000,0.5371,-0.5732,0.6144,0.997
0.164000,0.5478,-0.6984,0.5356,1.037
0.168000,0.4870,-0.8368,0.4885,1.084
0.172000,0.4817,-0.9448,0.4324,1.145
0.179000,0.4719,-1.0459,0.4151,1.220
0.183000,0.5174,-1.1349,0.4172,1.315
0.188000,0.5387,-1.1707,0.4699,1.372
0.192000,0.5835,-1.1914,0.5155,1.423
0.201000,0.6608,-1.2086,0.5852,1.497
0.203000,0.7477,-1.1982,0.6813,1.568
0.207000,0.8049,-1.1407,0.8657,1.643
0.215000,0.8270,-1.0098,1.0380,1.668
0.218000,0.8335,-0.9015,1.2556,1.756
0.221000,0.8370,-0.8160,1.3678,1.799
0.229000,0.9094,-0.8012,0.9993,1.571
0.231000,0.7978,-0.7752,1.1096,1.571
0.236000,0.6094,-0.6857,1.5044,1.762
0.240000,0.4758,-0.5167,1.6382,1.782
0.245000,0.4411,-0.3570,1.5018,1.605
