time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0059,0.1165,0.0414,0.124
0.004000,0.4087,0.1271,-0.4318,0.608
0.006000,-0.0143,0.0284,-0.7034,0.704
0.009000,-0.1099,0.0460,-0.5968,0.609
0.011000,-0.0231,0.0779,-0.3544,0.364
0.016000,0.0015,0.1044,-0.1906,0.217
0.022000,-0.0560,0.1246,-0.0333,0.141
0.027000,-0.1157,0.1619,0.1298,0.238
0.032000,-0.1367,0.1584,0.3083,0.373
0.036000,-0.1592,0.1470,0.4478,0.497
0.042000,-0.1689,0.1058,0.5511,0.586
0.048000,-0.1779,0.0748,0.6711,0.698
0.051000,-0.1409,0.0273,0.7294,0.743
0.064000,-0.0654,-0.0129,0.7360,0.739
0.064000,0.0102,-0.0365,0.7317,0.733
0.067000,0.1287,-0.0579,0.7095,0.723
0.078000,0.1997,-0.0651,0.6719,0.704
0.079000,0.2590,-0.0842,0.5976,0.657
0.080000,0.2874,-0.0696,0.4606,0.547
0.084000,0.2896,-0.0734,0.3182,0.436
0.089000,0.2508,-0.0591,0.1868,0.318
0.094000,0.1921,-0.0476,0.0519,0.205
0.100000,0.0916,-0.0477,-0.0274,0.107
0.105000,0.0344,-0.0399,-0.0921,0.106
0.108000,-0.0400,-0.0003,-0.1258,0.132
0.113000,-0.0967,0.0474,-0.1264,0.166
0.119000,-0.1030,0.0793,-0.1085,0.169
0.124000,-0.0692,0.1263,-0.1007,0.176
0.128000,0.0019,0.1408,-0.0768,0.160
0.132000,0.0675,0.1277,-0.0582,0.156
0.146000,0.1492,0.0965,-0.0377,0.182
0.146000,0.1975,0.0735,0.0252,0.212
0.148000,0.2489,0.0249,0.0802,0.263
0.153000,0.2946,-0.0112,0.1276,0.321
0.158000,0.3184,-0.0306,0.1770,0.366
0.162000,0.3380,-0.0241,0.1977,0.392
0.167000,0.3368,-0.0158,0.1924,0.388
0.172000,0.3129,0.0013,0.1778,0.360
0.177000,0.2619,0.0367,0.1778,0.319
0.181000,0.2314,0.0236,0.1472,0.275
0.185000,0.1953,0.0362,0.1503,0.249
0.191000,0.1487,0.0433,0.1370,0.207
0.196000,0.1394,0.0428,0.0954,0.174
0.201000,0.1052,0.0776,0.0425,0.137
0.205000,0.0839,0.0810,0.0185,0.118
0.210000,0.0730,0.0891,0.0042,0.115
0.216000,0.0958,0.0686,0.0067,0.118
0.221000,0.0926,0.0790,0.0139,0.123
0.225000,0.1086,0.0609,-0.0098,0.125
0.229000,0.1316,0.0335,-0.0095,0.136
0.234000,0.1330,0.0253,-0.0236,0.137
0.240000,0.1035,0.0005,-0.0327,0.109
0.245000,0.0906,-0.0051,-0.0631,0.111
0.249000,0.0847,-0.0057,-0.0957,0.128
0.253000,0.0641,-0.0132,-0.1400,0.155
0.263000,0.0433,-0.0418,-0.1698,0.180
0.264000,0.0315,-0.0318,-0.1757,0.181
0.268000,-0.0305,-0.0192,-0.1555,0.160
0.278000,-0.0381,-0.0040,-0.1713,0.176
0.278000,-0.0151,0.0138,-0.1348,0.136
0.282000,0.0193,0.0150,-0.1438,0.146
0.288000,0.0557,0.0067,-0.1266,0.138
0.293000,0.0779,0.0081,-0.1167,0.141
0.298000,0.1121,-0.0070,-0.0690,0.132
0.301000,0.1112,-0.0078,-0.0431,0.119
0.307000,0.1420,-0.0182,0.0112,0.144
0.312000,0.1684,-0.0406,0.0390,0.178
0.317000,0.1811,-0.0326,0.0810,0.201
0.322000,0.1684,-0.0108,0.0872,0.190
0.325000,0.1281,-0.0181,0.0437,0.137
0.331000,0.0910,-0.0303,-0.0636,0.115
0.337000,0.0445,-0.0090,-0.1367,0.144
0.342000,-0.0068,-0.0066,-0.1903,0.191
0.346000,-0.0656,0.0272,-0.2152,0.227
0.349000,-0.0846,0.0471,-0.2520,0.270
0.356000,-0.0616,0.0676,-0.2674,0.283
0.360000,-0.0540,0.0910,-0.2806,0.300
0.365000,-0.0286,0.1007,-0.2797,0.299
0.379000,-0.0160,0.1063,-0.2482,0.270
0.380000,0.0076,0.1101,-0.2338,0.259
0.380000,0.0162,0.1099,-0.1866,0.217
0.384000,0.0266,0.0815,-0.1090,0.139
0.392000,0.0343,0.0440,-0.0630,0.084
0.394000,0.0206,0.0329,0.0135,0.041
0.397000,-0.0382,0.0193,0.0491,0.065
0.405000,-0.0796,0.0293,0.0964,0.128
0.408000,-0.0898,0.0149,0.1126,0.145
0.413000,-0.0855,0.0263,0.1313,0.159
0.417000,-0.0786,0.0251,0.1358,0.159
0.422000,-0.0476,0.0351,0.1524,0.163
0.426000,-0.0185,0.0325,0.1501,0.155
0.431000,0.0088,0.0412,0.1290,0.136
0.438000,0.0319,0.0253,0.1060,0.114
0.442000,0.0415,-0.0101,0.0787,0.090
0.446000,0.0564,-0.0290,0.0423,0.076
0.452000,0.0623,-0.0290,-0.0222,0.072
0.457000,0.0353,-0.0387,-0.0695,0.087
0.462000,0.0371,-0.0436,-0.1496,0.160
0.467000,0.0125,-0.0483,-0.1745,0.182
0.487000,0.0093,-0.0501,-0.1685,0.176
0.488000,-0.0159,-0.0254,-0.1556,0.158
0.489000,0.0083,-0.0051,-0.1644,0.165
0.490000,0.0078,-0.0131,-0.1827,0.183
0.491000,0.0066,-0.0134,-0.1963,0.197
0.494000,-0.0167,-0.0085,-0.1814,0.182
0.501000,-0.0072,-0.0055,-0.1597,0.160
0.505000,0.0231,-0.0164,-0.1384,0.141
0.510000,0.0503,-0.0291,-0.1031,0.118
0.514000,0.0819,-0.0036,-0.0705,0.108
0.518000,0.1300,-0.0139,-0.0217,0.133
0.524000,0.1544,0.0091,0.0102,0.155
0.529000,0.1933,0.0056,0.0418,0.198
0.533000,0.1873,0.0398,0.0449,0.197
0.539000,0.1888,0.0378,0.0599,0.202
0.542000,0.1646,0.0354,0.0582,0.178
0.549000,0.1290,0.0447,0.0496,0.145
0.553000,0.1224,0.0513,0.0316,0.136
0.558000,0.1136,0.0601,0.0067,0.129
0.562000,0.0837,0.0736,-0.0086,0.112
0.566000,0.0494,0.0681,0.0048,0.084
0.573000,0.0486,0.0532,0.0323,0.079
0.578000,0.0146,0.0458,0.0713,0.086
0.583000,-0.0190,0.0671,0.0814,0.107
0.601000,-0.0239,0.0788,0.1009,0.130
0.601000,-0.0337,0.0951,0.1298,0.164
0.602000,-0.0531,0.0897,0.1561,0.188
0.603000,-0.0607,0.1152,0.1419,0.193
0.621000,-0.0687,0.1070,0.1161,0.172
0.622000,-0.0579,0.0846,0.0596,0.119
0.623000,-0.0381,0.0956,0.0510,0.115
0.623000,0.0051,0.0971,0.0520,0.110
0.627000,0.0383,0.0844,0.0269,0.097
0.631000,0.0595,0.0694,0.0305,0.096
0.635000,0.0736,0.0616,0.0317,0.101
0.639000,0.0901,0.0561,0.0495,0.117
0.645000,0.0854,0.0623,0.0554,0.119
0.650000,0.0978,0.0422,0.0708,0.128
0.659000,0.0846,0.0388,0.0979,0.135
0.660000,0.0529,0.0281,0.1154,0.130
0.664000,0.0312,0.0291,0.1329,0.140
0.669000,0.0100,0.0416,0.1598,0.165
0.673000,-0.0180,0.0511,0.1487,0.158
0.679000,-0.0265,0.0509,0.1425,0.154
0.684000,-0.0659,0.0790,0.1079,0.149
0.688000,-0.0743,0.0759,0.0879,0.138
0.694000,-0.0710,0.0918,0.0419,0.123
0.699000,-0.0730,0.0981,0.0415,0.129
0.703000,-0.0874,0.0973,0.0221,0.133
0.708000,-0.0949,0.1037,-0.0115,0.141
0.712000,-0.0886,0.1008,-0.0259,0.137
0.718000,-0.0804,0.0838,-0.0307,0.120
0.729000,-0.0344,0.0837,-0.0259,0.094
0.730000,-0.0198,0.0599,-0.0284,0.069
0.732000,-0.0053,0.0315,-0.0356,0.048
0.736000,0.0212,0.0412,-0.0403,0.061
0.742000,0.0335,0.0174,-0.0259,0.046
0.747000,0.0534,0.0174,-0.0068,0.057
0.751000,0.0595,0.0219,-0.0021,0.063
0.756000,0.0735,0.0261,-0.0020,0.078
0.760000,0.0784,0.0300,-0.0233,0.087
0.767000,0.0768,0.0193,-0.0134,0.080
0.771000,0.0664,0.0202,-0.0249,0.074
0.775000,0.0805,0.0372,-0.0432,0.099
0.780000,0.0856,0.0134,-0.0446,0.097
0.783000,0.0723,0.0344,-0.0625,0.102
0.789000,0.0481,0.0502,-0.0872,0.112
0.795000,0.0392,0.0346,-0.1496,0.158
0.800000,0.0355,0.0523,-0.1972,0.207
0.804000,0.0251,0.0533,-0.2730,0.279
0.807000,0.0103,0.0426,-0.2959,0.299
0.814000,-0.0636,0.0417,-0.3330,0.342
0.822000,-0.1301,0.0343,-0.3438,0.369
0.823000,-0.1845,0.0157,-0.3358,0.384
0.828000,-0.2130,0.0240,-0.3163,0.382
0.831000,-0.2442,0.0164,-0.3066,0.392
0.838000,-0.2879,0.0168,-0.2309,0.369
0.843000,-0.2891,0.0228,-0.1870,0.345
0.847000,-0.2722,0.0151,-0.1151,0.296
0.866000,-0.2490,-0.0206,-0.0488,0.255
0.867000,-0.2124,-0.0391,0.0074,0.216
0.867000,-0.1410,-0.0644,0.0513,0.163
0.868000,-0.1109,-0.0824,0.0924,0.166
0.888000,-0.0599,-0.0955,0.1521,0.189
