time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0289,0.0187,-0.1510,0.155
0.004000,0.0076,0.0743,0.0032,0.075
0.004000,0.0494,0.0771,0.1443,0.171
0.007000,0.0965,0.0891,0.2559,0.288
0.012000,0.1253,0.0906,0.2959,0.334
0.017000,0.1998,0.0794,0.2934,0.364
0.021000,0.1987,0.0791,0.3081,0.375
0.036000,0.2365,0.0660,0.3186,0.402
0.036000,0.2392,0.0426,0.3082,0.392
0.036000,0.2521,-0.0029,0.2651,0.366
0.047000,0.2442,-0.0109,0.2016,0.317
0.047000,0.2391,-0.0717,0.1627,0.298
0.051000,0.2343,-0.0635,0.1055,0.265
0.055000,0.2250,-0.0439,0.0631,0.238
0.060000,0.2065,-0.0458,0.0140,0.212
0.065000,0.1715,-0.0427,-0.0088,0.177
0.069000,0.1415,-0.0084,-0.0458,0.149
0.077000,0.0973,-0.0095,-0.0590,0.114
0.080000,0.0410,0.0254,-0.0534,0.072
0.085000,0.0057,0.0628,-0.0577,0.085
0.090000,-0.0186,0.0790,-0.0597,0.101
0.093000,-0.0413,0.0811,-0.0216,0.094
0.099000,-0.0268,0.0905,-0.0219,0.097
0.104000,-0.0180,0.1330,0.0015,0.134
0.111000,0.0019,0.1396,-0.0037,0.140
0.114000,0.0283,0.1412,0.0007,0.144
0.117000,0.0399,0.1378,-0.0114,0.144
0.124000,0.0538,0.1130,-0.0234,0.127
0.129000,0.0561,0.0928,-0.0255,0.111
0.134000,0.0541,0.0537,-0.0466,0.089
0.137000,0.0385,0.0289,-0.0697,0.085
0.142000,0.0333,0.0375,-0.1139,0.124
0.147000,-0.0046,0.0315,-0.1054,0.110
0.152000,-0.0249,0.0207,-0.1515,0.155
0.157000,-0.0613,0.0195,-0.1569,0.170
0.168000,-0.0804,0.0207,-0.1883,0.206
0.169000,-0.0850,0.0030,-0.1911,0.209
0.175000,-0.1061,-0.0000,-0.1821,0.211
0.183000,-0.1222,-0.0124,-0.1591,0.201
0.183000,-0.1239,0.0042,-0.1388,0.186
0.185000,-0.1185,0.0042,-0.1259,0.173
0.189000,-0.1346,-0.0076,-0.1037,0.170
0.195000,-0.1530,-0.0358,-0.0959,0.184
0.200000,-0.1454,-0.0521,-0.0858,0.177
0.205000,-0.1858,-0.0541,-0.0780,0.209
0.211000,-0.2191,-0.0563,-0.1224,0.257
0.213000,-0.2359,-0.1253,-0.1212,0.293
0.219000,-0.2483,-0.1868,-0.1293,0.337
0.224000,-0.2226,-0.2409,-0.1182,0.349
