time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.5051,-0.7554,0.0526,0.910
0.005000,-0.5125,-0.7415,0.1358,0.912
0.005000,-0.5076,-0.6803,0.2816,0.894
0.008000,-0.4592,-0.5700,0.4138,0.841
0.011000,-0.3843,-0.4300,0.4874,0.755
0.016000,-0.2833,-0.2774,0.4884,0.629
0.019000,-0.1588,-0.1246,0.4388,0.483
0.025000,-0.0731,0.0090,0.3271,0.335
0.030000,-0.0120,0.0586,0.2111,0.219
0.035000,0.0700,0.0553,0.1195,0.149
0.045000,0.1299,0.0516,-0.0049,0.140
0.046000,0.1699,0.0641,-0.0712,0.195
0.049000,0.2377,0.0379,-0.0962,0.259
0.055000,0.3240,0.0614,-0.0822,0.340
0.060000,0.3501,0.0979,-0.0174,0.364
0.064000,0.3237,0.1620,0.0500,0.365
0.067000,0.2167,0.1915,0.1390,0.321
0.075000,0.0364,0.2033,0.3114,0.374
0.079000,-0.1221,0.2256,0.4836,0.547
0.085000,-0.2502,0.2274,0.5562,0.651
0.089000,-0.2848,0.2537,0.5373,0.659
0.093000,-0.2315,0.3162,0.4845,0.623
0.098000,-0.1908,0.3318,0.3054,0.490
0.104000,-0.1837,0.2226,-0.0918,0.303
0.108000,-0.1526,0.0285,-0.4994,0.523
0.112000,-0.0683,-0.1706,-0.8282,0.848
0.117000,-0.0112,-0.2740,-1.0181,1.054
0.125000,-0.0752,-0.3530,-1.0116,1.074
0.127000,-0.1403,-0.3030,-0.8652,0.927
0.132000,-0.2659,-0.2391,-0.6324,0.726
0.136000,-0.4302,-0.2068,-0.3325,0.582
0.141000,-0.5552,-0.2159,-0.1696,0.619
0.146000,-0.5943,-0.2335,-0.0328,0.639
0.150000,-0.5629,-0.2315,0.0549,0.611
0.166000,-0.4567,-0.2223,0.1015,0.518
0.167000,-0.3163,-0.1543,0.1435,0.380
0.167000,-0.1511,-0.0593,0.1600,0.228
0.170000,-0.0246,0.0600,0.1869,0.198
0.179000,0.0712,0.1578,0.1961,0.262
0.181000,0.1679,0.2271,0.2328,0.366
0.185000,0.2276,0.2537,0.2118,0.401
0.189000,0.2171,0.2211,0.1737,0.355
0.195000,0.1960,0.1751,0.1119,0.286
0.200000,0.1379,0.1227,0.0168,0.185
0.204000,0.1425,0.0431,0.0002,0.149
0.208000,0.1306,0.0411,-0.0340,0.141
0.212000,0.1306,0.0521,-0.0998,0.172
0.219000,0.0732,0.0457,-0.2284,0.244
0.223000,0.0133,0.0223,-0.3293,0.330
0.228000,-0.0086,-0.0366,-0.4127,0.414
0.233000,0.0023,-0.0802,-0.4152,0.423
0.236000,0.0317,-0.1015,-0.3969,0.411
0.242000,0.0369,-0.1147,-0.3652,0.385
0.247000,0.0229,-0.1436,-0.3608,0.389
0.253000,0.0539,-0.1402,-0.3243,0.357
0.264000,0.0657,-0.1336,-0.3104,0.344
0.264000,0.1038,-0.1024,-0.2620,0.300
0.268000,0.1064,-0.0445,-0.2101,0.240
0.276000,0.0949,0.0159,-0.1757,0.200
0.277000,0.0812,0.0499,-0.1326,0.163
0.280000,0.0341,0.0839,-0.0875,0.126
0.284000,-0.0035,0.0557,-0.0617,0.083
0.290000,0.0037,0.0227,-0.0097,0.025
0.296000,-0.0113,-0.0200,-0.0076,0.024
0.300000,-0.0199,-0.0486,-0.0120,0.054
0.305000,-0.0555,-0.0515,-0.1035,0.128
0.308000,-0.1012,-0.0597,-0.2031,0.235
0.315000,-0.1000,-0.0777,-0.2993,0.325
0.319000,-0.0783,-0.1122,-0.3779,0.402
0.324000,-0.0599,-0.1415,-0.4181,0.445
0.329000,-0.0330,-0.1844,-0.3729,0.417
0.334000,-0.0117,-0.1957,-0.3474,0.399
0.339000,0.0041,-0.1614,-0.3510,0.386
0.344000,-0.0138,-0.1340,-0.3647,0.389
0.349000,-0.0107,-0.0966,-0.3647,0.377
0.353000,-0.0057,-0.0945,-0.3726,0.384
0.357000,0.0040,-0.0964,-0.3480,0.361
0.363000,0.0063,-0.1213,-0.2982,0.322
0.368000,-0.0151,-0.1144,-0.2472,0.273
0.375000,-0.0244,-0.1046,-0.1735,0.204
0.377000,-0.0192,-0.0777,-0.1057,0.133
0.380000,-0.0257,-0.0554,-0.0674,0.091
0.387000,-0.0104,-0.0139,-0.0321,0.037
0.398000,-0.0066,-0.0011,0.0074,0.010
0.399000,0.0051,0.0307,0.0892,0.094
0.401000,0.0007,0.0645,0.1158,0.133
0.415000,-0.0099,0.0860,0.1377,0.163
0.416000,-0.0434,0.0929,0.1762,0.204
0.417000,-0.0450,0.1087,0.2078,0.239
0.426000,-0.0460,0.0834,0.1994,0.221
0.426000,-0.0490,0.0456,0.1800,0.192
