time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.2009,0.3882,-1.5941,1.653
0.003000,0.1784,0.5640,-1.8271,1.920
0.005000,0.1017,0.7061,-1.8377,1.971
0.010000,0.0197,0.8366,-1.6324,1.834
0.015000,-0.0730,0.9283,-1.2446,1.554
0.020000,-0.0831,1.0126,-0.7791,1.280
0.025000,-0.0963,1.0549,-0.2474,1.088
0.030000,-0.0943,0.9881,0.2593,1.026
0.035000,0.0257,0.9523,0.7188,1.193
0.040000,0.1097,0.8891,1.0936,1.414
0.045000,0.0842,0.7089,1.4617,1.627
0.049000,0.0050,0.5381,1.7339,1.816
0.057000,-0.0740,0.4128,1.9142,1.960
0.060000,-0.0847,0.2728,1.8664,1.888
0.065000,-0.0913,0.1094,1.7115,1.717
0.074000,-0.1482,-0.0179,1.5106,1.518
0.075000,-0.1511,-0.0730,1.2885,1.299
0.080000,-0.1690,-0.0823,0.9887,1.006
0.085000,-0.2031,-0.0145,0.6351,0.667
0.091000,-0.2647,-0.0312,0.3384,0.431
0.095000,-0.2980,0.0039,0.0481,0.302
0.100000,-0.3776,0.0206,-0.1057,0.393
0.106000,-0.3741,-0.0262,-0.2740,0.464
0.110000,-0.3861,-0.0735,-0.4053,0.565
0.115000,-0.4107,-0.0896,-0.5319,0.678
0.122000,-0.4917,-0.0917,-0.5581,0.749
0.125000,-0.4597,-0.0777,-0.4819,0.670
0.130000,-0.4488,-0.0826,-0.4644,0.651
0.136000,-0.4337,-0.0348,-0.3672,0.569
0.141000,-0.4425,0.0083,-0.2237,0.496
0.146000,-0.4507,0.0336,-0.1498,0.476
0.151000,-0.3813,0.0268,-0.1144,0.399
0.167000,-0.2972,0.0181,-0.1281,0.324
0.168000,-0.2951,-0.0938,-0.1885,0.363
0.169000,-0.2576,-0.1551,-0.2096,0.367
0.173000,-0.2249,-0.2446,-0.2955,0.445
0.178000,-0.2175,-0.3455,-0.3934,0.567
0.182000,-0.2014,-0.4455,-0.4891,0.692
0.196000,-0.1947,-0.4806,-0.4631,0.695
0.197000,-0.2345,-0.4943,-0.3872,0.670
0.197000,-0.2673,-0.4251,-0.2423,0.558
0.201000,-0.2860,-0.3433,-0.1741,0.480
0.207000,-0.2658,-0.2435,-0.1046,0.375
0.211000,-0.2208,-0.2059,-0.0626,0.308
0.217000,-0.2236,-0.2278,0.0321,0.321
0.222000,-0.2290,-0.2147,0.1531,0.349
0.227000,-0.2784,-0.2155,0.2596,0.437
0.232000,-0.3151,-0.2801,0.3697,0.561
0.236000,-0.3081,-0.3574,0.4774,0.671
0.242000,-0.3794,-0.4308,0.5158,0.772
0.247000,-0.3914,-0.4655,0.5676,0.832
0.251000,-0.3510,-0.5071,0.5729,0.842
0.266000,-0.4205,-0.5125,0.5653,0.871
0.267000,-0.4468,-0.4444,0.4791,0.792
0.268000,-0.3823,-0.3743,0.4756,0.716
0.273000,-0.3050,-0.3153,0.4782,0.649
0.277000,-0.2253,-0.3209,0.3792,0.545
0.282000,-0.0882,-0.2809,0.3283,0.441
0.290000,0.0523,-0.2301,0.2608,0.352
0.293000,0.1296,-0.1255,0.2077,0.275
0.298000,0.1834,-0.0362,0.1297,0.228
0.302000,0.1786,0.0150,0.0100,0.180
0.308000,0.1102,-0.0304,-0.1441,0.184
0.312000,0.0872,-0.1616,-0.3995,0.440
0.318000,0.0395,-0.2580,-0.6292,0.681
0.324000,-0.0504,-0.2921,-0.7893,0.843
0.328000,-0.0925,-0.2273,-0.8475,0.882
0.333000,-0.1556,-0.1212,-0.7969,0.821
0.339000,-0.1783,0.0140,-0.7094,0.732
0.343000,-0.1703,0.1402,-0.6197,0.658
0.348000,-0.1885,0.1634,-0.4526,0.517
0.353000,-0.1449,0.1432,-0.2082,0.291
0.358000,-0.1164,0.1112,-0.0587,0.171
0.363000,-0.0315,0.0461,0.0725,0.092
0.368000,0.0777,0.0067,0.1878,0.203
0.386000,0.1749,-0.0249,0.3064,0.354
0.387000,0.2083,-0.0287,0.3795,0.434
0.388000,0.2282,-0.0145,0.3604,0.427
0.389000,0.2156,0.0153,0.3581,0.418
0.393000,0.1367,0.0987,0.3022,0.346
0.398000,0.0918,0.1639,0.2500,0.313
0.404000,0.0636,0.1168,0.1598,0.208
0.416000,0.0075,0.0269,0.0780,0.083
0.417000,-0.0289,-0.0613,0.0239,0.072
0.418000,-0.0252,-0.1548,-0.0314,0.160
0.428000,-0.0582,-0.2297,-0.0736,0.248
0.429000,-0.0624,-0.2288,-0.0955,0.256
0.433000,-0.0942,-0.2216,-0.1233,0.270
0.441000,-0.0738,-0.1842,-0.1536,0.251
0.443000,-0.0007,-0.1172,-0.1313,0.176
0.448000,0.0723,-0.0390,-0.1459,0.167
0.453000,0.1163,0.0407,-0.0803,0.147
0.458000,0.1950,0.1179,-0.0469,0.233
0.463000,0.2281,0.1780,-0.0265,0.291
0.468000,0.2514,0.1711,-0.0393,0.307
0.474000,0.2589,0.1522,-0.0650,0.307
0.479000,0.2532,0.1764,-0.0498,0.313
0.483000,0.2281,0.1554,-0.0393,0.279
0.489000,0.1934,0.1204,0.0263,0.229
0.494000,0.1101,0.1099,0.1100,0.190
0.498000,0.0706,0.0951,0.1768,0.213
0.503000,0.0727,0.1117,0.2521,0.285
0.509000,0.0829,0.1011,0.2522,0.284
0.514000,0.0667,0.0815,0.2585,0.279
0.519000,0.0614,-0.0622,0.2781,0.292
0.525000,0.0922,-0.1155,0.2764,0.313
0.529000,0.0626,-0.1467,0.2785,0.321
0.534000,0.0312,-0.2658,0.2425,0.361
0.540000,-0.0038,-0.3534,0.2163,0.414
0.545000,-0.0564,-0.4114,0.1277,0.434
0.549000,-0.0523,-0.4406,-0.0015,0.444
0.554000,-0.0799,-0.4615,-0.1058,0.480
0.567000,-0.0533,-0.3267,-0.1963,0.385
0.568000,-0.0157,-0.1759,-0.2120,0.276
0.570000,-0.0128,-0.0764,-0.1016,0.128
0.575000,0.0895,0.0504,-0.0327,0.108
0.580000,0.1867,0.1098,-0.0826,0.232
0.585000,0.2203,0.1163,-0.0778,0.261
0.594000,0.2048,0.1228,-0.0287,0.241
0.595000,0.2045,0.1452,-0.0142,0.251
0.600000,0.1842,0.1589,0.0055,0.243
0.606000,0.1616,0.1967,0.0100,0.255
0.610000,0.1257,0.1965,-0.0651,0.242
0.615000,0.0635,0.2277,-0.0989,0.256
0.620000,0.0410,0.1918,-0.1181,0.229
0.625000,0.0075,0.1687,-0.2124,0.271
0.630000,0.0614,0.1314,-0.3173,0.349
0.635000,0.0831,0.0857,-0.3338,0.355
0.641000,0.0838,0.0474,-0.3733,0.386
0.646000,0.1332,0.0967,-0.4011,0.434
0.651000,0.1847,0.1700,-0.4054,0.477
0.657000,0.1856,0.1850,-0.4338,0.507
0.661000,0.2155,0.2443,-0.4243,0.535
0.666000,0.2000,0.3024,-0.3517,0.505
0.670000,0.1678,0.3193,-0.2783,0.456
0.686000,0.2070,0.3237,-0.2530,0.460
0.687000,0.1632,0.3081,-0.1513,0.380
0.688000,0.1289,0.2356,-0.0081,0.269
0.692000,0.1212,0.2988,0.1359,0.350
0.699000,0.1025,0.3897,0.3119,0.510
0.700000,0.0514,0.5060,0.4576,0.684
0.719000,0.1000,0.5716,0.5324,0.788
0.720000,0.1301,0.6009,0.5794,0.845
0.720000,0.1466,0.5968,0.6081,0.865
0.721000,0.1792,0.6036,0.5804,0.856
0.730000,0.2153,0.6398,0.5168,0.850
0.732000,0.1949,0.7312,0.4783,0.895
0.736000,0.1911,0.8865,0.4485,1.012
0.743000,0.2393,1.1555,0.4033,1.247
0.746000,0.2241,1.3331,0.4051,1.411
0.751000,0.2000,1.4673,0.4418,1.545
0.756000,0.2016,1.6129,0.4930,1.699
0.761000,0.1686,1.5551,0.5433,1.656
0.766000,0.1706,1.4073,0.5684,1.527
0.771000,0.2332,1.1926,0.5338,1.327
0.784000,0.2960,0.9925,0.2723,1.071
0.785000,0.3163,0.8897,-0.0558,0.946
0.787000,0.0976,0.7640,-0.2875,0.822
0.792000,-0.0722,0.7915,-0.5329,0.957
0.796000,0.2668,1.0468,-1.1301,1.563
0.801000,0.4654,1.3371,-1.7390,2.242
0.809000,0.6896,1.6430,-2.5868,3.141
0.812000,0.9981,1.9265,-3.6181,4.219
0.817000,1.4475,2.3673,-4.6333,5.401
0.823000,2.0042,3.1720,-5.5966,6.738
0.827000,2.1610,2.8479,-6.6982,7.592
0.832000,1.8424,2.0805,-7.8256,8.304
0.837000,0.6559,0.1699,-8.9623,8.988
0.843000,0.1315,-1.2869,-10.4854,10.565
0.847000,0.1757,-1.7569,-11.2049,11.343
0.852000,0.0646,-2.0103,-10.3041,10.499
0.861000,-0.0431,-2.0479,-9.7362,9.949
0.863000,-0.1932,-1.9761,-9.4677,9.674
0.867000,-0.2962,-1.9750,-9.4385,9.647
0.877000,-0.3914,-1.9524,-9.4317,9.640
0.879000,-0.5455,-1.9035,-9.4138,9.620
0.882000,-0.6529,-1.8860,-9.3981,9.608
0.887000,-0.7572,-1.8219,-9.3583,9.564
0.892000,-0.8525,-1.8237,-9.3326,9.547
0.897000,-0.9814,-1.8314,-9.2839,9.514
0.903000,-1.0839,-1.7785,-9.2853,9.516
0.907000,-1.2077,-1.7615,-9.2052,9.450
0.912000,-1.3455,-1.7542,-9.1813,9.444
0.918000,-1.4826,-1.7027,-9.1465,9.421
0.923000,-1.5718,-1.6550,-9.0863,9.369
0.927000,-1.6510,-1.6697,-9.0801,9.379
0.933000,-1.7665,-1.6187,-9.0223,9.335
0.938000,-1.8988,-1.5833,-8.9670,9.302
0.943000,-1.9998,-1.5875,-8.9617,9.318
0.948000,-2.0919,-1.5894,-8.8717,9.253
0.953000,-2.2021,-1.5460,-8.8357,9.236
0.959000,-2.3403,-1.5194,-8.7733,9.206
0.963000,-2.4301,-1.4739,-8.7160,9.168
