time,ax,ay,az
2019-11-14 20:9:09.5470,0.03,-0.02,0.06
2019-11-14 20:9:09.6190,0.02,0.02,0.02
2019-11-14 20:9:09.7090,-0.0,-0.0,-0.01
2019-11-14 20:9:09.8090,0.0,0.01,-0.01
2019-11-14 20:9:09.9110,0.01,0.0,-0.03
2019-11-14 20:9:09.9800,0.01,0.01,-0.0
2019-11-14 20:9:10.0740,0.01,0.01,0.0
2019-11-14 20:9:10.1610,0.0,-0.0,-0.03
2019-11-14 20:9:10.2510,0.07,0.07,0.04
2019-11-14 20:9:10.3410,-0.02,-0.04,0.03
2019-11-14 20:9:10.4330,0.03,-0.0,-0.02
2019-11-14 20:9:10.5220,-0.02,-0.04,0.09
2019-11-14 20:9:10.6170,0.02,-0.04,-0.01
2019-11-14 20:9:10.7130,-0.01,-0.0,0.0
2019-11-14 20:9:10.8160,0.0,0.02,-0.03
2019-11-14 20:9:10.8830,-0.0,0.02,-0.01
2019-11-14 20:9:10.9750,0.0,0.03,-0.03
2019-11-14 20:9:11.0630,-0.0,0.01,-0.01
2019-11-14 20:9:11.1540,0.0,-0.01,0.03
2019-11-14 20:9:11.2440,0.07,-0.06,0.26
2019-11-14 20:9:11.3360,-0.23,0.27,0.93
2019-11-14 20:9:11.4240,-0.47,0.08,0.85
2019-11-14 20:9:11.5170,-0.67,-0.11,0.67
2019-11-14 20:9:11.6160,-0.78,-0.29,0.46
2019-11-14 20:9:11.7170,-0.81,-0.45,0.27
2019-11-14 20:9:11.7860,-0.78,0.39,0.71
2019-11-14 20:9:11.8810,-0.31,-0.37,0.69
2019-11-14 20:9:11.9660,-0.54,-0.31,-0.33
2019-11-14 20:9:12.0560,-0.41,-0.48,0.11
2019-11-14 20:9:12.1470,-0.54,0.38,0.11
2019-11-14 20:9:12.2390,-0.39,-0.37,0.35
2019-11-14 20:9:12.3270,0.1,-1.23,-1.3
2019-11-14 20:9:12.4210,-0.32,-0.17,0.03
2019-11-14 20:9:12.5200,-0.36,-0.12,0.01
2019-11-14 20:9:12.6190,-0.33,-0.11,-0.06
2019-11-14 20:9:12.6880,-0.33,-0.09,-0.1
2019-11-14 20:9:12.7810,-0.33,-0.12,-0.08
2019-11-14 20:9:12.8690,-0.31,-0.1,-0.07
2019-11-14 20:9:12.9590,-0.28,-0.09,-0.09
2019-11-14 20:9:13.0490,-0.28,-0.09,-0.02
2019-11-14 20:9:13.1420,-0.3,-0.12,-0.05
2019-11-14 20:9:13.2300,-0.28,-0.09,-0.07
2019-11-14 20:9:13.3230,-0.26,-0.06,-0.05
2019-11-14 20:9:13.4240,-0.25,-0.09,-0.06
2019-11-14 20:9:13.5220,-0.25,-0.08,-0.05
2019-11-14 20:9:13.5920,-0.25,-0.03,0.0
2019-11-14 20:9:13.6860,-0.24,-0.07,-0.03
2019-11-14 20:9:13.7720,-0.22,-0.06,-0.04
2019-11-14 20:9:13.8620,-0.23,-0.07,-0.03
2019-11-14 20:9:13.9520,-0.22,-0.06,-0.03
2019-11-14 20:9:14.0440,-0.21,-0.06,-0.01
2019-11-14 20:9:14.1320,-0.21,-0.05,-0.01
2019-11-14 20:9:14.2260,-0.19,-0.05,-0.03
2019-11-14 20:9:14.3240,-0.19,-0.05,-0.03
2019-11-14 20:9:14.4250,-0.19,-0.05,-0.02
2019-11-14 20:9:14.4930,-0.18,-0.04,-0.02
