time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.6074,0.0051,-0.8947,1.081
0.005000,0.5438,0.0808,-0.6989,0.889
0.005000,0.5139,0.1565,-0.5493,0.768
0.010000,0.5573,0.2312,-0.3169,0.682
0.015000,0.7840,0.2254,-0.0845,0.820
0.020000,0.7001,0.2387,0.2907,0.795
0.023000,0.2994,0.2892,0.4094,0.584
0.029000,0.3578,0.2722,0.5277,0.693
0.039000,0.6451,0.3181,0.9191,1.167
0.039000,0.6520,0.1495,1.0694,1.261
0.043000,0.5577,-0.2060,1.1446,1.290
0.048000,0.4919,-0.6425,1.2046,1.451
0.054000,0.4867,-1.0192,1.1285,1.597
0.058000,0.6356,-1.1632,0.9127,1.609
0.063000,0.8677,-1.0596,0.6387,1.511
0.069000,1.1145,-0.7480,0.4694,1.422
0.071000,1.2186,-0.1973,0.4523,1.315
0.078000,1.1885,-0.1153,0.3865,1.255
0.082000,1.1077,-0.2073,0.2670,1.158
0.088000,1.0017,-0.3270,0.1511,1.064
0.092000,0.8570,-0.4163,0.0361,0.953
0.096000,0.7420,-0.3981,-0.1074,0.849
0.110000,0.5841,-0.3338,-0.2248,0.709
0.111000,0.4403,-0.2039,-0.3858,0.620
0.112000,0.3053,-0.0412,-0.5047,0.591
0.116000,0.1551,0.1449,-0.5723,0.610
0.123000,-0.0368,0.3332,-0.5721,0.663
0.126000,-0.2745,0.4852,-0.5184,0.761
0.131000,-0.5173,0.5197,-0.4279,0.849
0.135000,-0.7027,0.5079,-0.2931,0.915
0.140000,-0.7160,0.3682,-0.1760,0.824
0.144000,-0.5998,0.1478,-0.1120,0.628
0.150000,-0.3969,-0.0797,-0.1196,0.422
0.155000,-0.1763,-0.2076,-0.1622,0.317
0.160000,0.0384,-0.2602,-0.2014,0.331
0.165000,0.2495,-0.2091,-0.2348,0.401
0.169000,0.3686,-0.1233,-0.2291,0.451
0.174000,0.4072,-0.0406,-0.2133,0.461
0.179000,0.3815,0.0491,-0.1641,0.418
0.185000,0.3219,0.1130,-0.1679,0.380
0.189000,0.2468,0.1153,-0.1267,0.300
0.192000,0.1318,0.0994,-0.1174,0.203
0.198000,0.0247,0.0844,-0.0537,0.103
0.203000,-0.0886,0.0845,-0.0314,0.126
0.208000,-0.2222,0.0829,-0.0263,0.239
0.212000,-0.3209,0.0961,0.0311,0.336
0.216000,-0.4084,0.1599,0.0761,0.445
0.222000,-0.4706,0.2239,0.1232,0.536
0.228000,-0.5550,0.2546,0.1820,0.637
0.232000,-0.6136,0.2303,0.2455,0.700
0.236000,-0.6274,0.1268,0.3330,0.722
0.241000,-0.5629,0.0204,0.3801,0.679
0.247000,-0.4223,-0.1034,0.3583,0.563
0.259000,-0.1958,-0.1682,0.2917,0.390
