time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.1438,0.4525,-0.6166,0.778
0.004000,-0.0907,0.5177,-0.1992,0.562
0.004000,0.0157,0.5745,0.2735,0.636
0.008000,0.1371,0.5082,0.7966,0.955
0.012000,0.2942,0.4438,1.2106,1.323
0.017000,0.4411,0.3463,1.5071,1.608
0.025000,0.5315,0.2579,1.6483,1.751
0.027000,0.6023,0.1507,1.7150,1.824
0.032000,0.6638,0.0596,1.7274,1.851
0.039000,0.7048,0.0664,1.6531,1.798
0.042000,0.7300,0.0425,1.3930,1.573
0.047000,0.6465,0.0713,1.1596,1.330
0.058000,0.5236,0.0615,0.8810,1.027
0.059000,0.4481,0.0590,0.5355,0.701
0.062000,0.3631,0.0264,0.1323,0.387
0.068000,0.2749,-0.0556,-0.2272,0.361
0.073000,0.1959,-0.1424,-0.5709,0.620
0.078000,0.1455,-0.2451,-0.8573,0.903
0.083000,0.0634,-0.2571,-1.0855,1.117
0.088000,0.0086,-0.2444,-1.2426,1.266
0.093000,-0.0421,-0.2779,-1.3141,1.344
0.098000,-0.0734,-0.2777,-1.4197,1.448
0.104000,-0.1332,-0.2657,-1.4420,1.472
0.110000,-0.2032,-0.2878,-1.4455,1.488
0.113000,-0.1951,-0.2883,-1.4051,1.448
0.118000,-0.1941,-0.2327,-1.3911,1.424
0.124000,-0.1882,-0.1476,-1.2781,1.300
0.128000,-0.1650,-0.0440,-1.0924,1.106
0.134000,-0.1263,0.0012,-0.9557,0.964
0.150000,-0.0121,0.0227,-0.7401,0.741
0.151000,0.1269,0.0564,-0.5222,0.540
0.152000,0.1673,0.0380,-0.3928,0.429
0.156000,0.2378,0.0108,-0.2849,0.371
0.159000,0.2396,-0.0488,-0.2511,0.350
0.164000,0.2159,-0.1108,-0.1695,0.296
0.169000,0.1934,-0.1988,-0.1251,0.304
0.177000,0.1425,-0.2861,0.0684,0.327
0.179000,0.0933,-0.2793,0.2815,0.407
0.184000,0.0880,-0.2288,0.4103,0.478
0.190000,0.1084,-0.1443,0.5459,0.575
0.193000,0.0771,-0.1411,0.6250,0.645
0.198000,0.0706,-0.1963,0.5881,0.624
0.203000,0.0313,-0.2655,0.3863,0.470
0.209000,0.0097,-0.2710,0.1967,0.335
0.214000,-0.0371,-0.2998,-0.0249,0.303
0.218000,-0.1156,-0.2945,-0.1366,0.345
0.223000,-0.1891,-0.2060,-0.2077,0.348
0.229000,-0.1967,-0.1229,-0.2433,0.336
0.234000,-0.2636,0.0683,-0.0461,0.276
0.240000,-0.2546,0.1910,0.1219,0.341
0.244000,-0.1623,0.2447,0.3235,0.437
0.249000,0.0189,0.2144,0.4739,0.520
0.255000,0.1901,0.1801,0.5543,0.613
0.260000,0.2632,0.1122,0.5563,0.626
0.265000,0.1864,-0.0104,0.5374,0.569
0.269000,0.0819,-0.1657,0.4530,0.489
0.275000,-0.0251,-0.2896,0.2936,0.413
0.279000,-0.1299,-0.3183,0.2262,0.411
0.284000,-0.1839,-0.2792,0.1657,0.373
0.290000,-0.2891,-0.1941,0.2234,0.414
0.294000,-0.3068,-0.0492,0.3788,0.490
0.299000,-0.2489,0.0163,0.5066,0.565
0.306000,-0.1265,0.0106,0.5603,0.574
0.310000,0.0166,-0.0341,0.5187,0.520
0.315000,0.0886,-0.0950,0.4513,0.470
0.321000,0.0719,-0.1157,0.3328,0.360
0.325000,0.0117,-0.0900,0.1992,0.219
0.329000,0.0334,-0.0724,-0.0562,0.098
0.335000,0.0337,0.0354,-0.3078,0.312
0.340000,-0.0334,0.1082,-0.3969,0.413
0.345000,-0.0120,0.1332,-0.4375,0.457
0.350000,0.0475,0.2177,-0.4629,0.514
0.357000,0.0709,0.3019,-0.4673,0.561
0.360000,0.1333,0.2698,-0.4326,0.527
0.365000,0.1548,0.1881,-0.3887,0.459
0.372000,0.1339,0.1151,-0.2912,0.341
0.375000,0.1354,0.0970,-0.2572,0.306
0.380000,0.0966,0.0533,-0.1919,0.221
0.385000,0.0508,0.0279,-0.2100,0.218
0.390000,0.0122,0.0383,-0.1653,0.170
0.395000,-0.0146,0.0425,-0.2109,0.216
0.400000,-0.0615,0.1221,-0.1830,0.228
0.406000,-0.1222,0.1448,-0.1347,0.232
0.411000,-0.1276,0.1614,-0.0003,0.206
0.415000,-0.0771,0.2128,0.1576,0.276
0.422000,0.0690,0.1693,0.1656,0.247
0.425000,0.1762,0.0589,0.1862,0.263
0.431000,0.2324,-0.0094,0.1632,0.284
0.436000,0.1774,-0.0905,0.1444,0.246
0.441000,0.1258,-0.1291,0.0604,0.190
0.446000,0.0497,-0.1353,0.0129,0.145
0.451000,-0.0350,-0.1134,-0.0598,0.133
0.466000,-0.0744,-0.0791,-0.1301,0.170
0.467000,-0.1000,-0.0224,-0.1561,0.187
0.467000,-0.0956,0.0229,-0.1686,0.195
0.473000,-0.0709,0.0278,-0.1712,0.187
0.478000,-0.0471,0.0139,-0.1662,0.173
0.481000,-0.0174,-0.0056,-0.1847,0.186
0.486000,0.0196,-0.0341,-0.2005,0.204
0.491000,0.0447,-0.0178,-0.2233,0.228
0.497000,0.0053,-0.0042,-0.1801,0.180
0.502000,0.0417,-0.0041,-0.1476,0.153
0.507000,0.0438,-0.0053,-0.0864,0.097
0.512000,0.0024,0.0592,-0.0242,0.064
0.516000,-0.0462,0.0802,0.0059,0.093
0.522000,0.0343,0.0926,0.0897,0.133
0.527000,0.0947,0.1035,0.1054,0.175
0.532000,0.1027,0.0999,0.1188,0.186
0.537000,0.1445,0.0866,0.1155,0.204
0.542000,0.1164,0.1426,0.1660,0.248
0.547000,0.0914,0.1088,0.0814,0.164
0.552000,0.0777,0.0919,0.0317,0.124
0.566000,0.0572,0.1217,-0.0838,0.158
0.567000,0.0117,0.0705,-0.1443,0.161
0.568000,-0.0086,0.0827,-0.2344,0.249
0.573000,-0.0301,0.1605,-0.2693,0.315
0.579000,-0.0597,0.1787,-0.2769,0.335
