time,ax,ay,az
2019-11-14 19:24:02.6470,0.05,-0.03,-0.03
2019-11-14 19:24:02.6890,-0.01,0.01,-0.03
2019-11-14 19:24:02.7790,-0.0,0.06,0.06
2019-11-14 19:24:02.8850,-0.02,0.03,-0.03
2019-11-14 19:24:02.9850,-0.02,-0.03,0.01
2019-11-14 19:24:03.0500,-0.02,0.0,-0.06
2019-11-14 19:24:03.1410,0.01,0.03,-0.0
2019-11-14 19:24:03.2310,0.04,0.03,0.01
2019-11-14 19:24:03.3210,0.01,-0.01,0.01
2019-11-14 19:24:03.4110,-0.03,0.02,-0.03
2019-11-14 19:24:03.5010,-0.01,-0.0,0.0
2019-11-14 19:24:03.5910,-0.0,0.01,-0.01
2019-11-14 19:24:03.6920,-0.01,0.02,0.01
2019-11-14 19:24:03.7880,0.0,0.0,0.0
2019-11-14 19:24:03.8900,0.02,0.0,-0.01
2019-11-14 19:24:03.9530,0.05,-0.01,0.0
2019-11-14 19:24:04.0440,0.03,0.03,0.03
2019-11-14 19:24:04.1340,0.02,0.01,0.02
2019-11-14 19:24:04.2240,0.05,-0.03,0.07
2019-11-14 19:24:04.3140,0.04,-0.04,0.02
2019-11-14 19:24:04.4040,-0.05,-0.02,-0.0
2019-11-14 19:24:04.4940,-0.07,-0.03,0.03
2019-11-14 19:24:04.5950,-0.07,-0.02,0.09
2019-11-14 19:24:04.6930,-0.13,-0.04,0.07
2019-11-14 19:24:04.7940,-0.17,-0.09,0.07
2019-11-14 19:24:04.8560,-0.16,-0.09,0.01
2019-11-14 19:24:04.9460,-0.21,-0.07,0.11
2019-11-14 19:24:05.0360,-0.16,0.03,0.0
2019-11-14 19:24:05.1270,-0.03,-0.02,0.3
2019-11-14 19:24:05.2170,-0.07,0.01,0.09
2019-11-14 19:24:05.3070,-0.17,0.01,0.13
2019-11-14 19:24:05.4000,-0.12,0.12,0.48
2019-11-14 19:24:05.4960,-0.06,0.3,0.73
2019-11-14 19:24:05.5940,-0.55,0.24,0.74
2019-11-14 19:24:05.6950,-0.07,1.5,0.38
2019-11-14 19:24:05.7590,-0.87,1.36,-6.09
2019-11-14 19:24:05.8490,0.58,-0.82,-0.35
2019-11-14 19:24:05.9390,0.68,0.18,0.28
2019-11-14 19:24:06.0290,-0.33,0.07,0.02
2019-11-14 19:24:06.1190,-0.03,0.08,0.34
2019-11-14 19:24:06.2090,-0.05,0.09,-0.12
2019-11-14 19:24:06.3000,-0.09,0.03,-0.25
2019-11-14 19:24:06.3990,-0.07,0.11,0.18
2019-11-14 19:24:06.4960,-0.04,0.06,0.01
2019-11-14 19:24:06.5980,-0.09,-0.06,0.04
2019-11-14 19:24:06.6610,0.03,0.03,0.04
2019-11-14 19:24:06.7520,-0.06,-0.01,0.08
2019-11-14 19:24:06.8420,-0.06,0.01,-0.06
2019-11-14 19:24:06.9320,0.07,0.09,-0.13
2019-11-14 19:24:07.0220,0.04,0.04,-0.01
2019-11-14 19:24:07.1120,-0.05,-0.01,0.05
2019-11-14 19:24:07.2030,0.01,0.01,0.0
2019-11-14 19:24:07.3050,0.01,0.02,0.04
2019-11-14 19:24:07.3990,0.04,0.02,0.05
2019-11-14 19:24:07.4990,0.01,0.02,0.0
2019-11-14 19:24:07.5640,-0.04,0.0,-0.02
2019-11-14 19:24:07.6540,0.06,0.05,0.02
2019-11-14 19:24:07.7440,-0.01,0.03,0.01
