time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.1196,-0.2147,0.7163,0.757
0.005000,-0.0814,-0.2466,0.6543,0.704
0.005000,0.0331,-0.2691,0.6309,0.687
0.009000,0.1050,-0.2109,0.6909,0.730
0.015000,0.0708,-0.1866,0.7504,0.777
0.019000,-0.0641,-0.1699,0.7904,0.811
0.022000,-0.2067,-0.1963,0.7757,0.826
0.029000,-0.2985,-0.2109,0.6902,0.781
0.033000,-0.3216,-0.2185,0.5368,0.663
0.038000,-0.2984,-0.2140,0.3114,0.481
0.043000,-0.2486,-0.1927,0.0501,0.319
0.047000,-0.1914,-0.1381,-0.1972,0.308
0.053000,-0.1555,-0.0716,-0.3616,0.400
0.058000,-0.1096,-0.0005,-0.4274,0.441
0.063000,-0.1033,0.0204,-0.4522,0.464
0.068000,-0.1833,-0.0704,-0.3082,0.365
0.072000,-0.1127,-0.0965,-0.2459,0.287
0.076000,0.0410,-0.0539,-0.1675,0.181
0.082000,0.1199,-0.0119,-0.0420,0.128
0.087000,0.0838,0.0222,0.0235,0.090
0.093000,0.0144,0.0031,0.0319,0.035
0.095000,-0.0266,-0.0166,0.0360,0.048
0.100000,-0.0419,-0.0227,0.0527,0.071
0.107000,-0.0483,-0.0440,0.0936,0.114
0.111000,-0.0558,-0.0543,0.1397,0.160
0.116000,-0.0548,-0.0419,0.1863,0.199
0.120000,-0.0813,-0.0426,0.1835,0.205
0.125000,-0.1372,-0.0492,0.1483,0.208
0.132000,-0.1512,-0.0541,0.0784,0.179
0.135000,-0.1333,-0.0760,-0.0095,0.154
0.145000,-0.0979,-0.1047,-0.0372,0.148
0.146000,-0.0543,-0.1117,-0.0671,0.141
0.151000,-0.0214,-0.0966,-0.0614,0.116
0.154000,-0.0296,-0.0930,-0.0418,0.106
0.158000,-0.0215,-0.0864,-0.0441,0.099
0.163000,-0.0065,-0.0933,-0.0421,0.103
0.167000,0.0558,-0.1041,-0.0549,0.130
0.173000,0.1034,-0.0974,-0.0941,0.170
0.177000,0.1462,-0.0521,-0.1050,0.187
0.182000,0.1839,-0.0139,-0.1493,0.237
0.188000,0.1859,0.0171,-0.1863,0.264
0.192000,0.2045,0.0648,-0.2208,0.308
0.197000,0.2041,0.0766,-0.2647,0.343
0.202000,0.2419,0.0861,-0.2702,0.373
0.208000,0.2632,0.0743,-0.2451,0.367
0.212000,0.2704,0.0722,-0.2321,0.364
0.215000,0.2279,0.0228,-0.2383,0.331
0.222000,0.1765,-0.0333,-0.2373,0.298
0.233000,0.1088,-0.1152,-0.2340,0.283
0.233000,0.0579,-0.1865,-0.2403,0.310
0.235000,0.0498,-0.2380,-0.1779,0.301
0.248000,0.1247,-0.2126,-0.1115,0.271
0.250000,0.1872,-0.1587,-0.0648,0.254
0.250000,0.2398,-0.0550,-0.0591,0.253
0.256000,0.2946,0.0384,-0.0583,0.303
0.260000,0.2945,0.0767,-0.0316,0.306
0.264000,0.2470,0.0865,0.0042,0.262
0.269000,0.2239,0.0656,0.0562,0.240
0.274000,0.2698,0.0618,0.0695,0.285
0.279000,0.3392,0.0748,0.0779,0.356
0.284000,0.4441,0.1256,0.1124,0.475
0.287000,0.5608,0.2420,0.1586,0.631
0.294000,0.6612,0.3426,0.1951,0.770
0.298000,0.6460,0.3989,0.2080,0.787
0.303000,0.5899,0.3897,0.2235,0.742
