time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.3301,0.3309,-0.9728,1.079
0.004000,0.1793,0.4877,-1.1554,1.267
0.005000,0.0587,0.6742,-1.2324,1.406
0.008000,-0.0718,0.8253,-1.1780,1.440
0.012000,-0.0744,0.9799,-1.0776,1.458
0.022000,-0.0601,1.0463,-0.8322,1.338
0.023000,0.0194,1.0950,-0.4916,1.200
0.028000,0.1280,1.0894,-0.1219,1.104
0.033000,0.2138,1.0849,0.2033,1.124
0.038000,0.2486,1.0206,0.4783,1.154
0.043000,0.3215,0.8795,0.6222,1.124
0.048000,0.3482,0.6986,0.7965,1.115
0.053000,0.4092,0.5271,0.8937,1.115
0.058000,0.4550,0.3295,0.9805,1.130
0.063000,0.4329,0.1540,1.0747,1.169
0.071000,0.3495,-0.0137,1.1859,1.236
0.073000,0.2234,-0.1613,1.1942,1.226
0.078000,0.2007,-0.2204,1.1704,1.208
0.083000,0.1986,-0.1621,1.0831,1.113
0.089000,0.1440,-0.0844,0.9837,0.998
0.093000,0.0763,-0.0166,0.8397,0.843
0.099000,0.0143,0.0810,0.7229,0.728
0.103000,0.0528,0.2107,0.5506,0.592
0.109000,0.0978,0.2781,0.3302,0.443
0.113000,0.1391,0.2797,0.1201,0.335
0.119000,0.2420,0.2691,-0.0777,0.370
0.124000,0.3374,0.2292,-0.3316,0.526
0.128000,0.3512,0.2420,-0.6121,0.746
0.134000,0.3459,0.2450,-0.8310,0.933
0.139000,0.2871,0.3096,-0.9866,1.073
0.144000,0.1786,0.4122,-0.9725,1.071
0.150000,0.1211,0.5171,-0.8681,1.018
0.154000,0.1759,0.5688,-0.7569,0.963
0.159000,0.2262,0.5676,-0.5931,0.851
0.164000,0.3608,0.4887,-0.4085,0.732
0.178000,0.5282,0.3898,-0.1824,0.681
0.179000,0.5923,0.2403,-0.1224,0.651
0.180000,0.5832,0.0324,-0.1015,0.593
0.184000,0.5453,-0.1622,-0.1708,0.594
0.190000,0.3875,-0.3341,-0.2560,0.572
0.195000,0.2328,-0.4370,-0.3428,0.602
0.204000,0.0848,-0.5270,-0.4251,0.682
0.206000,-0.0258,-0.5290,-0.4541,0.698
0.210000,-0.0670,-0.4742,-0.4834,0.680
0.215000,-0.1334,-0.3614,-0.4379,0.583
0.220000,-0.1337,-0.2909,-0.3632,0.484
0.225000,-0.1012,-0.2420,-0.3215,0.415
0.230000,-0.0537,-0.1656,-0.2568,0.310
0.237000,0.0402,-0.1683,-0.1981,0.263
0.240000,0.1133,-0.1934,-0.0703,0.235
0.245000,0.1071,-0.1973,0.0594,0.232
0.250000,0.1504,-0.2895,0.0258,0.327
0.255000,0.1742,-0.3501,-0.0371,0.393
0.260000,0.1785,-0.3334,-0.1331,0.401
0.265000,0.1633,-0.3160,-0.1592,0.390
0.282000,0.1727,-0.2127,-0.2365,0.362
0.283000,0.2065,-0.1300,-0.3398,0.418
0.284000,0.2501,-0.0810,-0.4021,0.480
0.287000,0.3306,-0.0111,-0.4735,0.578
0.290000,0.4033,0.0769,-0.4976,0.645
0.296000,0.5387,0.2803,-0.5639,0.829
0.301000,0.4660,0.1597,-0.4760,0.685
0.307000,0.4001,0.0480,-0.4948,0.638
0.310000,0.4294,0.0383,-0.5699,0.715
0.315000,0.4524,0.0431,-0.6331,0.779
0.321000,0.5336,0.0623,-0.5635,0.779
0.326000,0.6412,0.0610,-0.4247,0.772
0.331000,0.6922,0.0661,-0.2750,0.748
0.336000,0.6784,0.0646,-0.2028,0.711
0.341000,0.6156,0.0444,-0.0861,0.623
0.345000,0.5693,0.0209,-0.0026,0.570
0.350000,0.5754,-0.0122,0.0239,0.576
0.356000,0.5728,-0.0286,0.0103,0.574
0.361000,0.5427,-0.0430,-0.0431,0.546
0.366000,0.5078,-0.0422,-0.1197,0.523
0.381000,0.5095,-0.0405,-0.1812,0.542
0.381000,0.4817,-0.0854,-0.3235,0.586
0.382000,0.4457,-0.0807,-0.4234,0.620
0.387000,0.4099,-0.0418,-0.4586,0.617
0.391000,0.3634,-0.0580,-0.5332,0.648
0.396000,0.3651,-0.0329,-0.6056,0.708
0.401000,0.3684,-0.0321,-0.5182,0.637
0.406000,0.3845,0.0056,-0.3823,0.542
0.411000,0.4490,0.0564,-0.1694,0.483
0.416000,0.5074,0.1118,-0.0384,0.521
0.421000,0.5737,0.1297,0.0466,0.590
0.426000,0.6322,0.1688,0.1062,0.663
0.431000,0.6722,0.1927,0.1344,0.712
0.437000,0.7185,0.1607,0.1447,0.750
0.441000,0.7248,0.1860,0.1360,0.761
0.447000,0.7181,0.2086,0.0941,0.754
0.453000,0.6938,0.2294,-0.0001,0.731
0.456000,0.6764,0.1945,-0.1010,0.711
0.462000,0.6277,0.1987,-0.2601,0.708
0.467000,0.5996,0.1904,-0.3793,0.735
0.472000,0.5234,0.1829,-0.4670,0.725
0.476000,0.4685,0.1870,-0.4828,0.698
0.481000,0.4312,0.1929,-0.4612,0.660
0.499000,0.4161,0.1575,-0.4454,0.630
0.501000,0.3817,0.1751,-0.3204,0.528
0.502000,0.4187,0.1270,-0.2584,0.508
0.503000,0.4689,0.1566,-0.3658,0.615
0.527000,0.5268,0.1074,-0.4247,0.685
0.527000,0.5177,0.1399,-0.5251,0.751
0.528000,0.5076,0.1227,-0.5189,0.736
0.528000,0.3992,0.1298,-0.3844,0.569
0.529000,0.3151,0.1918,-0.1840,0.412
0.532000,0.3394,0.2390,-0.0597,0.419
0.539000,0.3830,0.2546,-0.0318,0.461
0.542000,0.4687,0.2701,-0.0165,0.541
0.547000,0.5490,0.2956,-0.0750,0.628
0.553000,0.5712,0.3053,-0.0258,0.648
0.557000,0.5215,0.3143,0.1511,0.627
0.562000,0.5408,0.3666,0.3201,0.728
0.567000,0.5907,0.3692,0.4153,0.811
0.572000,0.6790,0.3634,0.3947,0.865
0.577000,0.7062,0.3697,0.3590,0.874
0.582000,0.6912,0.3485,0.3582,0.853
0.599000,0.5800,0.3840,0.5058,0.860
0.600000,0.5262,0.4254,0.7564,1.015
0.601000,0.5263,0.5106,0.9224,1.178
0.604000,0.5830,0.5245,0.9645,1.243
0.608000,0.6768,0.4880,1.0006,1.303
0.613000,0.6739,0.4544,0.9565,1.255
0.628000,0.6917,0.4746,0.9499,1.267
0.629000,0.6896,0.4988,0.9163,1.251
0.629000,0.7799,0.5612,0.8117,1.258
0.633000,0.8792,0.6100,0.6196,1.237
0.640000,0.9569,0.5807,0.4418,1.203
0.643000,1.0283,0.5497,0.2770,1.198
0.648000,1.0883,0.5515,0.0344,1.221
0.655000,1.1991,0.6147,-0.2847,1.377
0.658000,1.4958,0.7261,-0.6399,1.782
0.663000,1.8614,0.8030,-0.8183,2.186
0.668000,1.5849,0.6160,-0.8301,1.892
0.673000,1.6212,0.5199,-1.2948,2.139
0.678000,1.6155,0.4371,-1.5162,2.258
0.683000,1.4581,0.3503,-1.5040,2.124
0.698000,1.2887,0.2918,-1.6277,2.096
0.700000,1.1730,0.2470,-1.8501,2.204
0.700000,0.9876,0.1035,-1.9701,2.206
0.705000,0.8847,-0.0354,-1.9055,2.101
0.709000,0.7822,-0.2649,-1.8743,2.048
0.714000,0.6594,-0.4266,-1.8287,1.990
0.719000,0.6115,-0.5148,-1.8851,2.048
0.724000,0.6215,-0.6349,-1.9146,2.111
0.729000,0.4035,-0.7760,-1.9345,2.123
0.734000,-0.0511,-0.9288,-1.9522,2.163
0.739000,-0.3685,-0.9109,-2.2166,2.425
0.744000,-0.4430,-0.6469,-3.1127,3.210
0.749000,-1.0148,-0.5144,-3.2113,3.407
0.754000,-1.8547,-0.6295,-3.0680,3.640
0.759000,-2.7098,-0.8253,-2.9735,4.107
0.764000,-3.5260,-1.0199,-2.5308,4.458
0.769000,-4.1772,-1.3123,-1.8281,4.745
