time,ax,ay,az
2019-11-14 20:38:00.5090,-0.1,0.0,0.04
2019-11-14 20:38:00.5560,-0.0,-0.06,0.04
2019-11-14 20:38:00.6470,-0.0,-0.06,-0.02
2019-11-14 20:38:00.7390,-0.02,-0.04,-0.06
2019-11-14 20:38:00.8280,-0.03,-0.01,0.01
2019-11-14 20:38:00.9190,-0.06,0.01,0.03
2019-11-14 20:38:01.0080,-0.02,0.01,0.06
2019-11-14 20:38:01.0980,-0.01,0.0,0.02
2019-11-14 20:38:01.1900,-0.02,-0.02,-0.02
2019-11-14 20:38:01.2910,-0.02,-0.04,-0.0
2019-11-14 20:38:01.3880,-0.01,-0.01,0.01
2019-11-14 20:38:01.4600,-0.05,0.01,0.0
2019-11-14 20:38:01.5490,-0.02,-0.02,0.02
2019-11-14 20:38:01.6440,0.03,-0.05,-0.01
2019-11-14 20:38:01.7300,0.03,-0.01,-0.04
2019-11-14 20:38:01.8250,0.01,0.01,0.0
2019-11-14 20:38:01.9100,0.0,0.03,0.01
2019-11-14 20:38:02.0010,0.01,0.0,0.02
2019-11-14 20:38:02.0920,-0.0,-0.02,0.01
2019-11-14 20:38:02.1930,-0.01,-0.02,-0.0
2019-11-14 20:38:02.2870,-0.01,-0.01,-0.01
2019-11-14 20:38:02.3630,-0.02,-0.01,-0.01
2019-11-14 20:38:02.4520,-0.02,0.0,0.01
2019-11-14 20:38:02.5480,0.04,-0.01,0.03
2019-11-14 20:38:02.6330,0.01,-0.02,-0.0
2019-11-14 20:38:02.7250,-0.02,0.03,-0.03
2019-11-14 20:38:02.8130,-0.01,0.01,0.01
2019-11-14 20:38:02.9030,-0.02,0.02,-0.01
2019-11-14 20:38:02.9940,-0.03,0.01,0.04
2019-11-14 20:38:03.1020,-0.02,-0.02,0.04
2019-11-14 20:38:03.1910,-0.02,-0.02,0.04
2019-11-14 20:38:03.2680,-0.03,-0.02,0.02
2019-11-14 20:38:03.3550,-0.03,0.02,0.0
2019-11-14 20:38:03.4470,0.0,0.03,0.06
2019-11-14 20:38:03.5370,0.01,-0.0,0.05
2019-11-14 20:38:03.6280,0.06,-0.02,0.1
