time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.0023,-0.2818,0.5971,0.660
0.003000,-0.2873,-0.4133,0.3815,0.632
0.003000,-0.4426,-0.5135,0.1637,0.697
0.009000,-0.3958,-0.5422,-0.0114,0.671
0.014000,-0.2607,-0.5101,-0.2382,0.620
0.017000,-0.2514,-0.4884,-0.2700,0.612
0.021000,-0.2406,-0.4340,-0.1369,0.515
0.031000,-0.1019,-0.3828,-0.0518,0.400
0.037000,-0.2357,-0.3159,-0.4462,0.595
0.038000,-0.2446,-0.2068,-0.4214,0.529
0.045000,0.0038,-0.1720,-0.0475,0.178
0.046000,0.1022,-0.0689,0.2148,0.248
0.054000,0.0710,-0.0077,0.7846,0.788
0.058000,-0.1215,-0.0292,1.6507,1.655
0.062000,-0.4734,-0.0989,2.2826,2.333
0.067000,-0.8037,-0.1867,2.2512,2.398
0.071000,-0.9247,-0.3690,2.2082,2.422
0.076000,-0.7408,-0.4464,1.6193,1.836
0.082000,0.0525,-0.1767,0.9324,0.950
0.086000,0.8600,0.4216,0.4530,1.060
0.091000,1.3147,1.0280,0.3238,1.700
0.094000,1.3644,1.3177,0.4463,1.949
0.101000,1.0092,1.2211,0.5480,1.676
0.105000,0.5236,0.8000,0.5194,1.088
0.110000,0.0473,0.2696,0.4520,0.528
0.115000,-0.4377,-0.4060,0.3887,0.712
0.118000,-0.8461,-1.1070,0.3488,1.436
0.128000,-0.9859,-1.4171,0.3223,1.756
0.131000,-0.9734,-1.3028,0.2849,1.651
0.134000,-0.9515,-0.9959,0.2914,1.408
0.139000,-0.9266,-0.7882,0.2266,1.237
0.142000,-0.8101,-0.6075,0.1431,1.023
0.149000,-0.7165,-0.4631,0.0119,0.853
0.153000,-0.6098,-0.3836,-0.1166,0.730
0.160000,-0.5018,-0.3616,-0.1756,0.643
0.162000,-0.4232,-0.3657,-0.1653,0.583
0.167000,-0.3830,-0.3651,-0.0953,0.538
0.174000,-0.3377,-0.3477,0.0177,0.485
0.177000,-0.2413,-0.3284,0.0927,0.418
0.182000,-0.1510,-0.3194,0.0799,0.362
0.187000,-0.0402,-0.2922,0.1538,0.333
0.190000,0.0605,-0.1320,0.2142,0.259
0.197000,0.1055,-0.0425,0.2278,0.255
0.202000,0.1445,0.0027,0.1587,0.215
0.207000,0.1892,0.0157,0.0404,0.194
0.210000,0.1792,-0.0437,-0.1059,0.213
0.214000,0.1286,-0.1583,-0.2589,0.330
0.220000,0.0773,-0.2725,-0.3616,0.459
0.226000,0.0466,-0.3883,-0.4147,0.570
0.230000,0.0578,-0.4454,-0.4160,0.612
0.234000,0.0991,-0.4866,-0.4328,0.659
0.239000,0.1345,-0.4664,-0.4367,0.653
0.245000,0.1808,-0.4541,-0.4612,0.672
0.249000,0.2476,-0.4186,-0.4488,0.662
0.254000,0.3230,-0.4055,-0.4234,0.669
0.258000,0.4311,-0.4031,-0.4135,0.721
0.263000,0.5051,-0.3970,-0.3928,0.753
0.268000,0.5570,-0.3874,-0.3253,0.752
0.281000,0.6230,-0.3529,-0.2634,0.763
0.282000,0.7009,-0.3174,-0.2934,0.823
0.283000,0.7645,-0.2929,-0.2788,0.865
0.287000,0.7691,-0.2507,-0.2147,0.837
0.298000,0.7389,-0.2340,-0.0654,0.778
0.300000,0.6888,-0.2120,0.0475,0.722
0.303000,0.6522,-0.2137,0.1649,0.706
0.308000,0.5857,-0.2322,0.2416,0.675
0.311000,0.5657,-0.2606,0.3306,0.705
0.317000,0.5252,-0.2609,0.4080,0.714
0.324000,0.5215,-0.2333,0.4333,0.717
0.326000,0.4468,-0.2424,0.4427,0.674
0.331000,0.3418,-0.2883,0.4911,0.664
0.335000,0.2375,-0.3447,0.5139,0.663
0.342000,0.2008,-0.4452,0.5210,0.714
0.347000,0.1908,-0.4871,0.4526,0.692
0.351000,0.1978,-0.5540,0.3973,0.710
0.357000,0.1838,-0.5837,0.3478,0.704
0.360000,0.1534,-0.5930,0.3136,0.688
