time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.4247,-0.1904,-0.4898,0.676
0.003000,-0.4080,-0.1775,-0.3701,0.579
0.004000,-0.3807,-0.1206,-0.1508,0.427
0.007000,-0.3046,-0.0310,0.1767,0.354
0.013000,-0.1347,0.0844,0.4811,0.507
0.018000,0.1234,0.2138,0.7760,0.814
0.025000,0.3808,0.3236,0.9433,1.068
0.028000,0.5024,0.3648,0.9247,1.114
0.033000,0.4806,0.3396,0.9669,1.132
0.039000,0.3463,0.2499,0.9033,0.999
0.043000,0.1809,0.1871,0.8068,0.848
0.048000,-0.0152,0.0676,0.6522,0.656
0.053000,-0.2070,-0.0863,0.5242,0.570
0.058000,-0.3427,-0.2807,0.4144,0.607
0.063000,-0.4729,-0.4559,0.3587,0.748
0.068000,-0.5829,-0.5273,0.2782,0.834
0.074000,-0.6404,-0.5514,0.1933,0.867
0.078000,-0.6423,-0.5286,0.1533,0.846
0.083000,-0.6204,-0.4925,0.0792,0.796
0.089000,-0.5142,-0.3799,0.0356,0.640
0.094000,-0.4107,-0.2326,0.1025,0.483
0.098000,-0.2793,-0.1535,0.2343,0.396
0.103000,-0.1755,-0.0673,0.3378,0.387
0.109000,-0.0605,0.0227,0.3244,0.331
0.113000,0.0652,-0.0372,0.3017,0.311
0.119000,0.1133,-0.1259,0.2636,0.313
0.124000,0.0865,-0.1557,0.1789,0.252
0.129000,0.0483,-0.1670,0.0379,0.178
0.134000,-0.0304,-0.1573,-0.1007,0.189
0.140000,-0.1083,-0.1386,-0.1857,0.256
0.144000,-0.2197,-0.1792,-0.3101,0.420
0.150000,-0.3546,-0.2506,-0.3306,0.546
0.156000,-0.4525,-0.2944,-0.2757,0.606
0.160000,-0.4980,-0.3385,-0.2159,0.640
0.165000,-0.4872,-0.3569,-0.1512,0.623
0.170000,-0.4561,-0.2912,-0.0551,0.544
0.184000,-0.3650,-0.2849,0.0281,0.464
0.186000,-0.2849,-0.3401,0.1233,0.460
0.186000,-0.2095,-0.4323,0.1730,0.511
0.193000,-0.1804,-0.5573,0.2164,0.624
0.195000,-0.1968,-0.5971,0.2352,0.671
0.199000,-0.2329,-0.4915,0.2279,0.590
0.205000,-0.2343,-0.3517,0.2566,0.494
0.209000,-0.2321,-0.2805,0.2985,0.471
0.214000,-0.2635,-0.1466,0.3933,0.496
0.219000,-0.1739,-0.0692,0.4671,0.503
0.224000,-0.0476,-0.0636,0.5395,0.545
0.229000,0.1257,-0.0286,0.5511,0.566
0.234000,0.2548,-0.1033,0.3911,0.478
0.240000,0.3645,-0.0822,0.1769,0.413
0.245000,0.3576,-0.0728,0.0507,0.368
0.250000,0.2833,0.0425,-0.0021,0.286
0.266000,0.2087,0.1731,-0.0429,0.274
0.266000,0.1064,0.2472,0.0468,0.273
0.266000,0.1149,0.2385,0.1352,0.297
0.272000,0.1482,0.2319,0.1757,0.327
0.275000,0.2369,0.0364,0.1458,0.281
0.280000,0.2425,-0.1245,0.1053,0.292
0.285000,0.1894,-0.2600,0.0948,0.335
0.290000,0.1876,-0.3102,0.0315,0.364
0.295000,0.1561,-0.3453,0.0206,0.380
0.300000,0.1464,-0.2494,0.0381,0.292
0.306000,0.1181,-0.1384,0.0982,0.207
0.310000,0.1057,-0.0116,0.1818,0.211
0.315000,0.1437,0.0862,0.1949,0.257
0.321000,0.2582,0.1247,0.2214,0.362
0.326000,0.3163,0.0526,0.1668,0.361
0.331000,0.3909,0.0179,0.1045,0.405
0.336000,0.4127,-0.0318,0.0557,0.418
0.341000,0.4093,-0.0616,-0.0465,0.417
0.346000,0.3756,-0.0034,-0.1531,0.406
0.351000,0.3505,0.0546,-0.2153,0.415
0.366000,0.3021,0.1378,-0.2285,0.403
0.367000,0.2797,0.1493,-0.1844,0.367
0.367000,0.2993,0.1388,-0.1299,0.355
0.372000,0.2714,0.1289,0.0079,0.301
0.378000,0.1828,0.0045,0.1286,0.224
0.381000,0.1506,-0.1413,0.1822,0.275
0.386000,0.1647,-0.2251,0.2383,0.367
0.391000,0.1941,-0.2650,0.2181,0.394
0.396000,0.1814,-0.2405,0.1251,0.326
0.401000,0.0884,-0.2555,0.0011,0.270
0.407000,-0.0083,-0.2890,0.0133,0.289
0.412000,-0.0762,-0.2463,0.1661,0.307
0.416000,-0.1033,-0.1886,0.2167,0.305
0.422000,-0.1144,-0.1295,0.3795,0.417
0.427000,-0.0377,-0.1245,0.5290,0.545
0.432000,0.0446,-0.1273,0.5627,0.579
0.436000,0.0964,-0.1898,0.5096,0.552
0.442000,0.1163,-0.2162,0.4188,0.485
0.447000,0.0850,-0.2722,0.2917,0.408
0.452000,-0.0599,-0.3216,0.1064,0.344
0.458000,-0.1870,-0.3053,-0.0558,0.362
0.463000,-0.2521,-0.2875,-0.1690,0.418
0.467000,-0.2709,-0.2701,-0.2835,0.476
0.472000,-0.2834,-0.2579,-0.2836,0.477
0.477000,-0.2286,-0.2140,-0.2421,0.396
0.482000,-0.1578,-0.1674,-0.1794,0.292
0.487000,-0.0913,-0.1100,-0.1216,0.188
0.492000,-0.0754,-0.0824,0.0245,0.114
0.497000,-0.0144,-0.0074,0.0916,0.093
0.502000,-0.0121,-0.0109,0.1577,0.159
0.507000,-0.0331,-0.0451,0.2314,0.238
0.512000,-0.0520,-0.1066,0.2097,0.241
0.517000,-0.1337,-0.0613,0.2173,0.262
0.523000,-0.1737,-0.0083,0.2071,0.270
0.528000,-0.1765,0.1056,0.1791,0.273
0.533000,-0.0579,0.0789,0.1914,0.215
0.538000,0.0542,0.0065,0.1555,0.165
0.543000,0.0858,-0.0335,0.1633,0.188
0.548000,0.0996,-0.1092,0.1514,0.212
0.554000,0.1172,-0.1226,0.1413,0.221
0.568000,0.1145,-0.0788,0.1033,0.173
0.569000,0.0958,-0.0512,0.0221,0.111
0.570000,0.0374,-0.0405,0.0330,0.064
0.574000,0.0032,0.0004,0.0229,0.023
0.579000,-0.0159,0.1211,0.0409,0.129
0.583000,0.0412,0.1921,0.0130,0.197
0.588000,0.0000,0.2210,0.0001,0.221
0.593000,0.0788,0.2071,0.0475,0.227
0.598000,0.1775,0.1834,0.0232,0.256
0.603000,0.2260,0.1419,0.0526,0.272
0.608000,0.2572,0.1428,0.0734,0.303
0.613000,0.3013,0.1385,0.0747,0.340
0.618000,0.2937,0.1376,0.0481,0.328
0.623000,0.2809,0.1110,0.0870,0.314
0.628000,0.2232,0.1147,0.1495,0.292
0.634000,0.2219,0.1077,0.1367,0.282
0.639000,0.1908,0.1278,0.1312,0.264
0.644000,0.2071,0.1986,0.1511,0.324
0.649000,0.2074,0.2830,0.0900,0.362
0.654000,0.2983,0.3883,0.0472,0.492
0.660000,0.4058,0.4178,-0.0002,0.582
0.665000,0.4427,0.3351,-0.0141,0.555
0.669000,0.4345,0.2327,0.0136,0.493
0.683000,0.3862,0.1898,0.0301,0.431
0.684000,0.3063,0.1202,0.0379,0.331
0.685000,0.2533,0.0999,0.0061,0.272
0.689000,0.1466,0.0700,0.0103,0.163
0.694000,0.0540,0.0648,0.0051,0.084
0.699000,0.0250,0.0469,-0.0033,0.053
0.704000,0.0236,0.0589,0.0104,0.064
0.709000,0.0093,0.0359,0.0247,0.045
0.714000,0.0109,0.0740,-0.0202,0.078
0.719000,0.0360,0.0817,-0.1138,0.145
0.724000,0.0747,0.1728,-0.2153,0.286
0.729000,0.1073,0.2496,-0.2379,0.361
0.734000,0.1673,0.2624,-0.2476,0.398
0.741000,0.1894,0.2370,-0.2886,0.419
0.745000,0.2106,0.1701,-0.2657,0.379
0.750000,0.2193,0.1903,-0.2339,0.373
0.767000,0.2332,0.1707,-0.2277,0.368
0.768000,0.2023,0.1639,-0.1672,0.309
0.768000,0.1587,0.1277,-0.1656,0.263
0.770000,0.1400,0.1274,-0.1984,0.274
0.775000,0.0494,0.0912,-0.1857,0.213
0.780000,0.0133,0.0943,-0.0946,0.134
0.785000,-0.0219,0.1030,-0.0125,0.106
0.790000,-0.0059,0.0603,0.0655,0.089
0.795000,0.0126,0.0959,0.0789,0.125
0.800000,0.0099,0.0788,0.1053,0.132
0.805000,0.0077,0.0500,0.0497,0.071
0.810000,-0.0247,0.0428,0.0360,0.061
0.815000,-0.0503,0.0749,-0.0559,0.106
0.820000,-0.0373,0.1152,-0.0545,0.133
0.825000,-0.0590,0.1400,-0.1102,0.188
0.830000,-0.0559,0.1267,-0.1857,0.232
0.835000,-0.0901,0.1887,-0.2311,0.312
0.847000,-0.1789,0.1748,-0.2206,0.333
0.851000,-0.1446,0.1378,-0.1475,0.248
0.851000,-0.0618,0.1505,-0.0600,0.173
0.866000,-0.0326,0.1399,0.0681,0.159
0.867000,-0.0138,0.1097,0.1391,0.178
0.867000,-0.0216,0.0478,0.2558,0.261
0.870000,-0.0296,-0.0123,0.3157,0.317
0.875000,-0.0631,0.0133,0.3183,0.325
0.880000,-0.1340,-0.0141,0.2582,0.291
0.885000,-0.1904,-0.0210,0.1801,0.263
0.890000,-0.2465,-0.0004,0.0358,0.249
0.895000,-0.2769,0.0401,-0.1388,0.312
0.900000,-0.3113,0.1273,-0.1607,0.373
0.906000,-0.2752,0.1410,-0.1406,0.340
0.910000,-0.1750,0.2111,-0.1541,0.315
0.915000,-0.1063,0.2262,-0.1311,0.282
0.920000,0.0136,0.2574,-0.0326,0.260
0.926000,0.0920,0.2824,0.1072,0.316
0.931000,0.1771,0.2739,0.1753,0.370
0.936000,0.2714,0.2782,0.1962,0.435
0.941000,0.2511,0.3068,0.2145,0.451
0.946000,0.2360,0.2867,0.2147,0.429
0.951000,0.1801,0.3204,0.1205,0.387
0.957000,0.1200,0.3295,-0.0247,0.352
0.961000,0.0741,0.3524,-0.1300,0.383
0.966000,0.0776,0.3591,-0.2360,0.437
0.972000,0.0842,0.3473,-0.2939,0.463
0.977000,0.0865,0.2787,-0.2867,0.409
0.981000,0.0940,0.2612,-0.2855,0.398
0.987000,0.1093,0.2196,-0.2865,0.377
0.991000,0.0980,0.2089,-0.2671,0.353
0.997000,0.0783,0.2564,-0.2368,0.358
1.001000,0.1051,0.2665,-0.2661,0.391
1.007000,0.1032,0.2811,-0.2558,0.394
1.012000,0.0654,0.2822,-0.2371,0.374
1.017000,0.0609,0.2891,-0.3366,0.448
1.022000,0.1112,0.3258,-0.3630,0.500
1.026000,0.1012,0.3351,-0.4708,0.587
1.032000,0.1291,0.3542,-0.5272,0.648
1.037000,0.1543,0.4230,-0.5933,0.745
1.043000,0.1842,0.4555,-0.6503,0.815
1.048000,0.1868,0.4207,-0.6359,0.785
