time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.0253,-0.0449,-0.1300,0.140
0.005000,-0.0749,-0.0186,-0.0348,0.085
0.008000,0.0072,0.0701,-0.0243,0.075
0.009000,0.1633,0.0950,-0.0388,0.193
0.014000,0.2980,0.1279,0.0311,0.326
0.019000,0.2884,0.1426,0.1538,0.357
0.023000,0.2258,0.1436,0.3033,0.404
0.029000,0.1837,0.1400,0.4466,0.503
0.034000,0.1283,0.1148,0.5867,0.611
0.043000,0.0662,0.1176,0.6717,0.685
0.044000,-0.0123,0.0909,0.6669,0.673
0.048000,-0.0003,-0.0032,0.7179,0.718
0.053000,0.1540,0.0614,0.6939,0.713
0.058000,0.1362,0.0981,0.6427,0.664
0.063000,0.0260,0.0693,0.6097,0.614
0.067000,-0.0551,0.0420,0.5900,0.594
0.071000,-0.1552,-0.0073,0.5549,0.576
0.078000,-0.1675,-0.0429,0.5162,0.544
0.082000,-0.1093,-0.0266,0.4667,0.480
0.086000,0.0095,0.0412,0.3992,0.401
0.097000,0.0629,0.0986,0.3185,0.339
0.097000,0.0611,0.1338,0.2435,0.284
0.102000,0.0045,0.1496,0.1811,0.235
0.110000,-0.0710,0.1392,0.1478,0.215
0.111000,-0.1013,0.1266,0.1242,0.204
0.116000,-0.0421,0.1309,0.0936,0.166
0.119000,0.0559,0.1281,0.0703,0.156
0.126000,0.1617,0.1847,0.0448,0.250
0.131000,0.3088,0.2506,0.0241,0.398
0.135000,0.4023,0.3185,0.0130,0.513
0.140000,0.4283,0.3240,0.1017,0.547
0.144000,0.4018,0.3293,0.1519,0.541
0.149000,0.3377,0.2794,0.1926,0.479
0.157000,0.2745,-0.0127,0.1836,0.331
0.159000,0.1725,0.0486,0.2225,0.286
0.163000,0.0081,-0.1330,0.3254,0.352
0.169000,0.0235,-0.1402,0.6178,0.634
0.175000,0.1837,-0.0459,0.5593,0.591
0.179000,0.2796,-0.5371,0.1815,0.632
0.184000,0.0069,-0.6942,0.1177,0.704
0.187000,-0.3641,-0.4151,0.0564,0.555
0.193000,-0.6421,-0.0596,0.0663,0.648
0.198000,-0.6662,0.1818,0.0854,0.696
0.203000,-0.4179,0.2222,0.2368,0.529
0.208000,-0.2174,0.1392,0.2823,0.383
0.211000,-0.2417,-0.0476,0.1516,0.289
0.216000,-0.3061,-0.1995,-0.0064,0.365
0.230000,-0.3295,-0.2501,-0.1705,0.447
0.231000,-0.3006,-0.2546,-0.3171,0.506
0.232000,-0.2791,-0.1964,-0.3756,0.507
0.235000,-0.2720,-0.1306,-0.3513,0.463
0.245000,-0.2577,-0.0479,-0.3256,0.418
0.246000,-0.2625,-0.0102,-0.2795,0.384
0.251000,-0.2678,0.0228,-0.2436,0.363
0.257000,-0.2811,0.0393,-0.1441,0.318
0.259000,-0.2721,0.0792,0.0212,0.284
0.264000,-0.2296,0.1086,0.0124,0.254
0.270000,-0.1780,0.1393,-0.1023,0.248
0.275000,-0.1174,0.1690,-0.1513,0.255
0.280000,-0.0305,0.1695,-0.0950,0.197
0.283000,-0.0240,0.1505,-0.0125,0.153
0.290000,0.0383,0.1335,0.0959,0.169
0.296000,0.0867,0.1228,0.2660,0.306
0.299000,-0.0476,0.1798,0.3576,0.403
0.303000,-0.2297,0.1969,0.2194,0.374
0.308000,-0.2687,0.1655,0.0452,0.319
0.313000,-0.1990,0.0838,-0.0651,0.226
0.319000,-0.1333,0.0191,-0.1410,0.195
0.324000,-0.1619,-0.0263,-0.1590,0.228
0.329000,-0.2103,-0.0549,-0.1482,0.263
0.332000,-0.2066,-0.0477,-0.1328,0.250
0.336000,-0.1652,-0.0501,-0.1506,0.229
0.343000,-0.1266,-0.0547,-0.1969,0.240
0.348000,-0.0955,-0.0874,-0.3025,0.329
0.352000,-0.0837,-0.0765,-0.3389,0.357
0.364000,-0.0604,-0.0603,-0.3139,0.325
0.365000,-0.0159,-0.0199,-0.2469,0.248
0.368000,0.0333,-0.0031,-0.1596,0.163
0.372000,0.0422,-0.0004,-0.1232,0.130
0.379000,0.0705,0.0049,-0.1063,0.128
0.380000,0.0846,0.0055,-0.0943,0.127
0.385000,0.1229,0.0227,-0.1133,0.169
0.391000,0.1616,0.0776,-0.1083,0.209
0.395000,0.2080,0.1153,-0.1031,0.259
0.400000,0.1955,0.1213,-0.1070,0.254
0.404000,0.1742,0.1268,-0.1199,0.247
0.409000,0.1323,0.0818,-0.1487,0.215
0.415000,0.1196,0.0559,-0.1960,0.236
0.420000,0.0787,0.0228,-0.2403,0.254
0.425000,0.0715,0.0210,-0.2937,0.303
0.429000,0.1170,0.0766,-0.3140,0.344
0.433000,0.1270,0.0922,-0.2898,0.330
0.452000,0.1018,0.0751,-0.2356,0.267
0.453000,0.0393,-0.0006,-0.2014,0.205
0.454000,-0.0014,-0.0538,-0.1704,0.179
0.454000,-0.0110,-0.1111,-0.1588,0.194
0.473000,0.0004,-0.1083,-0.1975,0.225
0.474000,0.0090,-0.1031,-0.2027,0.228
0.474000,0.0055,-0.0810,-0.2247,0.239
0.476000,0.0112,-0.0541,-0.2230,0.230
0.476000,0.0261,-0.0319,-0.1670,0.172
0.483000,0.0623,0.0046,-0.1071,0.124
0.493000,0.0650,0.0269,-0.0312,0.077
0.494000,0.0726,0.0158,0.0344,0.082
0.508000,0.0495,-0.0167,0.0473,0.070
0.509000,0.0291,-0.0228,0.0270,0.046
0.509000,0.0281,-0.0219,0.0426,0.056
0.511000,0.0463,-0.0093,0.0249,0.053
0.516000,0.0577,-0.0111,0.0051,0.059
0.525000,0.0433,-0.0034,-0.0335,0.055
0.525000,0.0175,-0.0053,-0.0006,0.018
0.532000,0.0207,-0.0047,0.0106,0.024
0.539000,0.0407,-0.0137,-0.0044,0.043
0.541000,0.0538,-0.0177,-0.0099,0.058
0.545000,0.0600,-0.0192,0.0322,0.071
0.549000,0.0401,-0.0207,0.0476,0.066
0.558000,-0.0055,-0.0199,0.0678,0.071
0.559000,-0.0319,-0.0262,0.0949,0.104
0.564000,-0.0392,-0.0348,0.1147,0.126
0.569000,-0.0373,-0.0411,0.1297,0.141
0.574000,-0.0240,-0.0285,0.1447,0.149
0.580000,-0.0206,-0.0351,0.1384,0.144
0.583000,-0.0127,-0.0443,0.1514,0.158
0.597000,-0.0194,-0.0490,0.1289,0.139
0.598000,-0.0002,-0.0347,0.0995,0.105
0.599000,0.0447,-0.0063,0.0895,0.100
0.603000,0.0536,0.0241,0.0440,0.073
0.611000,0.0577,0.0472,0.0582,0.095
0.612000,0.0668,0.0582,0.0462,0.100
0.617000,0.0832,0.1071,0.1411,0.196
0.622000,0.0030,0.0650,0.1145,0.132
0.626000,0.0257,-0.0339,-0.0232,0.048
0.632000,0.1383,-0.0680,-0.1051,0.187
0.637000,0.1763,-0.0519,-0.1104,0.214
0.642000,0.1266,-0.0313,-0.1061,0.168
0.645000,0.0588,-0.0322,-0.1042,0.124
0.650000,0.0415,-0.0617,-0.1212,0.142
0.657000,0.0623,-0.0887,-0.1237,0.164
0.660000,0.0543,-0.0988,-0.0929,0.146
0.665000,0.0559,-0.0946,-0.0815,0.137
0.669000,0.0334,-0.1044,-0.0561,0.123
0.678000,0.0347,-0.0617,-0.0287,0.076
0.680000,0.0713,-0.0430,-0.0207,0.086
0.686000,0.0646,-0.0314,0.0013,0.072
0.691000,0.0815,-0.0030,0.0205,0.084
0.693000,0.1147,-0.0246,0.0703,0.137
0.698000,0.1069,-0.0222,0.1007,0.149
0.705000,0.0871,-0.0269,0.0998,0.135
0.708000,0.0788,-0.0126,0.0825,0.115
0.714000,0.0677,-0.0198,0.0913,0.115
0.718000,0.0563,-0.0223,0.0979,0.115
0.732000,0.0781,-0.0128,0.0923,0.122
0.733000,0.0569,0.0015,0.1034,0.118
0.734000,0.0645,0.0132,0.1240,0.140
0.738000,0.0533,0.0201,0.1206,0.133
0.741000,0.0519,0.0007,0.1173,0.128
0.746000,0.0341,0.0052,0.1473,0.151
0.752000,0.0356,-0.0144,0.1726,0.177
0.757000,0.0111,0.0016,0.1931,0.193
0.762000,0.0367,0.0220,0.1995,0.204
0.765000,0.0573,0.0562,0.2274,0.241
0.773000,0.1038,0.0873,0.2223,0.260
0.776000,0.1166,0.0846,0.2366,0.277
0.781000,0.1532,0.0934,0.2084,0.275
0.785000,0.1515,0.0660,0.1951,0.256
0.793000,0.1283,0.0624,0.1703,0.222
0.796000,0.0983,0.0324,0.1199,0.158
0.800000,0.0469,0.0002,0.0818,0.094
0.807000,0.0287,0.0088,0.0819,0.087
0.811000,0.0293,-0.0085,0.0438,0.053
0.814000,0.0319,0.0032,0.0340,0.047
0.819000,0.0461,0.0342,0.0074,0.058
0.824000,0.0624,0.0463,0.0138,0.079
0.831000,0.0644,0.0397,0.0246,0.080
0.835000,0.0807,0.0405,0.0374,0.098
0.853000,0.0539,0.0414,0.0286,0.074
0.854000,0.0487,0.0424,0.0294,0.071
0.855000,0.0554,0.0315,0.0300,0.070
0.855000,0.0813,0.0303,0.0069,0.087
0.859000,0.0692,0.0385,-0.0184,0.081
0.863000,0.0504,0.0349,-0.0055,0.062
0.869000,0.0607,0.0100,0.0048,0.062
0.873000,0.0809,-0.0147,0.0198,0.085
0.878000,0.0679,-0.0085,0.0252,0.073
0.884000,0.0673,-0.0024,0.0331,0.075
0.889000,0.0718,0.0083,0.0435,0.084
0.891000,0.0979,0.0139,0.0349,0.105
0.897000,0.1051,0.0241,0.0432,0.116
0.901000,0.1032,0.0364,0.0445,0.118
0.908000,0.0875,0.0104,0.0269,0.092
0.910000,0.0555,0.0153,0.0358,0.068
0.916000,0.0500,-0.0085,0.0305,0.059
0.929000,0.0563,-0.0062,0.0113,0.058
0.930000,0.0483,-0.0182,-0.0124,0.053
0.931000,0.0212,-0.0160,-0.0264,0.037
0.934000,0.0085,-0.0256,-0.0284,0.039
0.946000,0.0075,-0.0137,-0.0305,0.034
0.947000,-0.0007,-0.0089,-0.0445,0.045
0.950000,0.0029,-0.0063,-0.0444,0.045
0.955000,-0.0007,-0.0250,-0.0729,0.077
0.958000,-0.0186,-0.0434,-0.0966,0.107
0.965000,-0.0081,-0.0591,-0.0917,0.109
0.969000,-0.0620,-0.0935,-0.0775,0.136
0.974000,-0.0681,-0.0894,-0.1016,0.152
0.979000,-0.0958,-0.0852,-0.1186,0.175
0.983000,-0.1043,-0.0950,-0.1404,0.199
0.993000,-0.0819,-0.0854,-0.1434,0.186
0.995000,-0.0713,-0.0637,-0.1396,0.169
1.000000,-0.0534,-0.0750,-0.1125,0.145
1.004000,-0.0474,-0.0668,-0.0883,0.121
1.008000,-0.0557,-0.0656,-0.0552,0.102
1.014000,-0.0304,-0.0668,-0.0199,0.076
1.018000,-0.0218,-0.0466,0.0222,0.056
1.023000,0.0059,-0.0314,0.0450,0.055
1.028000,0.0168,-0.0427,0.0513,0.069
1.031000,0.0137,-0.0471,0.0437,0.066
1.051000,-0.0014,-0.0638,0.0270,0.069
1.052000,-0.0234,-0.0853,-0.0059,0.089
1.052000,-0.0144,-0.1045,-0.0217,0.108
1.053000,-0.0318,-0.1142,-0.0396,0.125
1.072000,-0.0326,-0.0834,-0.0431,0.099
1.073000,-0.0097,-0.0858,-0.0302,0.092
1.073000,-0.0154,-0.0810,-0.0223,0.085
1.074000,-0.0235,-0.0808,0.0019,0.084
1.076000,-0.0315,-0.0898,0.0233,0.098
1.080000,-0.0491,-0.1031,0.0039,0.114
1.085000,-0.0691,-0.1090,0.0080,0.129
1.090000,-0.0655,-0.1242,-0.0069,0.141
1.095000,-0.0550,-0.1225,0.0090,0.135
1.100000,-0.0663,-0.1326,0.0009,0.148
1.103000,-0.0562,-0.1284,0.0143,0.141
1.109000,-0.0487,-0.1100,0.0275,0.123
1.114000,-0.0316,-0.0847,0.0384,0.098
1.119000,-0.0336,-0.0667,0.0468,0.088
1.131000,-0.0093,-0.0585,0.0410,0.072
1.132000,-0.0087,-0.0529,0.0307,0.062
1.133000,0.0063,-0.0285,-0.0009,0.029
1.149000,0.0024,-0.0163,-0.0130,0.021
1.150000,0.0082,-0.0305,-0.0414,0.052
1.151000,-0.0025,-0.0139,-0.1050,0.106
1.152000,-0.0273,-0.0332,-0.1466,0.153
1.161000,-0.0140,-0.0405,-0.2067,0.211
1.163000,-0.0080,-0.1046,-0.2593,0.280
1.167000,-0.0189,-0.1158,-0.2975,0.320
1.172000,-0.0488,-0.2050,-0.2714,0.344
1.175000,0.1443,-0.0701,-0.3075,0.347
1.181000,0.1199,0.0141,-0.3413,0.362
1.186000,0.0908,0.0434,-0.3229,0.338
1.192000,0.1047,0.0515,-0.2931,0.316
1.197000,0.1442,0.0528,-0.2902,0.328
1.199000,0.1999,0.0594,-0.2879,0.355
1.207000,0.2549,0.0760,-0.2767,0.384
1.211000,0.3024,0.1290,-0.2451,0.410
1.217000,0.3405,0.2013,-0.2335,0.459
1.222000,0.3578,0.3046,-0.1967,0.509
1.225000,0.4924,0.4031,-0.2084,0.670
1.230000,0.6178,0.3970,-0.2659,0.781
