,avg_aT,avg_ax,avg_ay,avg_az,max_aT,max_ax,max_ay,max_az
0,3.7224369747899173,0.1103778711484595,0.043755462184873785,0.08163501400560236,13.505,2.6383,6.3741,11.9272
1,2.1735174262734613,-0.06548471849865951,0.09930080428954424,0.2669624664879357,6.215,1.1338,2.2105,6.1944
2,4.9596778711484575,-0.07513473389355753,-0.020615126050420162,0.17704901960784347,20.846999999999998,7.2675,12.0414,15.6129
3,1.7848850267379675,0.004587433155080221,0.06387219251336913,0.36868556149732623,4.3469999999999995,1.1507,2.5295,4.2227
4,4.845881690140846,0.02349633802816906,-0.05887323943661992,0.0696442253521125,16.71,4.5328,12.239,16.1894
5,1.732734584450402,0.05608525469168903,0.23823726541554985,0.2957739946380703,5.483,1.2128,4.4541,5.453
6,5.097254901960781,0.218847338935574,-0.16616526610644228,-0.09233445378151267,20.45,3.9061,14.574,16.4407
7,1.9351818181818192,-0.028509358288770048,0.10232673796791468,0.2800139037433159,5.405,1.7755,4.2232,5.2286
8,5.885442577030815,-0.2362341736694674,-0.4341983193277308,0.27723473389355646,38.897,12.3271,22.0577,29.7131
9,1.9506603773584914,-0.017267654986522905,0.1700684636118602,0.09562048517520183,6.571000000000001,2.8488,3.3597,5.8357
10,4.788943342776205,0.15510481586402255,0.40576855524079286,0.34916685552407917,13.174000000000001,2.783,8.1784,12.3715
11,2.493930294906164,-0.07770563002680952,0.15676997319034855,0.31039544235924943,8.574,2.9097,3.9189,8.2573
12,4.756988795518202,-0.013403081232492927,0.04027394957983191,-0.005227731092436881,17.861,4.3677,10.8268,16.2217
13,2.334771505376343,-0.04445564516129029,0.22893118279569913,0.2852255376344084,6.943,1.1455,3.6479,6.2659
14,4.742786516853932,-0.08390617977528078,-0.2621266853932587,0.20650224719101162,24.320999999999998,8.0356,16.2272,17.925
15,2.6442117962466485,-0.026261394101876657,0.19063646112600544,0.29947828418230604,12.710999999999999,1.3492,3.9135,12.1014
16,4.203261235955055,-0.13103735955056184,-0.13078455056179894,0.10006179775280903,12.955,2.9943,12.5314,11.8436
17,2.2022895442359234,-0.041103217158176976,0.20933458445040246,0.27240831099195706,6.985,1.4293,3.8957,6.8683
18,5.346686274509806,-0.08088039215686257,-0.16224369747899114,0.07549299719887965,23.783,6.0925,14.7219,17.9181
19,2.267768617021277,-0.010705319148936186,0.11852101063829792,0.17155558510638286,6.404,3.0019,3.0791,5.8358
20,6.1358487394958,-0.13578291316526617,-0.321707282913165,0.08200644257703063,33.347,4.7224,17.2605,28.9985
21,2.118256064690026,-0.08735148247978447,0.18720754716981122,0.17389649595687315,7.494,2.3879,5.5403,7.3302
22,3.209742296918766,0.26583249299719924,0.10711596638655449,0.026946218487394688,8.617,2.0946,6.5447,7.767
23,2.5322661290322577,0.017418817204301117,0.18217849462365618,0.21306559139784945,8.576,1.8754,4.0146,8.0163
24,5.6728571428571435,-0.382674229691877,-0.298635574229692,0.16233865546218476,23.725,2.9461,13.7569,20.4518
25,2.3171417112299473,-0.17387379679144394,-0.010467647058823725,0.011988235294117529,8.64,1.4157,4.9757,8.2777
26,3.5788263305322117,0.09232997198879547,0.02073193277310954,0.1015028011204481,11.823,3.0451,9.9525,8.9227
27,2.347967567567568,0.041444324324324266,0.2985145945945945,0.17264621621621623,5.809,3.3197,4.2358,5.7637
28,4.132213483146065,-0.077475,-0.12675589887640443,0.1405264044943821,13.439,2.2859,11.3467,9.4242
29,2.1775335120643424,-0.035901340482573686,0.2917302949061662,0.22635388739946363,8.352,1.6096,5.6313,8.0708
30,3.8530280112044824,-0.03841176470588239,0.008620168067226989,0.06833585434173695,13.402000000000001,3.5991,10.6625,8.9128
31,2.6788602150537626,0.08769516129032255,0.26995456989247285,0.3006118279569895,7.645,3.3604,5.2909,7.1071
32,3.9441736694677894,0.17563221288515407,-0.05722997198879529,0.1149400560224086,15.854000000000001,3.2428,10.4596,12.472
33,2.345646112600535,-0.09298203753351222,0.10634289544235895,0.09872305630026833,6.192,1.8798,4.2502,5.9747
34,4.701582633053221,0.024294677871148397,-0.008510364145658846,0.01655854341736672,21.69,5.1889,11.4938,18.787
35,2.3804393530997294,0.0007846361185983877,0.18149946091644162,0.25876522911051186,8.17,1.3518,6.0568,7.8176
36,4.29059943977591,-0.13159215686274517,-0.047675350140056326,0.06988935574229721,23.252,5.7751,15.3657,16.5426
37,2.510656836461123,-0.035231635388739954,0.23026139410187685,0.1861705093833782,8.671,1.6537,5.5482,8.4777
