time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.2141,-0.1431,0.3116,0.404
0.006000,0.0090,-0.1191,0.2402,0.268
0.007000,0.2102,-0.1404,0.0976,0.271
0.011000,0.3209,-0.1302,0.0172,0.347
0.017000,0.3422,-0.0668,0.0269,0.350
0.020000,0.3630,0.0445,0.1781,0.407
0.028000,0.4241,0.1298,0.3201,0.547
0.032000,0.4540,0.1911,0.5575,0.744
0.036000,0.4295,0.2329,0.8351,0.968
0.053000,0.2917,0.2519,1.2335,1.292
0.054000,0.0485,0.2594,1.6427,1.664
0.054000,-0.3617,0.2590,1.9370,1.987
0.057000,-0.8373,0.2666,1.7711,1.977
0.067000,-1.2004,0.2938,1.0706,1.635
0.068000,-1.2889,0.3150,0.1463,1.335
0.069000,-1.1094,0.3458,-0.7415,1.378
0.073000,-0.7113,0.3376,-1.3536,1.566
0.079000,-0.2442,0.2564,-1.6167,1.655
0.084000,0.1403,0.1480,-1.5124,1.526
0.088000,0.2680,-0.0565,-1.2195,1.250
0.093000,0.1569,-0.2835,-0.9507,1.004
0.097000,-0.0600,-0.4787,-0.6347,0.797
0.103000,-0.1998,-0.5317,-0.2975,0.641
0.108000,-0.2499,-0.4379,0.0132,0.504
0.113000,-0.1620,-0.2157,0.2529,0.370
0.117000,-0.0138,0.0782,0.3392,0.348
0.121000,0.0986,0.3407,0.3232,0.480
0.133000,0.1234,0.5414,0.2461,0.607
0.133000,0.1229,0.6355,0.1987,0.677
0.137000,0.1740,0.6670,0.2116,0.721
0.146000,0.2294,0.6007,0.2460,0.688
0.146000,0.2252,0.4638,0.2355,0.567
0.152000,0.1099,0.2785,0.1518,0.336
0.156000,-0.0347,0.0998,0.0524,0.118
0.161000,-0.2300,-0.0859,-0.1028,0.266
0.165000,-0.3922,-0.2257,-0.2069,0.498
0.170000,-0.2651,-0.2388,-0.1676,0.394
0.177000,-0.1068,-0.2612,-0.2117,0.353
0.181000,-0.0433,-0.2925,-0.3388,0.450
0.185000,-0.0906,-0.3394,-0.3557,0.500
0.189000,0.0159,-0.1521,-0.2659,0.307
0.194000,-0.0195,-0.0463,-0.3218,0.326
0.200000,0.0034,0.0546,-0.2468,0.253
0.205000,0.0624,0.1385,-0.1488,0.213
0.210000,0.0717,0.1457,-0.0896,0.185
0.214000,0.0264,0.1335,-0.1044,0.172
0.218000,0.0238,0.0996,-0.1190,0.157
0.224000,0.0109,0.0655,-0.0954,0.116
0.229000,0.0377,0.0264,-0.1074,0.117
0.233000,0.0326,0.0298,-0.1241,0.132
0.237000,0.0457,0.0184,-0.1950,0.201
0.242000,0.0411,0.0184,-0.2795,0.283
0.248000,0.0404,0.0039,-0.3751,0.377
0.252000,-0.0040,-0.0202,-0.4509,0.451
0.266000,0.0035,-0.0584,-0.4785,0.482
0.267000,-0.0155,-0.0771,-0.4679,0.474
0.267000,-0.0132,-0.1051,-0.4598,0.472
0.272000,0.0126,-0.0806,-0.4280,0.436
0.279000,0.0452,-0.0634,-0.3846,0.392
0.282000,0.1649,-0.1057,-0.2679,0.332
0.286000,0.1207,-0.0815,-0.2067,0.253
0.290000,-0.1320,-0.0367,-0.3857,0.409
0.296000,-0.3822,0.0337,-0.5465,0.668
0.301000,-0.4347,0.0329,-0.5588,0.709
0.306000,-0.3047,-0.0169,-0.4335,0.530
0.310000,-0.1002,-0.0443,-0.2807,0.301
0.314000,0.0093,-0.0664,-0.2219,0.232
0.321000,0.0532,-0.0858,-0.2395,0.260
0.325000,0.0321,-0.0835,-0.2545,0.270
0.330000,-0.0130,-0.0763,-0.2458,0.258
0.334000,-0.0387,-0.0903,-0.2062,0.228
0.338000,-0.0852,-0.0756,-0.1504,0.189
0.345000,-0.0786,-0.0634,-0.1093,0.149
0.349000,-0.0835,-0.0440,-0.0567,0.110
0.354000,-0.0711,-0.0227,0.0003,0.075
0.358000,-0.0296,-0.0160,0.0615,0.070
0.364000,-0.0067,0.0116,0.1056,0.106
0.369000,0.0097,0.0122,0.1352,0.136
0.373000,0.0265,0.0098,0.1789,0.181
0.379000,0.0390,0.0044,0.2080,0.212
0.382000,0.0519,0.0124,0.2086,0.215
0.388000,0.0532,-0.0232,0.1617,0.172
0.406000,0.0547,-0.0379,0.1770,0.189
0.407000,0.0590,-0.0598,0.1923,0.210
0.407000,0.0354,-0.1009,0.2406,0.263
0.408000,-0.0041,-0.1325,0.2055,0.245
0.411000,-0.0546,-0.1808,0.1613,0.248
0.417000,-0.0880,-0.2025,0.0984,0.242
0.422000,-0.1277,-0.2192,0.0858,0.268
0.427000,-0.1123,-0.2095,0.0994,0.258
0.430000,-0.0822,-0.1832,0.1723,0.265
0.436000,-0.0541,-0.1263,0.2136,0.254
0.443000,-0.0066,-0.1035,0.2428,0.264
0.445000,0.0245,-0.0650,0.2742,0.283
0.450000,0.0603,-0.0204,0.2579,0.266
0.454000,0.0366,0.0206,0.2490,0.253
0.459000,0.0155,0.0271,0.1929,0.195
0.465000,-0.0197,0.0136,0.1136,0.116
0.469000,-0.0665,-0.0026,0.0493,0.083
0.475000,-0.0511,-0.0074,-0.0049,0.052
0.479000,-0.0026,-0.0291,-0.0373,0.047
0.484000,0.0407,-0.0106,-0.1049,0.113
0.489000,0.0433,-0.0091,-0.1410,0.148
0.494000,0.0621,0.0326,-0.1768,0.190
0.500000,0.0519,0.0885,-0.2075,0.232
0.502000,0.0441,0.1252,-0.2381,0.273
0.523000,0.0339,0.1242,-0.3017,0.328
0.524000,0.0118,0.1145,-0.3578,0.376
0.525000,0.0064,0.0489,-0.3589,0.362
0.525000,0.0344,0.0537,-0.3103,0.317
0.527000,0.0577,0.0998,-0.2481,0.274
0.534000,0.0339,0.1035,-0.1675,0.200
0.538000,0.0160,0.1027,-0.0924,0.139
0.543000,0.0039,0.0901,-0.0583,0.107
0.546000,0.0020,0.0865,-0.0671,0.110
0.550000,0.0049,0.0917,-0.0473,0.103
0.558000,-0.0018,0.0957,-0.0417,0.104
0.561000,0.0083,0.0655,-0.0645,0.092
0.566000,-0.0097,0.0013,-0.1131,0.113
0.570000,-0.0151,-0.0559,-0.1516,0.162
0.575000,0.0060,-0.0796,-0.1993,0.215
0.580000,0.0102,-0.0386,-0.2443,0.248
0.586000,-0.0314,0.0503,-0.2344,0.242
0.593000,-0.0380,0.1345,-0.1629,0.215
0.597000,-0.0169,0.1120,-0.2394,0.265
0.599000,0.0009,0.0251,-0.2656,0.267
0.605000,-0.0086,-0.1956,-0.3586,0.409
0.611000,-0.0596,-0.3371,-0.3018,0.456
0.616000,-0.0519,-0.5233,-0.3031,0.607
0.619000,-0.0171,-0.4477,-0.0937,0.458
0.622000,-0.0118,-0.3636,0.0805,0.373
0.643000,0.0210,0.1188,0.2532,0.280
0.644000,0.0736,0.7476,0.3868,0.845
0.644000,0.2073,0.9235,0.4107,1.032
0.644000,0.2881,0.3526,0.4257,0.623
0.647000,0.2864,-0.1389,0.4887,0.583
0.653000,0.1903,-0.3603,0.4637,0.617
0.658000,0.0968,-0.4787,0.3036,0.575
0.662000,0.1201,-0.4538,0.0665,0.474
0.668000,0.1156,-0.2980,-0.0239,0.321
0.672000,0.0944,-0.1591,-0.0592,0.194
0.677000,0.0945,0.0208,0.0149,0.098
0.682000,0.0755,0.1769,0.1046,0.219
0.687000,0.1020,0.1522,0.1769,0.255
0.692000,0.1477,0.0143,0.1915,0.242
0.695000,0.1788,-0.1387,0.1703,0.283
0.701000,0.1500,-0.4136,0.1920,0.480
0.707000,0.1279,-0.4422,0.2303,0.515
0.711000,0.1504,-0.0658,0.2660,0.313
0.716000,0.1373,0.2852,0.1948,0.372
0.720000,0.0983,0.4618,0.1527,0.496
0.727000,0.0929,0.5061,0.1918,0.549
0.731000,0.0855,0.4144,0.2139,0.474
0.735000,0.0814,0.2520,0.2287,0.350
0.740000,0.0737,0.0454,0.1722,0.193
0.744000,0.0937,-0.1080,0.0901,0.169
0.750000,0.0955,-0.1896,0.0254,0.214
0.755000,0.1220,-0.1693,-0.0078,0.209
0.759000,0.1250,-0.1093,-0.0146,0.167
0.764000,0.1358,-0.0384,-0.0094,0.141
0.769000,0.1540,0.0604,-0.0018,0.165
0.773000,0.1365,0.1013,-0.0442,0.176
0.779000,0.1260,0.0829,-0.1124,0.188
0.784000,0.1319,0.0508,-0.1445,0.202
0.790000,0.1039,0.0435,-0.1431,0.182
0.792000,0.0472,0.0180,-0.1086,0.120
0.799000,-0.0329,0.0007,-0.1031,0.108
0.803000,-0.1028,-0.0015,-0.0715,0.125
0.809000,-0.1719,-0.0003,-0.0381,0.176
0.812000,-0.2333,0.0207,-0.0097,0.234
0.817000,-0.2491,0.0017,-0.0150,0.250
0.821000,-0.2412,-0.0286,-0.0131,0.243
0.828000,-0.2216,-0.0609,-0.0279,0.232
0.832000,-0.1552,-0.0621,-0.0473,0.174
0.837000,-0.1087,-0.0590,-0.0308,0.127
0.854000,-0.0465,-0.0161,-0.0120,0.051
0.855000,-0.0160,0.0350,0.0069,0.039
0.856000,0.0282,0.0516,0.0280,0.065
0.856000,0.0885,0.0790,0.0302,0.122
0.873000,0.0839,0.0771,-0.0483,0.124
0.875000,0.0434,0.0416,-0.0714,0.093
0.876000,-0.0441,-0.1173,-0.0991,0.160
0.876000,-0.0756,-0.1357,-0.1576,0.221
0.880000,-0.1108,-0.0691,-0.1685,0.213
0.885000,-0.1175,0.0070,-0.0844,0.145
0.887000,-0.0369,0.0841,-0.0246,0.095
0.893000,0.0543,0.1264,-0.0483,0.146
0.898000,0.1063,0.0992,-0.0859,0.169
0.903000,0.0913,0.0632,-0.1233,0.166
0.909000,0.0459,0.0333,-0.1273,0.139
0.912000,-0.0105,0.0119,-0.1315,0.132
0.918000,-0.0641,-0.0155,-0.1072,0.126
0.923000,-0.0725,-0.0351,-0.0928,0.123
0.928000,-0.0767,-0.0471,-0.0927,0.129
0.932000,-0.0361,-0.0590,-0.0712,0.099
0.937000,-0.0030,-0.0424,-0.0855,0.096
0.944000,0.0136,-0.0166,-0.1021,0.104
0.948000,0.0377,0.0302,-0.1138,0.124
0.952000,0.0481,0.1119,-0.1443,0.189
0.971000,0.0778,0.1618,-0.1247,0.219
0.972000,0.0557,0.1586,-0.0459,0.174
0.973000,0.0132,0.1335,0.0751,0.154
0.973000,-0.0519,0.0700,0.1072,0.138
0.976000,-0.1161,0.0156,0.1440,0.186
0.982000,-0.1683,0.0011,0.1925,0.256
0.984000,-0.2067,0.0024,0.2621,0.334
0.992000,-0.1985,0.0097,0.2910,0.352
0.996000,-0.2101,0.0256,0.2534,0.330
1.001000,-0.2029,0.0503,0.1022,0.233
1.005000,-0.2054,0.0461,-0.0477,0.216
1.008000,-0.1912,0.0045,-0.1276,0.230
1.014000,-0.1676,-0.0433,-0.1381,0.221
1.019000,-0.1200,-0.0686,-0.1153,0.180
1.023000,-0.0723,-0.0933,-0.0691,0.137
1.029000,-0.0148,-0.0817,-0.0756,0.112
1.032000,0.0358,-0.0651,-0.0822,0.111
1.040000,0.0507,-0.0578,-0.1029,0.128
1.043000,0.0043,-0.0953,-0.0500,0.108
1.048000,-0.0668,-0.1251,-0.0143,0.143
1.053000,0.0234,-0.1067,-0.0763,0.133
1.058000,0.0829,-0.0290,-0.0761,0.116
1.063000,0.1354,0.0079,-0.0475,0.144
1.068000,-0.0846,-0.2524,0.1138,0.290
1.075000,0.0071,-0.3276,-0.0183,0.328
1.078000,0.1715,-0.0744,-0.0757,0.202
1.081000,0.2238,0.1056,-0.0234,0.249
1.087000,0.2145,0.2009,0.0405,0.297
1.104000,0.2081,0.2120,0.1015,0.314
1.106000,0.1409,0.1703,0.1479,0.266
1.106000,-0.0428,0.0310,0.2083,0.215
1.106000,-0.1644,-0.1023,0.1138,0.225
1.111000,-0.0766,-0.1675,-0.2198,0.287
1.116000,-0.0635,-0.2414,-0.2967,0.388
1.120000,-0.0325,-0.2127,-0.2612,0.338
1.125000,-0.0095,-0.1297,-0.1905,0.231
1.129000,0.0175,0.0164,-0.1178,0.120
1.136000,0.0488,0.0947,-0.0695,0.127
1.140000,0.0820,0.1701,-0.0549,0.197
1.144000,0.1121,0.2071,-0.0119,0.236
1.149000,0.1223,0.1965,-0.0120,0.232
1.153000,0.1411,0.1673,-0.0026,0.219
1.159000,0.1139,0.1078,-0.0218,0.158
1.164000,0.1172,0.0444,-0.0456,0.133
1.168000,0.0963,-0.0039,-0.0503,0.109
1.175000,0.0872,-0.0563,-0.0597,0.120
1.177000,0.0783,-0.0536,-0.0287,0.099
1.184000,0.0793,-0.0958,0.0305,0.128
1.188000,0.0597,-0.1520,0.1249,0.206
1.194000,0.0601,-0.1080,0.0949,0.156
1.197000,0.0301,0.0210,0.0438,0.057
1.202000,0.0405,0.0890,0.0669,0.118
1.222000,0.0488,0.1390,0.1326,0.198
1.223000,0.0436,0.1474,0.1384,0.207
1.223000,0.0370,0.1265,0.1064,0.169
1.224000,0.0096,0.1097,0.0580,0.125
1.225000,-0.0033,0.0974,0.0672,0.118
1.232000,0.0218,0.0800,0.1071,0.135
1.236000,0.0299,0.0743,0.1112,0.137
1.241000,0.0403,0.0709,0.1177,0.143
1.245000,0.0389,0.0794,0.0766,0.117
1.250000,0.0279,0.0621,0.0524,0.086
1.258000,-0.0092,0.0383,0.0307,0.050
1.260000,-0.0055,0.0297,0.0091,0.032
1.265000,0.0028,0.0098,-0.0290,0.031
1.269000,-0.0198,-0.0045,-0.0527,0.056
1.273000,-0.0421,-0.0042,-0.0739,0.085
1.280000,-0.0739,-0.0012,-0.0640,0.098
1.284000,-0.0844,0.0138,-0.0115,0.086
1.291000,-0.0949,0.0264,0.0168,0.100
1.293000,-0.0914,0.0317,0.0402,0.105
1.298000,-0.0787,0.0344,0.0467,0.098
1.304000,-0.0592,0.0274,0.0509,0.083
1.310000,-0.0376,0.0129,0.0504,0.064
1.313000,-0.0328,0.0147,0.0333,0.049
1.317000,-0.0329,0.0043,0.0378,0.050
1.337000,-0.0187,-0.0278,0.0114,0.035
1.338000,-0.0069,-0.0502,-0.0076,0.051
1.339000,0.0003,-0.0416,0.0068,0.042
1.339000,0.0101,-0.0425,0.0234,0.050
1.343000,0.0154,0.0017,0.0636,0.065
1.348000,0.0304,-0.0044,0.0940,0.099
1.352000,0.0453,-0.0081,0.1122,0.121
1.358000,0.0386,-0.0071,0.1185,0.125
1.362000,0.0220,-0.0041,0.0820,0.085
1.366000,-0.0186,-0.0038,0.0435,0.047
1.369000,-0.0213,-0.0035,0.0244,0.033
1.377000,-0.0574,-0.0151,-0.0207,0.063
1.381000,-0.0837,-0.0030,-0.0488,0.097
1.386000,-0.1074,-0.0361,-0.0742,0.135
1.389000,-0.1115,-0.0498,-0.0805,0.146
1.394000,-0.1152,-0.0561,-0.1177,0.174
1.400000,-0.1042,-0.0457,-0.1260,0.170
