time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.1119,-0.0558,-0.6976,0.709
0.004000,0.2429,0.0312,-0.6044,0.652
0.004000,0.4495,0.1298,-0.4727,0.665
0.012000,0.5264,0.2179,-0.3426,0.665
0.014000,0.5057,0.2670,-0.1925,0.603
0.019000,0.4590,0.3032,-0.0079,0.550
0.024000,0.4077,0.3379,0.2661,0.593
0.029000,0.3609,0.3328,0.5512,0.738
0.034000,0.2662,0.3066,0.8362,0.930
0.038000,0.1807,0.2540,1.0955,1.139
0.049000,0.0851,0.2462,1.2801,1.306
0.050000,0.0336,0.2396,1.4125,1.433
0.055000,-0.0194,0.2409,1.4769,1.497
0.058000,-0.0316,0.2594,1.4813,1.504
0.062000,-0.0156,0.3090,1.4167,1.450
0.067000,-0.0076,0.3278,1.3264,1.366
0.072000,-0.0125,0.2995,1.1893,1.226
0.076000,-0.0064,0.2577,1.0032,1.036
0.082000,-0.0324,0.1696,0.8658,0.883
0.088000,-0.0428,0.0854,0.7549,0.761
0.094000,-0.0735,0.0175,0.5631,0.568
0.096000,-0.0577,-0.0482,0.4785,0.484
0.101000,-0.0431,-0.0831,0.3998,0.411
0.107000,-0.0011,-0.0680,0.3507,0.357
0.111000,0.0139,-0.0818,0.3095,0.320
0.117000,0.0471,-0.0529,0.2759,0.285
0.121000,0.0702,-0.0459,0.2643,0.277
0.124000,0.0477,-0.0318,0.2196,0.227
0.132000,0.0491,-0.0085,0.2467,0.252
0.135000,0.0031,-0.0353,0.2474,0.250
0.139000,-0.0757,-0.0806,0.1958,0.225
0.148000,-0.1397,-0.0993,0.1706,0.242
0.149000,-0.2296,-0.1580,0.1691,0.326
0.154000,-0.2854,-0.2253,0.1625,0.398
0.161000,-0.2838,-0.2868,0.1482,0.430
0.163000,-0.3131,-0.3779,0.1381,0.510
0.169000,-0.3063,-0.3988,0.1392,0.522
0.171000,-0.2871,-0.3713,0.1158,0.483
0.179000,-0.3292,-0.4193,0.0990,0.542
0.183000,-0.4750,-0.7061,0.0864,0.855
0.189000,-0.4430,-0.6384,0.1990,0.802
0.194000,-0.2435,-0.3071,0.1794,0.431
0.196000,-0.0829,-0.0755,0.2142,0.242
0.202000,0.0121,-0.0447,0.1675,0.174
0.209000,0.0302,-0.0708,0.0591,0.097
0.211000,-0.0118,-0.0585,0.0439,0.074
0.216000,0.0483,0.2174,0.2970,0.371
0.220000,-0.0748,-0.1357,-0.0408,0.160
0.227000,-0.1275,-0.3461,-0.0168,0.369
