time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.2920,0.0125,-0.1002,0.309
0.004000,-0.2847,0.0205,-0.0041,0.285
0.006000,-0.1948,0.0641,0.1007,0.228
0.010000,-0.1342,0.0739,0.1786,0.235
0.015000,-0.0239,0.0475,0.2609,0.266
0.021000,0.1668,-0.0386,0.3286,0.370
0.025000,0.3402,-0.1202,0.3773,0.522
0.031000,0.4492,-0.2284,0.4832,0.698
0.035000,0.5251,-0.3396,0.5938,0.862
0.039000,0.6374,-0.2496,0.4242,0.805
0.046000,0.7102,-0.2445,0.3136,0.814
0.050000,0.4299,-0.3944,0.2566,0.637
0.055000,-1.0127,-0.7299,1.0032,1.601
0.058000,-0.5979,-0.1900,0.9237,1.117
0.068000,-0.7177,0.0842,0.6632,0.981
0.071000,-0.9062,0.2131,0.4977,1.056
0.075000,-0.4956,0.3937,0.3427,0.720
0.082000,-0.4405,0.3458,0.2812,0.627
0.083000,-0.4500,0.2447,0.1722,0.540
0.087000,-0.3358,0.1074,0.1443,0.381
0.093000,-0.1842,0.0150,0.0972,0.209
0.098000,-0.0788,-0.0308,0.0786,0.115
0.103000,-0.0168,-0.0397,0.0715,0.084
0.107000,0.0186,-0.0239,0.1259,0.129
0.112000,0.0160,0.0113,0.1890,0.190
0.118000,-0.0151,0.0278,0.2489,0.251
0.122000,-0.0841,0.0063,0.2868,0.299
0.130000,-0.1293,-0.0033,0.2984,0.325
0.131000,-0.1629,-0.0251,0.3077,0.349
0.136000,-0.1590,-0.0496,0.2672,0.315
0.141000,-0.1181,-0.0530,0.2155,0.251
0.146000,-0.0805,-0.0877,0.1667,0.205
0.152000,-0.0413,-0.1154,0.1233,0.174
0.155000,0.0047,-0.1407,0.0899,0.167
0.159000,0.0221,-0.1565,0.0283,0.161
0.166000,0.0658,-0.1651,-0.0327,0.181
0.171000,0.0737,-0.1569,-0.1335,0.219
0.175000,0.0677,-0.1749,-0.1409,0.235
0.186000,0.0644,-0.1830,-0.1460,0.243
0.187000,0.0688,-0.1957,-0.1487,0.255
0.191000,0.0737,-0.1912,-0.1966,0.284
0.200000,0.0695,-0.2174,-0.2205,0.317
0.201000,0.0610,-0.2218,-0.2325,0.327
0.203000,0.0695,-0.2282,-0.2112,0.319
0.208000,0.0780,-0.2154,-0.2045,0.307
0.213000,0.1009,-0.2144,-0.1931,0.306
0.219000,0.1429,-0.1968,-0.1913,0.309
0.223000,0.1681,-0.2103,-0.1943,0.332
0.229000,0.1648,-0.2023,-0.1948,0.326
0.232000,0.1283,-0.2039,-0.1881,0.306
0.237000,0.1019,-0.1913,-0.1673,0.274
0.242000,0.0784,-0.1622,-0.1394,0.228
