time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.5665,-0.7179,-0.5588,1.072
0.004000,0.4270,-0.6550,-0.4697,0.912
0.004000,0.3152,-0.6117,-0.4151,0.804
0.008000,0.1740,-0.6411,-0.2195,0.700
0.010000,0.0966,-0.5017,-0.0299,0.512
0.016000,0.1428,-0.2863,0.2425,0.401
0.022000,0.0770,-0.0783,0.4916,0.504
0.026000,0.0075,0.0836,0.7931,0.798
0.031000,-0.0314,0.1435,1.0449,1.055
0.036000,0.0148,0.1923,1.2534,1.268
0.041000,0.1449,0.1767,1.4024,1.421
0.046000,0.2376,0.1152,1.4790,1.502
0.051000,0.2767,0.0234,1.4539,1.480
0.056000,0.3117,-0.0550,1.4202,1.455
0.061000,0.3544,-0.1864,1.4196,1.475
0.066000,0.3165,-0.2798,1.3314,1.397
0.072000,0.2755,-0.3041,1.1609,1.231
0.076000,0.2252,-0.3407,1.0285,1.107
0.081000,0.1829,-0.3879,0.8317,0.936
0.088000,0.1220,-0.2821,0.6183,0.690
0.091000,0.0139,-0.1094,0.5123,0.524
0.096000,-0.0529,0.1071,0.3272,0.348
0.103000,-0.0338,0.3024,0.1492,0.339
0.107000,0.0320,0.4659,-0.0016,0.467
0.111000,0.1149,0.6210,-0.1708,0.654
0.117000,0.2551,0.6640,-0.3284,0.783
0.122000,0.4488,0.6343,-0.4795,0.913
0.126000,0.5457,0.6384,-0.5513,1.005
0.132000,0.5771,0.5132,-0.5968,0.976
0.136000,0.4912,0.4348,-0.6972,0.957
0.142000,0.4253,0.3305,-0.7427,0.917
0.147000,0.3619,0.2109,-0.7440,0.854
0.153000,0.3566,0.1236,-0.5882,0.699
0.157000,0.3308,0.0454,-0.3865,0.511
0.163000,0.3716,0.0007,-0.1806,0.413
0.168000,0.4300,-0.0859,-0.0649,0.443
0.173000,0.4503,-0.1526,-0.0890,0.484
0.178000,0.3779,-0.2447,-0.1545,0.476
0.184000,0.2216,-0.1830,-0.0921,0.302
0.199000,0.1138,-0.0491,-0.0978,0.158
0.200000,0.1279,0.0552,-0.1558,0.209
0.200000,0.1720,0.1347,-0.2182,0.309
0.203000,0.2353,0.2255,-0.3149,0.453
0.207000,0.3489,0.3066,-0.4375,0.638
0.212000,0.3119,0.3316,-0.6062,0.758
0.217000,0.2918,0.3099,-0.7687,0.879
0.222000,0.2617,0.2620,-0.8569,0.934
0.227000,0.1614,0.2039,-0.8796,0.917
0.232000,0.1124,0.1459,-0.8118,0.832
0.238000,0.1455,0.1366,-0.7863,0.811
0.243000,0.1664,0.1038,-0.7274,0.753
0.248000,0.1878,0.1161,-0.5589,0.601
0.254000,0.2484,0.1115,-0.4554,0.531
0.258000,0.2856,0.0962,-0.4941,0.579
0.263000,0.2876,0.0336,-0.4947,0.573
0.270000,0.2494,0.0669,-0.4690,0.535
0.273000,0.2179,0.1355,-0.4198,0.492
0.278000,0.2194,0.1868,-0.2398,0.375
0.283000,0.2292,0.1933,-0.2003,0.361
0.289000,0.2999,0.1491,-0.1264,0.358
0.293000,0.3828,0.0444,-0.0493,0.389
0.298000,0.4148,-0.0868,-0.1230,0.441
0.304000,0.3100,-0.2373,-0.2086,0.443
0.308000,0.2211,-0.3994,-0.2906,0.541
0.313000,0.0371,-0.4981,-0.3965,0.638
0.318000,-0.0624,-0.5299,-0.4724,0.713
0.325000,-0.1559,-0.4501,-0.3657,0.601
0.329000,-0.2029,-0.3371,-0.1614,0.425
0.334000,-0.2265,-0.2038,-0.0209,0.305
0.339000,-0.1369,-0.1141,0.1830,0.255
0.344000,-0.0329,-0.0132,0.2733,0.276
0.349000,0.0446,-0.0122,0.2266,0.231
0.355000,0.1189,-0.0444,0.1874,0.226
0.359000,0.1665,-0.0719,0.0637,0.192
0.364000,0.1935,-0.0883,-0.0191,0.214
0.371000,0.2000,-0.0694,-0.1138,0.240
0.375000,0.1681,-0.0254,-0.1131,0.204
0.379000,0.1745,0.0103,-0.1367,0.222
0.384000,0.1723,0.0605,-0.1727,0.251
0.400000,0.1550,0.0522,-0.1170,0.201
0.401000,0.1366,0.0388,-0.0451,0.149
0.402000,0.1672,0.0081,0.0026,0.167
0.405000,0.1488,0.0029,0.0082,0.149
0.411000,0.1440,-0.0202,0.0569,0.156
0.415000,0.1646,-0.0506,0.0278,0.174
0.420000,0.1511,-0.0855,-0.0716,0.188
0.425000,0.1581,-0.0900,-0.1041,0.210
0.430000,0.1733,-0.0497,-0.0709,0.194
0.435000,0.1836,-0.0746,-0.0488,0.204
0.440000,0.1924,-0.1158,-0.0650,0.234
0.445000,0.1984,-0.0771,-0.0561,0.220
