time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0118,0.0607,-0.6712,0.674
0.003000,-0.1113,0.1902,-0.6113,0.650
0.003000,-0.0958,0.3074,-0.4533,0.556
0.007000,0.0327,0.3930,-0.1429,0.419
0.012000,0.1851,0.4129,0.0817,0.460
0.017000,0.2448,0.4202,0.3289,0.587
0.027000,0.2011,0.4078,0.5192,0.690
0.029000,0.1546,0.3606,0.6161,0.730
0.033000,0.1534,0.2538,0.6428,0.708
0.038000,0.1262,0.1642,0.5932,0.628
0.042000,0.1426,0.1109,0.5632,0.591
0.047000,0.1532,0.1457,0.5142,0.556
0.052000,0.1853,0.2866,0.4391,0.556
0.057000,0.1738,0.4042,0.3015,0.533
0.062000,0.2361,0.5446,0.1610,0.615
0.067000,0.2956,0.5791,0.0700,0.654
0.074000,0.3273,0.5444,0.0065,0.635
0.078000,0.4006,0.5235,-0.0332,0.660
0.082000,0.4835,0.4852,-0.1042,0.693
0.089000,0.5107,0.4858,-0.1526,0.721
0.093000,0.5110,0.4501,-0.2097,0.713
0.098000,0.4570,0.4238,-0.3544,0.717
0.103000,0.4215,0.3606,-0.4900,0.740
0.109000,0.3463,0.3503,-0.6106,0.784
0.113000,0.2564,0.2875,-0.5559,0.676
0.118000,0.1837,0.2748,-0.6021,0.687
0.123000,0.2042,0.2338,-0.5947,0.671
0.128000,0.2658,0.1400,-0.6601,0.725
0.133000,0.2291,0.0341,-0.7146,0.751
0.147000,0.1774,-0.1305,-0.7294,0.762
0.148000,0.1262,-0.2379,-0.6748,0.727
0.148000,0.0301,-0.2601,-0.5976,0.652
0.153000,-0.0309,-0.1794,-0.5241,0.555
0.158000,-0.0604,-0.0703,-0.3801,0.391
0.163000,0.0013,0.0335,-0.2899,0.292
0.169000,0.1279,0.0946,-0.1899,0.248
0.174000,0.2464,0.1481,-0.1544,0.326
0.179000,0.3143,0.0808,-0.0867,0.336
0.183000,0.3289,-0.0208,-0.0456,0.333
0.189000,0.2623,-0.0700,-0.0538,0.277
0.194000,0.2451,-0.0190,0.0020,0.246
0.199000,0.1876,-0.0135,0.0609,0.198
0.205000,0.1002,-0.0573,0.0917,0.147
0.209000,0.1080,-0.0239,0.1197,0.163
0.214000,0.1030,-0.0584,0.1716,0.208
0.219000,0.1247,-0.0745,0.1765,0.229
0.224000,0.1144,-0.1488,0.2028,0.276
0.229000,0.0792,-0.1882,0.2218,0.301
0.234000,0.0410,-0.2024,0.1953,0.284
0.247000,0.0558,-0.1483,0.1389,0.211
0.247000,0.0482,-0.0692,0.1448,0.168
0.249000,0.0036,0.0752,0.1724,0.188
0.255000,0.0034,0.1280,0.1142,0.172
0.260000,0.1055,0.1774,0.0767,0.220
0.264000,0.1385,0.2294,0.0231,0.269
0.270000,0.1909,0.2360,-0.0671,0.311
0.275000,0.1900,0.2407,-0.1161,0.328
0.280000,0.1575,0.2534,-0.1637,0.340
0.285000,0.1299,0.2506,-0.2472,0.375
0.289000,0.1596,0.2899,-0.2912,0.441
0.295000,0.1481,0.2803,-0.3018,0.438
0.300000,0.1160,0.2984,-0.3232,0.455
0.305000,0.1409,0.2845,-0.2527,0.406
0.310000,0.1293,0.2862,-0.1811,0.363
0.315000,0.1642,0.2961,-0.0772,0.347
0.321000,0.2026,0.2984,-0.0115,0.361
0.325000,0.1994,0.3589,0.0722,0.417
0.330000,0.2181,0.3916,0.0519,0.451
0.335000,0.2588,0.3733,-0.0559,0.458
0.340000,0.2973,0.3249,-0.1269,0.458
0.345000,0.2911,0.2525,-0.1337,0.408
0.350000,0.2370,0.1874,-0.1089,0.321
0.363000,0.1852,0.1044,-0.1169,0.243
0.364000,0.0959,0.0056,-0.0692,0.118
0.366000,0.0353,-0.0486,0.0323,0.068
0.372000,0.0233,-0.0065,0.0873,0.091
0.375000,-0.0303,0.0034,0.2096,0.212
0.380000,-0.0189,0.0117,0.2094,0.211
0.385000,0.0108,0.0159,0.2148,0.216
0.392000,0.0685,0.0545,0.2699,0.284
0.396000,0.1341,0.0346,0.2358,0.273
0.400000,0.1732,0.0251,0.1840,0.254
0.405000,0.1705,-0.0034,0.1226,0.210
0.411000,0.1457,-0.0050,0.0562,0.156
0.416000,0.1339,-0.0296,0.0063,0.137
0.421000,0.1314,-0.0544,-0.0405,0.148
0.426000,0.0817,0.0018,-0.0422,0.092
0.431000,0.0959,0.0190,-0.0178,0.099
0.436000,0.0916,0.0207,-0.0067,0.094
0.441000,0.0507,0.0519,0.0021,0.073
0.446000,0.0670,0.0849,0.0157,0.109
0.451000,0.1021,0.1003,-0.0073,0.143
0.463000,0.1023,0.0997,-0.0560,0.153
0.464000,0.0856,0.1878,-0.1410,0.250
0.466000,0.1034,0.2646,-0.1956,0.345
0.472000,0.1708,0.2133,-0.2549,0.374
0.477000,0.1547,0.0885,-0.2904,0.341
0.481000,0.1227,0.1201,-0.2429,0.297
0.491000,0.1210,0.0859,-0.2200,0.265
0.492000,0.1446,0.0918,-0.1490,0.227
0.496000,0.1204,0.1109,-0.0668,0.177
0.502000,0.1495,0.1129,-0.0016,0.187
0.507000,0.1187,0.1162,0.0420,0.171
0.511000,0.0661,0.1550,0.0242,0.170
0.517000,0.0692,0.2314,-0.0107,0.242
0.521000,0.0931,0.2240,-0.1029,0.263
0.527000,0.1178,0.2389,-0.1929,0.329
0.532000,0.1224,0.2298,-0.2501,0.361
0.540000,0.1464,0.2117,-0.3082,0.402
0.542000,0.1445,0.2205,-0.3768,0.460
0.547000,0.1300,0.2233,-0.3991,0.475
0.552000,0.1336,0.2332,-0.3244,0.421
0.557000,0.1316,0.2595,-0.3019,0.419
0.562000,0.1167,0.2635,-0.1600,0.330
0.567000,0.0802,0.2523,-0.0051,0.265
0.572000,0.0496,0.2752,0.0514,0.284
0.577000,0.0597,0.3528,0.0236,0.359
0.582000,0.0532,0.3674,0.0319,0.373
0.588000,0.1096,0.3256,0.0225,0.344
0.592000,0.1339,0.2520,-0.0354,0.288
0.597000,0.1692,0.2493,-0.0145,0.302
0.603000,0.1754,0.2221,0.0060,0.283
0.609000,0.1464,0.2142,-0.0652,0.268
0.613000,0.1076,0.1756,-0.1180,0.237
0.618000,0.1014,0.2037,-0.1441,0.269
0.623000,0.0972,0.2324,-0.1462,0.291
0.627000,0.0460,0.1952,-0.1860,0.274
0.632000,0.0098,0.1952,-0.1764,0.263
0.650000,-0.0226,0.2266,-0.1807,0.291
