time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0504,-0.8451,-1.3862,1.624
0.005000,-0.1108,-0.5342,-1.3970,1.500
0.006000,-0.0440,-0.2188,-1.1916,1.212
0.006000,0.0246,0.0340,-0.7703,0.771
0.012000,0.1820,0.1897,-0.3926,0.472
0.016000,0.3801,0.2610,-0.0324,0.462
0.021000,0.5825,0.2555,0.2787,0.694
0.026000,0.7932,0.1961,0.6190,1.025
0.031000,0.9556,0.0816,0.9398,1.343
0.038000,1.0313,-0.0480,1.1310,1.531
0.041000,1.0733,-0.1560,1.2095,1.625
0.046000,1.0418,-0.2273,1.1808,1.591
0.052000,0.8811,-0.2553,1.1178,1.446
0.057000,0.7184,-0.2654,0.9639,1.231
0.061000,0.5832,-0.3217,0.7751,1.022
0.066000,0.4705,-0.4128,0.6299,0.888
0.074000,0.4038,-0.4474,0.5067,0.787
0.077000,0.3280,-0.4937,0.3025,0.666
0.082000,0.2261,-0.4787,0.1095,0.541
0.090000,0.1395,-0.4764,0.0062,0.496
0.092000,0.1240,-0.4139,-0.0958,0.443
0.098000,0.1849,-0.3844,-0.2540,0.496
0.103000,0.2681,-0.2608,-0.3598,0.519
0.108000,0.3791,-0.0815,-0.4898,0.625
0.112000,0.4984,0.0567,-0.6774,0.843
0.118000,0.5601,0.1886,-0.7912,0.988
0.124000,0.5619,0.3276,-0.8696,1.086
0.128000,0.5277,0.3671,-0.8970,1.104
0.133000,0.4967,0.3740,-0.9858,1.165
0.149000,0.5341,0.2574,-1.0783,1.231
0.149000,0.5378,0.1047,-1.0696,1.202
0.150000,0.5337,-0.0181,-1.0039,1.137
0.152000,0.5770,-0.1217,-0.8768,1.057
0.157000,0.6262,-0.1831,-0.8152,1.044
0.162000,0.6144,-0.2132,-0.7041,0.958
0.167000,0.5595,-0.2155,-0.5377,0.805
0.173000,0.4792,-0.1773,-0.2026,0.550
0.178000,0.4388,-0.1481,0.1579,0.489
0.182000,0.4810,-0.1480,0.3900,0.637
0.189000,0.5605,-0.1609,0.6175,0.849
0.194000,0.6594,-0.2134,0.7605,1.029
0.199000,0.6858,-0.2804,0.8203,1.105
0.205000,0.7249,-0.3353,0.8113,1.138
0.209000,0.7158,-0.4242,0.6915,1.082
0.213000,0.6957,-0.4843,0.5397,1.005
0.219000,0.7489,-0.5462,0.2435,0.958
