time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.2860,0.0717,-1.9279,1.950
0.004000,-0.6992,0.0830,-2.0353,2.154
0.005000,-0.7228,0.2359,-2.3553,2.475
0.009000,-0.7848,0.4757,-2.4317,2.599
0.012000,-0.7904,0.6021,-2.0508,2.279
0.016000,-0.5475,0.7774,-1.4084,1.699
0.026000,-0.2740,0.8952,-0.5810,1.102
0.027000,-0.0393,0.9713,0.2551,1.005
0.031000,0.1466,0.9919,0.9543,1.384
0.038000,0.2096,0.9961,1.6061,1.901
0.042000,0.2628,0.9242,2.0571,2.270
0.047000,0.3282,0.7867,2.3856,2.533
0.052000,0.3898,0.6625,2.5655,2.678
0.057000,0.4240,0.5399,2.6919,2.778
0.062000,0.3486,0.3396,2.6880,2.732
0.067000,0.2577,0.0822,2.5395,2.554
0.073000,0.1228,-0.1324,2.3527,2.360
0.077000,0.0424,-0.3991,2.0400,2.079
0.082000,-0.0565,-0.7000,1.6499,1.793
0.087000,-0.2211,-0.9421,1.4019,1.703
0.092000,-0.3604,-1.0966,1.1635,1.639
0.097000,-0.4493,-0.9675,0.9076,1.401
0.102000,-0.4280,-0.6592,0.5966,0.987
0.107000,-0.3673,-0.3925,0.3447,0.639
0.112000,-0.2969,-0.1105,0.1875,0.368
0.117000,-0.2265,0.1067,-0.0234,0.251
0.122000,-0.1684,0.2879,-0.2222,0.401
0.128000,-0.1110,0.4798,-0.3601,0.610
0.133000,-0.1285,0.5615,-0.3676,0.683
0.138000,-0.0880,0.5616,-0.3668,0.676
0.143000,-0.0438,0.4534,-0.4123,0.614
0.148000,0.0328,0.3261,-0.4440,0.552
0.155000,0.0547,0.1865,-0.4211,0.464
0.159000,0.0231,0.0074,-0.4257,0.426
0.163000,0.0014,-0.1934,-0.3392,0.390
0.169000,-0.0711,-0.3289,-0.2837,0.440
0.178000,-0.0712,-0.4185,-0.2504,0.493
0.179000,-0.1309,-0.4076,-0.1976,0.472
0.183000,-0.1705,-0.4376,-0.1800,0.503
0.191000,-0.1530,-0.4561,-0.2489,0.542
0.192000,-0.0546,-0.4305,-0.3600,0.564
0.198000,-0.0211,-0.4192,-0.4728,0.632
0.204000,0.0067,-0.3568,-0.5017,0.616
0.208000,0.0380,-0.2430,-0.5295,0.584
0.213000,0.1391,-0.1382,-0.5911,0.623
0.218000,0.2586,-0.1067,-0.6088,0.670
0.223000,0.3101,-0.1149,-0.5949,0.681
0.228000,0.3563,-0.0921,-0.5779,0.685
0.233000,0.3602,-0.0576,-0.5879,0.692
0.238000,0.3387,-0.0290,-0.4539,0.567
0.243000,0.3177,-0.0044,-0.2285,0.391
0.248000,0.4125,-0.0343,-0.1006,0.426
0.267000,0.5241,-0.0723,0.0499,0.531
0.268000,0.4581,-0.0583,0.3522,0.581
0.270000,0.4106,-0.0794,0.5085,0.658
0.270000,0.4206,-0.1379,0.5836,0.732
0.287000,0.4559,-0.1631,0.4449,0.658
0.289000,0.4693,-0.1905,0.2168,0.551
0.289000,0.4721,-0.1411,0.0308,0.494
0.289000,0.4280,-0.0566,-0.1289,0.451
0.294000,0.4213,-0.0422,-0.3209,0.531
0.299000,0.4448,-0.0226,-0.5475,0.706
0.304000,0.4020,-0.0515,-0.6342,0.753
0.309000,0.3938,0.0299,-0.6742,0.781
0.314000,0.3855,0.0720,-0.7454,0.842
0.319000,0.3547,0.1420,-0.7128,0.809
0.324000,0.3351,0.1484,-0.6832,0.775
0.329000,0.3627,0.2000,-0.5394,0.680
0.334000,0.3625,0.2607,-0.3317,0.556
0.339000,0.3863,0.4067,-0.1150,0.573
