time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.3781,0.4350,-2.6084,2.671
0.004000,-0.4806,0.6272,-2.3770,2.505
0.005000,-0.5410,0.7547,-2.0039,2.209
0.006000,-0.5915,0.7741,-1.5664,1.845
0.012000,-0.6340,0.6639,-1.0089,1.364
0.015000,-0.6359,0.5503,-0.3300,0.903
0.020000,-0.5366,0.3472,0.3236,0.716
0.025000,-0.3575,0.0928,0.9104,0.982
0.030000,-0.2409,-0.2136,1.3578,1.395
0.035000,-0.0710,-0.4446,1.6767,1.736
0.040000,-0.0332,-0.4765,1.9879,2.044
0.044000,-0.0351,-0.3984,2.0628,2.101
0.050000,-0.0226,-0.1831,1.9495,1.958
0.057000,0.1544,0.1429,1.6195,1.633
0.060000,0.3368,0.5135,1.2843,1.424
0.064000,0.4988,0.9212,0.9664,1.425
0.070000,0.5804,1.2505,0.8460,1.617
0.075000,0.5282,1.4195,0.8712,1.747
0.080000,0.5377,1.5012,0.8375,1.801
0.085000,0.6283,1.5002,0.7676,1.798
0.090000,0.7261,1.4051,0.8185,1.781
0.095000,0.7423,1.1533,0.8824,1.631
0.101000,0.7263,0.8624,0.9274,1.460
0.106000,0.5344,0.5726,0.9344,1.219
0.111000,0.3587,0.2132,0.7591,0.866
0.115000,0.1748,-0.0211,0.5549,0.582
0.123000,0.0025,-0.1292,0.4722,0.490
0.126000,-0.1344,-0.1772,0.4773,0.527
0.131000,-0.2247,0.0031,0.5283,0.574
0.136000,-0.2338,0.1810,0.5127,0.592
0.141000,-0.2428,0.3439,0.3959,0.578
0.146000,-0.2383,0.5127,0.2783,0.630
0.151000,-0.1733,0.6439,0.1707,0.688
0.165000,-0.1296,0.7463,0.1637,0.775
0.166000,-0.0738,0.7856,0.1446,0.802
0.166000,-0.0149,0.7540,0.1302,0.765
0.171000,0.0468,0.6973,0.2195,0.733
0.177000,0.1096,0.6661,0.2712,0.728
0.181000,0.1826,0.6103,0.3213,0.713
0.186000,0.2596,0.5513,0.3159,0.686
0.191000,0.2985,0.4196,0.2756,0.584
0.196000,0.2626,0.3240,0.2663,0.495
0.201000,0.1388,0.2327,0.1528,0.311
0.206000,0.0541,0.1299,0.1101,0.179
0.211000,-0.1431,0.0914,0.0533,0.178
0.217000,-0.2771,-0.0256,-0.0916,0.293
0.223000,-0.2841,-0.1017,-0.2012,0.363
0.227000,-0.2548,-0.1529,-0.2839,0.411
0.232000,-0.2336,-0.1888,-0.3649,0.473
0.238000,-0.2437,-0.1217,-0.3654,0.456
0.243000,-0.2021,-0.0564,-0.3968,0.449
0.248000,-0.1305,0.0088,-0.3625,0.385
0.252000,-0.0589,0.1136,-0.3868,0.407
0.269000,-0.0371,0.2677,-0.3515,0.443
0.270000,0.0143,0.4148,-0.3092,0.518
0.270000,0.0575,0.5094,-0.2743,0.581
0.275000,0.1262,0.5479,-0.2550,0.617
0.279000,0.1653,0.5078,-0.3373,0.632
0.283000,0.1677,0.4669,-0.4518,0.671
0.288000,0.1508,0.3861,-0.5805,0.713
0.292000,0.1011,0.2239,-0.6063,0.654
0.297000,0.0341,0.1059,-0.5965,0.607
0.302000,-0.1076,0.0282,-0.5439,0.555
0.308000,-0.2009,-0.0082,-0.4401,0.484
0.312000,-0.1850,-0.0768,-0.3580,0.410
0.317000,-0.1509,-0.1243,-0.3047,0.362
0.323000,-0.1100,-0.1508,-0.2693,0.328
0.328000,-0.0978,-0.1995,-0.2062,0.303
0.332000,-0.1767,-0.3369,-0.2030,0.431
0.338000,-0.2104,-0.4379,-0.3121,0.577
0.343000,-0.3254,-0.5196,-0.4344,0.751
0.348000,-0.3771,-0.5488,-0.5473,0.862
0.353000,-0.4124,-0.5154,-0.5842,0.881
0.368000,-0.3864,-0.5229,-0.5572,0.856
0.369000,-0.3662,-0.5212,-0.4748,0.795
0.370000,-0.3329,-0.5240,-0.3622,0.719
0.374000,-0.2661,-0.5366,-0.1928,0.629
0.378000,-0.1920,-0.4646,-0.0456,0.505
0.383000,-0.2218,-0.4324,0.0777,0.492
0.389000,-0.1898,-0.3837,0.1902,0.468
0.394000,-0.2024,-0.3347,0.1775,0.430
0.398000,-0.2446,-0.3743,0.0555,0.451
0.403000,-0.3264,-0.3900,-0.0407,0.510
0.408000,-0.3772,-0.3695,-0.1602,0.552
0.413000,-0.4557,-0.3049,-0.3401,0.645
0.418000,-0.5094,-0.2675,-0.5554,0.800
0.424000,-0.5645,-0.2995,-0.6317,0.899
0.428000,-0.5796,-0.3123,-0.3926,0.767
0.433000,-0.5056,-0.3190,-0.0765,0.603
