time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.0541,-0.9504,-1.9308,2.153
0.005000,-0.3889,-0.5064,-2.0091,2.108
0.005000,-0.5465,0.0155,-1.6591,1.747
0.009000,-0.5323,0.4923,-1.1368,1.348
0.014000,-0.3372,0.8835,-0.6204,1.131
0.024000,-0.2642,1.1146,-0.0622,1.147
0.025000,-0.1909,1.1059,0.6193,1.282
0.028000,-0.1628,0.9249,1.1483,1.483
0.033000,-0.1598,0.6752,1.5869,1.732
0.038000,-0.1340,0.3648,1.7778,1.820
0.043000,-0.2304,0.0736,1.9392,1.954
0.048000,-0.3564,-0.1483,2.0758,2.111
0.054000,-0.4427,-0.3689,2.1236,2.200
0.058000,-0.4840,-0.5946,2.0056,2.147
0.064000,-0.5466,-0.8221,1.5617,1.848
0.071000,-0.5542,-1.0286,1.0848,1.594
0.074000,-0.6087,-1.1212,0.7749,1.493
0.079000,-0.6444,-1.0886,0.3379,1.309
0.086000,-0.6626,-0.9937,-0.1586,1.205
0.089000,-0.6771,-0.7877,-0.5312,1.167
0.094000,-0.6451,-0.5037,-0.8955,1.213
0.099000,-0.6076,-0.2574,-1.0722,1.259
0.105000,-0.4657,-0.0669,-1.1470,1.240
0.110000,-0.2934,0.1337,-1.1015,1.148
0.115000,-0.0306,0.2670,-1.0719,1.105
0.120000,0.3044,0.3294,-0.9640,1.063
0.125000,0.5982,0.4767,-0.7613,1.079
0.130000,0.6780,0.6908,-0.4295,1.059
0.137000,0.7637,0.7893,-0.0426,1.099
0.140000,0.8767,0.8679,0.3256,1.276
0.144000,0.9003,0.7983,0.7756,1.432
0.150000,0.8675,0.6983,1.0965,1.563
0.155000,0.7773,0.5377,1.2593,1.575
0.160000,0.7013,0.3048,1.1718,1.399
0.165000,0.5619,0.1226,1.0473,1.195
0.176000,0.3801,0.0699,0.8571,0.940
0.177000,0.1223,0.1022,0.7075,0.725
0.180000,-0.0627,0.0863,0.5576,0.568
0.186000,-0.1791,0.1098,0.3727,0.428
0.191000,-0.2765,0.1600,0.1110,0.338
0.195000,-0.2691,0.1657,-0.2199,0.385
0.200000,-0.2876,0.1476,-0.5044,0.599
0.206000,-0.2923,0.1618,-0.7595,0.830
0.210000,-0.2748,0.2442,-0.8471,0.923
0.215000,-0.2307,0.2846,-0.8752,0.949
0.221000,-0.1700,0.4500,-0.8451,0.972
0.226000,-0.0257,0.5274,-0.6941,0.872
0.231000,0.1758,0.5748,-0.5486,0.814
0.237000,0.3109,0.5875,-0.3932,0.772
0.241000,0.2938,0.5655,-0.1681,0.659
0.246000,0.2176,0.4429,0.0860,0.501
0.251000,0.0857,0.2438,0.2641,0.370
0.255000,-0.0431,0.0209,0.3703,0.373
0.261000,-0.1562,-0.2189,0.3393,0.433
0.266000,-0.2652,-0.2979,0.3171,0.510
0.282000,-0.3120,-0.2692,0.3656,0.551
0.282000,-0.3417,-0.2154,0.5334,0.669
0.283000,-0.2930,-0.1091,0.6459,0.718
0.287000,-0.2526,-0.0673,0.6653,0.715
0.291000,-0.2053,-0.1278,0.6395,0.684
0.296000,-0.1730,-0.2325,0.5557,0.627
