time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.6417,0.1420,-0.6666,0.936
0.003000,0.6649,0.0524,-0.5966,0.895
0.008000,0.6104,-0.0054,-0.5074,0.794
0.009000,0.5350,-0.0041,-0.4408,0.693
0.015000,0.4659,0.0286,-0.3514,0.584
0.026000,0.3958,0.1240,-0.1661,0.447
0.027000,0.3683,0.2397,-0.0247,0.440
0.030000,0.3922,0.3200,0.1126,0.519
0.035000,0.4695,0.3499,0.1935,0.617
0.040000,0.5696,0.4064,0.2866,0.756
0.045000,0.6700,0.4780,0.4207,0.924
0.050000,0.7613,0.5557,0.5328,1.083
0.055000,0.7860,0.5905,0.6169,1.161
0.060000,0.8256,0.6273,0.6662,1.232
0.065000,0.9501,0.7113,0.6796,1.368
0.073000,1.1462,0.6607,0.6478,1.473
0.075000,1.2961,0.5373,0.5039,1.491
0.080000,1.2981,0.3848,0.2398,1.375
0.085000,1.2591,0.2267,-0.0265,1.280
0.090000,1.1853,0.1594,-0.3465,1.245
0.095000,1.0904,0.1810,-0.6643,1.290
0.100000,0.9676,0.1866,-0.8921,1.329
0.106000,0.8072,0.1931,-1.1054,1.382
0.110000,0.7122,0.1884,-1.2638,1.463
0.115000,0.6324,0.1663,-1.3364,1.488
0.122000,0.5805,0.1194,-1.3235,1.450
0.127000,0.5702,0.0165,-1.2024,1.331
0.131000,0.5113,-0.0915,-1.0090,1.135
0.136000,0.4405,-0.1725,-0.8746,0.994
0.141000,0.4360,-0.2495,-0.7535,0.906
0.146000,0.4403,-0.2927,-0.6969,0.875
0.151000,0.4883,-0.3387,-0.6079,0.850
0.156000,0.5041,-0.3872,-0.5226,0.823
0.161000,0.4616,-0.4512,-0.5054,0.820
0.166000,0.4603,-0.4448,-0.4488,0.782
0.184000,0.4455,-0.3904,-0.4293,0.732
0.185000,0.4018,-0.3384,-0.4158,0.670
0.187000,0.3503,-0.2669,-0.3917,0.589
0.187000,0.3739,-0.1927,-0.3284,0.534
0.210000,0.4122,-0.1517,-0.2916,0.527
0.212000,0.3489,-0.1652,-0.3281,0.507
0.213000,0.2595,-0.1479,-0.2036,0.362
0.213000,0.2078,-0.1848,-0.1264,0.305
0.214000,0.1615,-0.1599,-0.0615,0.235
0.222000,0.1147,-0.2204,0.0017,0.248
0.223000,0.0978,-0.2644,0.0035,0.282
0.233000,0.1084,-0.3075,0.0229,0.327
0.234000,0.0400,-0.3665,0.1123,0.385
0.236000,0.0053,-0.3600,0.1676,0.397
0.241000,-0.0098,-0.3547,0.2260,0.421
0.246000,-0.0462,-0.3031,0.2861,0.419
0.251000,-0.0354,-0.2766,0.3240,0.427
0.256000,-0.0206,-0.2118,0.4162,0.467
0.262000,-0.0091,-0.1937,0.4241,0.466
0.267000,-0.0140,-0.1077,0.5187,0.530
0.284000,0.0244,-0.0518,0.5934,0.596
0.286000,0.0319,0.0513,0.6259,0.629
0.287000,0.0061,-0.0102,0.7369,0.737
0.288000,-0.0231,-0.0629,0.8452,0.848
0.311000,-0.0476,-0.1836,1.0093,1.027
0.312000,-0.0101,-0.2318,1.1746,1.197
0.313000,0.0563,-0.2012,1.3436,1.360
0.314000,0.0587,-0.1926,1.4092,1.424
0.314000,-0.0166,-0.1563,1.3945,1.403
0.317000,-0.1291,-0.1006,1.2328,1.244
0.324000,-0.2479,-0.0409,1.0066,1.037
0.327000,-0.2821,0.0401,0.8209,0.869
0.333000,-0.2847,0.1269,0.6517,0.722
0.339000,-0.3038,0.1997,0.4782,0.601
0.342000,-0.2772,0.2604,0.4006,0.552
0.347000,-0.2784,0.3740,0.3218,0.567
0.352000,-0.2353,0.4463,0.3587,0.619
0.357000,-0.1884,0.4454,0.3532,0.599
0.362000,-0.1647,0.5162,0.3187,0.629
0.367000,-0.1453,0.5173,0.3125,0.622
0.382000,-0.1408,0.5052,0.3155,0.612
0.383000,-0.1386,0.4772,0.2906,0.576
0.384000,-0.1831,0.4430,0.2511,0.541
0.389000,-0.2794,0.4045,0.2102,0.535
0.393000,-0.3156,0.3640,0.2122,0.526
0.398000,-0.2884,0.3092,0.2583,0.495
0.403000,-0.2438,0.2575,0.3581,0.504
0.408000,-0.1781,0.2324,0.4639,0.549
0.413000,-0.0983,0.2588,0.5377,0.605
0.418000,-0.0209,0.3051,0.5366,0.618
0.423000,0.0377,0.3047,0.5516,0.631
0.428000,0.1109,0.3125,0.5527,0.645
0.433000,0.1126,0.3276,0.5470,0.648
0.438000,0.0965,0.3271,0.4606,0.573
0.443000,0.0605,0.3530,0.3534,0.503
0.448000,0.0892,0.3830,0.3457,0.524
0.454000,0.1098,0.3673,0.3369,0.510
0.458000,0.1672,0.3001,0.3581,0.496
0.464000,0.1974,0.2004,0.3926,0.483
0.469000,0.2696,0.1269,0.3783,0.482
0.484000,0.3245,0.1488,0.3081,0.472
0.485000,0.3701,0.0998,0.1523,0.412
0.486000,0.3777,0.0880,0.0028,0.388
0.490000,0.2688,0.0980,-0.0484,0.290
0.496000,0.2050,0.1359,-0.0901,0.262
0.499000,0.2093,0.1441,-0.1054,0.275
0.504000,0.1649,0.0677,-0.1470,0.231
0.514000,0.2411,-0.0742,-0.1910,0.316
0.515000,0.3249,-0.2192,-0.2122,0.446
0.519000,0.3871,-0.2898,-0.1940,0.521
0.526000,0.4752,-0.3910,-0.1866,0.643
0.530000,0.5441,-0.3604,-0.1840,0.678
0.534000,0.5616,-0.3384,-0.1967,0.685
0.539000,0.5934,-0.3167,-0.2773,0.728
0.544000,0.5987,-0.2181,-0.3012,0.705
0.549000,0.6022,-0.1229,-0.3520,0.708
0.555000,0.6110,0.0187,-0.4416,0.754
0.559000,0.5697,0.0819,-0.5315,0.783
0.564000,0.5593,0.0837,-0.5857,0.814
0.570000,0.5889,0.0623,-0.7035,0.920
0.574000,0.5654,-0.0046,-0.8217,0.997
0.580000,0.5437,-0.0808,-0.9654,1.111
0.584000,0.5403,-0.1442,-1.1228,1.254
0.601000,0.5310,-0.2222,-1.2606,1.386
0.603000,0.5179,-0.2248,-1.3636,1.476
0.604000,0.4595,-0.2222,-1.4008,1.491
0.605000,0.4705,-0.2474,-1.4289,1.525
0.632000,0.4841,-0.1916,-1.4764,1.566
0.633000,0.5085,-0.1169,-1.4265,1.519
0.635000,0.5272,-0.0098,-1.3176,1.419
0.636000,0.5693,0.1423,-1.2310,1.364
0.638000,0.5993,0.2330,-1.0973,1.272
0.641000,0.7135,0.2911,-0.9918,1.256
0.642000,0.8630,0.5222,-0.8488,1.318
0.646000,0.7210,0.5599,-0.6262,1.107
0.650000,0.6381,0.5340,-0.5239,0.983
0.656000,0.6297,0.5880,-0.5918,1.045
0.660000,0.5886,0.5920,-0.5850,1.019
0.665000,0.5477,0.5998,-0.4989,0.953
0.670000,0.5180,0.6151,-0.3586,0.880
0.675000,0.4762,0.6338,-0.3004,0.848
