time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0183,0.5698,-1.6666,1.761
0.004000,0.0899,0.7481,-1.4713,1.653
0.005000,0.1772,0.8933,-1.2521,1.548
0.009000,0.2088,0.9102,-0.9886,1.360
0.014000,0.2173,0.8884,-0.6467,1.120
0.017000,0.2067,0.7722,-0.2873,0.849
0.025000,0.1639,0.6868,0.0797,0.711
0.027000,0.1251,0.6242,0.2615,0.688
0.032000,0.0207,0.5057,0.3986,0.644
0.037000,-0.1018,0.3934,0.4135,0.580
0.042000,-0.2469,0.2833,0.3638,0.523
0.047000,-0.3341,0.1880,0.2185,0.441
0.055000,-0.3720,0.0558,0.1181,0.394
0.058000,-0.3877,0.0079,-0.0222,0.388
0.062000,-0.3610,-0.0376,-0.0228,0.364
0.067000,-0.3024,-0.0242,0.1254,0.328
0.073000,-0.2493,-0.0404,0.4239,0.493
0.078000,-0.1099,-0.0516,0.7055,0.716
0.083000,0.0563,-0.0478,0.8001,0.803
0.087000,0.2201,-0.0545,0.7633,0.796
0.092000,0.3308,-0.0430,0.7250,0.798
0.098000,0.3315,-0.0810,0.6948,0.774
0.104000,0.2395,-0.1508,0.6550,0.714
0.108000,0.1438,-0.2309,0.5926,0.652
0.112000,0.0129,-0.2639,0.5480,0.608
0.118000,-0.1260,-0.3105,0.4472,0.559
0.124000,-0.2660,-0.3535,0.4332,0.619
0.129000,-0.4080,-0.4249,0.3948,0.709
0.134000,-0.5553,-0.4693,0.4987,0.882
0.139000,-0.5602,-0.4764,0.4962,0.887
0.144000,-0.4775,-0.4935,0.4756,0.835
0.149000,-0.3375,-0.4856,0.3950,0.711
0.163000,-0.2168,-0.4307,0.4071,0.631
0.164000,-0.1636,-0.3543,0.4128,0.568
0.164000,-0.2273,-0.2673,0.5133,0.622
0.170000,-0.3285,-0.2046,0.6823,0.784
0.174000,-0.3147,-0.1858,0.7302,0.817
0.178000,-0.2694,-0.1172,0.7195,0.777
