time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.1223,0.7265,-1.2350,1.438
0.004000,-0.0547,0.8043,-1.0006,1.285
0.004000,-0.1556,0.8976,-0.6841,1.139
0.009000,-0.1694,0.8895,-0.3309,0.964
0.014000,-0.1138,0.8044,0.0324,0.813
0.023000,0.0767,0.7923,0.3228,0.859
0.024000,0.2821,0.7733,0.5802,1.007
0.028000,0.3600,0.7172,0.7891,1.125
0.033000,0.3703,0.6421,0.9903,1.237
0.039000,0.4542,0.5795,1.0267,1.263
0.043000,0.5886,0.5862,1.1305,1.403
0.048000,0.6654,0.6400,1.2125,1.524
0.054000,0.7434,0.5898,1.2201,1.546
0.058000,0.7483,0.4909,1.1685,1.472
0.063000,0.7780,0.4071,1.0866,1.397
0.072000,0.7950,0.3635,0.8583,1.225
0.074000,0.8300,0.2970,0.5926,1.062
0.078000,0.7986,0.3450,0.3660,0.944
0.085000,0.6981,0.3889,0.1236,0.809
0.089000,0.5982,0.4492,-0.1561,0.764
0.094000,0.5019,0.5187,-0.4804,0.867
0.099000,0.3951,0.6468,-0.7380,1.058
0.104000,0.3490,0.7326,-1.0034,1.290
0.109000,0.3024,0.7876,-1.1933,1.461
0.114000,0.2721,0.8050,-1.3717,1.614
0.119000,0.2432,0.7091,-1.4708,1.651
0.124000,0.2924,0.5317,-1.5066,1.624
0.129000,0.2500,0.3653,-1.4039,1.472
0.136000,0.1783,0.2480,-1.1903,1.229
0.140000,0.1097,0.1060,-0.9363,0.949
0.144000,0.0542,-0.0183,-0.7085,0.711
0.149000,0.0138,-0.0950,-0.4813,0.491
0.154000,-0.0659,-0.1788,-0.2770,0.336
0.160000,-0.1727,-0.2085,0.0458,0.275
0.165000,-0.2020,-0.1171,0.3811,0.447
0.179000,-0.0739,-0.0292,0.7998,0.804
0.180000,0.1520,-0.0511,1.0023,1.015
0.181000,0.3666,-0.1864,1.0569,1.134
0.186000,0.5066,-0.4112,0.8354,1.060
0.189000,0.5215,-0.5737,0.4347,0.889
0.195000,0.4302,-0.6571,-0.0512,0.787
0.200000,0.3226,-0.5881,-0.5128,0.844
0.205000,0.1857,-0.4413,-0.8811,1.003
0.210000,0.0943,-0.2478,-1.1281,1.159
0.215000,0.0194,-0.0144,-1.2183,1.218
0.221000,0.0040,0.2032,-1.1125,1.131
0.225000,0.0697,0.3337,-0.9446,1.004
0.230000,0.2077,0.4602,-0.7145,0.875
0.236000,0.3595,0.4171,-0.4483,0.710
0.240000,0.3832,0.2763,-0.2667,0.543
0.245000,0.3983,0.1390,-0.2328,0.482
0.250000,0.3785,-0.0083,-0.2172,0.436
0.263000,0.3166,-0.1285,-0.2604,0.430
0.264000,0.2512,-0.1504,-0.3072,0.424
0.265000,0.1169,-0.1733,-0.4006,0.452
0.270000,0.0149,-0.2110,-0.3765,0.432
0.277000,-0.0668,-0.1500,-0.2935,0.336
0.280000,-0.1197,-0.1105,-0.2030,0.260
0.286000,-0.1594,-0.1212,-0.1109,0.229
0.291000,-0.1524,-0.1177,0.0415,0.197
0.296000,-0.1270,-0.1991,0.1464,0.278
0.301000,-0.0683,-0.3224,0.2469,0.412
0.306000,-0.0665,-0.4103,0.3703,0.557
0.311000,-0.0789,-0.5154,0.3968,0.655
