time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0285,0.4627,0.3600,0.587
0.003000,0.1228,0.4462,0.5667,0.732
0.004000,0.1715,0.4714,0.7964,0.941
0.007000,0.0904,0.4841,0.9971,1.112
0.012000,-0.0194,0.4346,1.2096,1.285
0.022000,-0.1517,0.3462,1.2239,1.281
0.023000,-0.2512,0.2913,1.1825,1.244
0.027000,-0.2342,0.2471,1.0952,1.147
0.032000,-0.0853,0.2399,0.9118,0.947
0.038000,-0.0176,0.1849,0.7327,0.756
0.042000,-0.0899,0.3098,0.7803,0.844
0.048000,-0.0877,0.4521,0.4524,0.646
0.054000,-0.0399,0.5836,-0.0540,0.587
0.058000,-0.0651,0.6386,-0.2525,0.690
0.063000,-0.1438,0.6840,-0.2180,0.732
0.072000,-0.2654,0.6602,-0.1449,0.726
0.073000,-0.3315,0.5583,-0.1186,0.660
0.078000,-0.3491,0.4268,-0.0983,0.560
0.083000,-0.3316,0.2665,-0.1032,0.438
0.095000,-0.3182,0.1642,-0.1689,0.396
0.095000,-0.2995,0.0222,-0.2926,0.419
0.098000,-0.2938,-0.0352,-0.4177,0.512
0.104000,-0.3979,-0.0553,-0.5032,0.644
0.108000,-0.5314,-0.1106,-0.5669,0.785
0.113000,-0.6302,-0.1151,-0.5454,0.841
0.120000,-0.6237,-0.1432,-0.6433,0.907
0.123000,-0.5548,-0.1383,-0.7493,0.942
0.128000,-0.4019,-0.1372,-0.9292,1.022
0.133000,0.0720,-0.0453,-1.4604,1.463
0.138000,0.1095,0.0616,-1.2963,1.302
0.143000,-0.0350,0.2518,-0.9745,1.007
0.148000,-0.0961,0.4342,-0.8852,0.991
0.163000,-0.1564,0.6022,-0.8097,1.021
0.164000,-0.0497,0.6884,-0.6550,0.952
0.165000,-0.0325,0.7983,-0.5001,0.943
0.169000,-0.0299,0.8379,-0.2467,0.874
0.174000,0.0816,0.7553,-0.1840,0.782
0.179000,0.2216,0.5791,-0.2663,0.675
0.184000,0.2196,0.2767,-0.3366,0.488
0.189000,0.1229,-0.0301,-0.3064,0.331
0.193000,0.0283,-0.3255,-0.2703,0.424
0.199000,-0.0884,-0.5922,-0.2377,0.644
