time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.3419,-0.1275,-1.1298,1.187
0.004000,-0.4467,-0.0840,-1.0834,1.175
0.005000,-0.4916,0.0009,-0.9943,1.109
0.009000,-0.4513,0.0776,-0.9036,1.013
0.011000,-0.3668,0.1785,-0.7238,0.831
0.017000,-0.1835,0.2763,-0.5058,0.605
0.024000,-0.0262,0.3449,-0.2171,0.408
0.027000,0.1320,0.3757,0.0195,0.399
0.032000,0.3452,0.3860,0.2078,0.558
0.038000,0.4586,0.3916,0.3934,0.720
0.042000,0.3963,0.3145,0.6553,0.828
0.047000,0.3554,0.2508,0.7984,0.909
0.052000,0.3442,0.2087,0.8779,0.966
0.057000,0.2914,0.1505,0.9309,0.987
0.062000,0.2712,0.0932,0.9691,1.011
0.067000,0.2411,0.0730,1.0139,1.045
0.074000,0.1667,-0.0186,0.9803,0.995
0.077000,0.1465,0.0081,0.8299,0.843
0.082000,0.1457,-0.0052,0.6018,0.619
0.087000,0.0837,0.0414,0.3425,0.355
0.093000,0.0762,0.1090,0.0853,0.158
0.097000,0.0697,0.1690,-0.0886,0.203
0.104000,-0.0265,0.2061,-0.2687,0.340
0.108000,-0.0807,0.2256,-0.4069,0.472
0.113000,-0.1178,0.2236,-0.5569,0.612
0.118000,-0.1265,0.2266,-0.6806,0.728
0.123000,-0.0721,0.2206,-0.7638,0.798
0.128000,-0.0444,0.2944,-0.7277,0.786
0.133000,-0.1320,0.3077,-0.6464,0.728
0.139000,-0.2296,0.3113,-0.4745,0.612
0.143000,-0.2523,0.3239,-0.2308,0.471
0.148000,-0.2287,0.2602,-0.0970,0.360
0.155000,-0.2234,0.1270,-0.0251,0.258
0.159000,-0.1945,0.0046,0.0712,0.207
0.164000,-0.1901,-0.1139,0.1319,0.258
0.169000,-0.1699,-0.1720,0.2335,0.336
0.173000,-0.1813,-0.2386,0.2873,0.415
0.179000,-0.1600,-0.3649,0.2717,0.482
0.184000,-0.1482,-0.3855,0.2561,0.486
0.196000,-0.1304,-0.3280,0.2523,0.434
0.197000,-0.0959,-0.2940,0.2174,0.378
0.199000,-0.0365,-0.2309,0.1105,0.259
0.207000,0.0213,-0.2343,0.0538,0.241
0.209000,0.0137,-0.2038,0.0055,0.204
0.214000,0.0016,-0.1733,-0.0775,0.190
0.221000,0.0122,-0.0974,-0.1628,0.190
0.224000,0.0092,-0.1053,-0.2252,0.249
