time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.1040,-0.3473,-1.3768,1.424
0.004000,-0.0659,-0.1287,-1.1826,1.191
0.005000,-0.0299,0.1476,-0.8352,0.849
0.009000,0.0694,0.4547,-0.4729,0.660
0.011000,0.2117,0.6188,-0.1871,0.680
0.016000,0.3796,0.7064,0.1446,0.815
0.023000,0.5870,0.7413,0.3920,1.024
0.026000,0.7450,0.6926,0.5682,1.165
0.031000,0.8324,0.7007,0.6997,1.294
0.038000,0.8597,0.6634,0.7349,1.311
0.042000,0.8312,0.6098,0.7693,1.286
0.046000,0.7857,0.5882,0.7299,1.223
0.053000,0.6859,0.5650,0.6442,1.098
0.056000,0.6117,0.4807,0.4811,0.915
0.061000,0.5465,0.3629,0.3697,0.753
0.066000,0.4973,0.2130,0.2393,0.592
0.072000,0.4381,0.1683,0.1428,0.491
0.076000,0.4357,0.1292,0.0513,0.457
0.081000,0.4154,0.0405,0.0714,0.423
0.087000,0.3296,-0.0319,-0.0100,0.331
0.091000,0.2588,-0.0233,-0.0707,0.269
0.096000,0.1924,-0.0303,-0.1014,0.220
0.102000,0.1313,-0.0276,-0.1274,0.185
0.106000,0.0750,-0.0413,-0.1031,0.134
0.112000,0.0222,-0.0021,-0.0361,0.042
0.117000,-0.0030,0.0360,0.0392,0.053
0.129000,-0.0317,0.0632,0.0344,0.079
0.130000,-0.0182,-0.0103,0.0440,0.049
0.132000,0.0578,-0.0381,0.0822,0.107
0.140000,0.1391,-0.0609,0.0630,0.164
0.142000,0.1467,-0.0952,-0.0664,0.187
0.147000,0.0815,-0.1147,-0.0882,0.166
0.153000,0.0487,-0.0833,-0.0863,0.129
0.157000,0.0181,-0.0349,-0.0320,0.051
0.162000,-0.0148,0.0027,0.0342,0.037
0.167000,-0.0396,0.0353,0.1065,0.119
0.173000,-0.0433,0.0217,0.2051,0.211
0.178000,-0.0031,-0.0178,0.2180,0.219
0.183000,0.0238,-0.0187,0.2048,0.207
0.188000,-0.0017,-0.0466,0.1920,0.198
0.193000,-0.0161,-0.1169,0.1627,0.201
0.198000,-0.0484,-0.1588,0.1671,0.236
0.203000,-0.1022,-0.1470,0.1751,0.250
0.207000,-0.1212,-0.0684,0.2178,0.258
0.213000,-0.0111,0.0218,0.3239,0.325
0.219000,0.0631,0.0242,0.3692,0.375
0.223000,0.1613,-0.0107,0.3475,0.383
0.228000,0.1894,-0.0721,0.2566,0.327
0.233000,0.1930,-0.1642,0.2159,0.333
0.246000,0.1807,-0.2447,0.0841,0.316
0.247000,0.1558,-0.2572,-0.0407,0.303
0.248000,0.1538,-0.1996,-0.0772,0.264
0.253000,0.1037,-0.0722,-0.1246,0.177
0.258000,0.1272,0.0706,-0.0453,0.152
0.263000,0.1143,0.1829,0.0808,0.230
0.268000,0.1714,0.2127,0.1246,0.300
0.274000,0.2641,0.1878,0.1640,0.363
0.278000,0.3557,0.1060,0.1534,0.402
0.286000,0.3805,0.0023,0.1525,0.410
0.288000,0.3631,-0.0560,0.0693,0.374
0.294000,0.3335,-0.1389,-0.0343,0.363
0.299000,0.3333,-0.1531,-0.1440,0.394
0.304000,0.2646,-0.1796,-0.1785,0.366
0.309000,0.2396,-0.1681,-0.2301,0.372
0.314000,0.2571,-0.0834,-0.2739,0.385
0.329000,0.1723,-0.0980,-0.2105,0.289
0.330000,0.1515,-0.0877,-0.1666,0.242
0.330000,0.2017,-0.1030,-0.0706,0.237
0.335000,0.2331,-0.1464,-0.0526,0.280
0.339000,0.2349,-0.1488,-0.0287,0.280
0.344000,0.2561,-0.1941,-0.0372,0.323
