time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.0320,0.0057,-1.1612,1.162
0.004000,-0.0885,0.0239,-1.0132,1.017
0.005000,-0.0846,0.0919,-0.8063,0.816
0.005000,-0.1069,0.1636,-0.5163,0.552
0.010000,-0.1388,0.1394,-0.1631,0.256
0.015000,-0.1597,0.1265,0.0722,0.216
0.024000,-0.1416,0.1374,0.3454,0.398
0.025000,-0.0575,0.1038,0.5518,0.564
0.030000,0.0583,0.0235,0.5792,0.583
0.036000,0.1916,-0.0288,0.5128,0.548
0.040000,0.1898,0.0796,0.4696,0.513
0.045000,0.1394,0.1704,0.3650,0.426
0.050000,0.1004,0.1852,0.1727,0.272
0.055000,0.0801,0.1695,-0.0664,0.199
0.060000,0.0204,0.0815,-0.3907,0.400
0.065000,-0.0175,0.0267,-0.7331,0.734
0.072000,-0.0338,0.0564,-0.9684,0.971
0.075000,0.0253,0.0947,-1.0704,1.075
0.080000,0.0643,0.1700,-1.0693,1.085
0.087000,0.0136,0.2558,-1.0813,1.111
0.090000,-0.0297,0.3650,-1.0630,1.124
0.096000,-0.0839,0.4475,-0.9514,1.055
0.103000,-0.0481,0.5789,-0.7467,0.946
0.106000,0.1075,0.6838,-0.5004,0.854
0.111000,0.3162,0.6037,-0.3653,0.773
0.116000,0.5417,0.4823,-0.1753,0.746
0.121000,0.5565,0.3822,0.0074,0.675
0.126000,0.5067,0.3097,0.2784,0.656
0.131000,0.4879,0.1383,0.4368,0.669
0.138000,0.5028,0.0535,0.4457,0.674
0.142000,0.4640,0.0001,0.5313,0.705
0.147000,0.2982,0.0234,0.7638,0.820
0.165000,0.1723,0.0075,0.9660,0.981
0.166000,0.1440,-0.0823,0.8909,0.906
0.167000,0.1739,-0.2027,0.7169,0.765
0.168000,0.1627,-0.2619,0.6425,0.713
0.172000,0.1444,-0.2548,0.5777,0.648
0.177000,0.0523,-0.1225,0.4686,0.487
0.182000,0.0187,0.0068,0.4385,0.439
0.192000,0.0416,0.1071,0.3699,0.387
0.193000,0.0336,0.1949,0.2988,0.358
0.197000,-0.0122,0.2785,0.2802,0.395
0.204000,-0.0766,0.2821,0.3034,0.421
0.207000,-0.1396,0.2597,0.3324,0.444
0.212000,-0.1841,0.2016,0.3386,0.435
0.217000,-0.2350,0.1301,0.3450,0.437
0.222000,-0.2639,-0.0254,0.4423,0.516
0.227000,-0.2348,-0.1838,0.5086,0.590
0.232000,-0.2550,-0.2988,0.6192,0.733
0.239000,-0.2236,-0.3936,0.6775,0.815
0.242000,-0.1369,-0.3716,0.8055,0.898
0.247000,-0.0769,-0.3790,0.8967,0.977
0.266000,-0.0267,-0.3265,0.9358,0.991
0.267000,-0.0008,-0.2872,1.0053,1.045
0.268000,-0.0056,-0.1992,0.9917,1.012
0.269000,0.0792,-0.1510,0.9561,0.971
0.295000,0.0926,-0.0718,0.8233,0.832
0.296000,0.0815,0.0101,0.7342,0.739
0.296000,0.1046,0.0132,0.5920,0.601
0.297000,0.0959,0.0121,0.4549,0.465
0.298000,0.0978,-0.0316,0.3324,0.348
0.299000,0.0920,-0.0635,0.1920,0.222
0.306000,0.0934,-0.1034,0.0885,0.165
0.308000,0.1151,-0.1173,-0.0200,0.166
0.313000,0.1547,-0.0993,-0.1468,0.235
0.317000,0.2333,-0.0660,-0.2237,0.330
0.323000,0.2255,-0.0641,-0.2831,0.368
0.328000,0.2674,-0.0474,-0.3822,0.469
0.332000,0.2928,0.0435,-0.4851,0.568
0.338000,0.2618,0.0005,-0.6466,0.698
0.343000,0.2290,-0.0083,-0.6826,0.720
0.348000,0.1880,-0.0131,-0.5980,0.627
0.365000,0.1136,-0.0465,-0.5316,0.546
0.367000,0.0074,-0.0767,-0.2465,0.258
0.367000,-0.0869,-0.0899,0.0872,0.152
0.368000,-0.1164,-0.1081,0.3441,0.379
0.374000,-0.0958,-0.0946,0.5532,0.569
0.378000,0.0021,-0.0974,0.6359,0.643
0.383000,0.0845,-0.0996,0.6411,0.654
0.396000,0.1286,-0.1037,0.6457,0.667
0.397000,0.1465,-0.1236,0.6472,0.675
0.398000,0.1444,-0.1112,0.5653,0.594
0.408000,0.1698,-0.1652,0.4144,0.477
0.409000,0.1834,-0.2061,0.1589,0.318
0.413000,0.1948,-0.1657,-0.1129,0.280
0.418000,0.1927,-0.1571,-0.3509,0.430
0.423000,0.1298,-0.0760,-0.4799,0.503
0.429000,0.0802,0.0207,-0.5816,0.587
0.433000,0.0755,0.0704,-0.5949,0.604
0.438000,0.0734,0.0973,-0.5739,0.587
0.443000,0.1059,0.1825,-0.4935,0.537
0.449000,0.1618,0.2433,-0.3263,0.438
0.455000,0.1617,0.2640,-0.1428,0.341
0.460000,0.1865,0.2756,0.0282,0.334
0.464000,0.1684,0.2505,0.1941,0.359
0.468000,0.1513,0.1325,0.2879,0.351
0.473000,0.1425,0.0291,0.3613,0.389
0.478000,0.1001,-0.0837,0.3784,0.400
0.484000,0.0872,-0.1668,0.3143,0.366
0.489000,0.1175,-0.1716,0.2960,0.362
0.494000,0.0988,-0.1738,0.2802,0.344
0.499000,0.0480,-0.1268,0.2732,0.305
0.504000,0.0261,-0.0978,0.2079,0.231
0.509000,-0.0258,-0.1072,0.1908,0.220
0.514000,-0.0000,-0.1165,0.1955,0.228
0.520000,-0.0292,-0.1055,0.2363,0.260
0.524000,-0.0187,-0.0755,0.1818,0.198
0.529000,0.0039,-0.0881,0.1503,0.174
0.534000,0.0615,-0.0238,0.0987,0.119
0.539000,0.1218,-0.0124,0.0031,0.123
0.544000,0.1834,0.0491,-0.1162,0.223
0.549000,0.2232,0.0560,-0.2701,0.355
0.555000,0.2233,0.1125,-0.2853,0.379
0.559000,0.2221,0.1569,-0.3365,0.433
0.564000,0.2088,0.1964,-0.3664,0.465
0.570000,0.1448,0.1941,-0.4241,0.488
0.575000,0.1511,0.2027,-0.3721,0.450
0.580000,0.1393,0.2341,-0.3599,0.451
0.584000,0.1191,0.1975,-0.2633,0.350
0.590000,0.1169,0.1343,-0.2076,0.274
0.595000,0.0850,0.0299,-0.1594,0.183
0.600000,0.0038,-0.0107,-0.1686,0.169
0.604000,-0.0405,-0.1315,-0.1025,0.172
0.610000,-0.0455,-0.2251,-0.1189,0.259
0.615000,-0.0277,-0.2323,-0.0310,0.236
0.620000,-0.0602,-0.2477,-0.0243,0.256
0.625000,-0.0209,-0.1828,-0.0329,0.187
0.630000,0.0031,-0.1227,-0.0520,0.133
0.635000,0.0408,-0.0504,-0.0576,0.087
0.641000,0.0513,0.0166,-0.0321,0.063
0.645000,0.0631,0.0546,-0.0520,0.098
0.650000,0.0221,0.1031,-0.1149,0.156
0.665000,0.0600,0.1124,-0.1394,0.189
0.666000,0.0749,0.1377,-0.2298,0.278
0.666000,0.0982,0.1242,-0.3237,0.360
0.671000,0.0936,0.1426,-0.3974,0.432
0.676000,0.0608,0.1318,-0.4425,0.466
0.681000,0.0440,0.0954,-0.3550,0.370
0.690000,0.0287,0.0857,-0.2463,0.262
0.691000,-0.0014,0.0258,-0.1688,0.171
0.696000,0.0225,0.0230,-0.0532,0.062
0.701000,-0.0202,-0.0160,0.0851,0.089
0.706000,-0.0149,-0.0376,0.1540,0.159
0.711000,-0.0298,-0.0524,0.1082,0.124
0.716000,-0.0593,-0.0913,0.0744,0.132
0.721000,-0.0591,-0.0370,0.0050,0.070
0.726000,-0.0319,-0.0005,-0.0524,0.061
0.731000,-0.0077,0.0326,-0.1194,0.124
0.738000,0.0064,0.0818,-0.1768,0.195
0.742000,0.0030,0.1281,-0.2366,0.269
0.746000,0.0383,0.1755,-0.3504,0.394
0.752000,0.0527,0.1748,-0.4679,0.502
0.765000,0.0566,0.1833,-0.5280,0.562
0.766000,0.0537,0.1540,-0.6001,0.622
0.767000,0.0549,0.1887,-0.6113,0.642
0.772000,0.0161,0.2756,-0.5842,0.646
0.779000,-0.0048,0.2889,-0.4245,0.513
0.782000,-0.0334,0.2655,-0.3006,0.402
0.800000,-0.0180,0.2659,-0.1827,0.323
0.802000,0.0045,0.2384,-0.1123,0.264
0.802000,0.0299,0.1876,-0.0488,0.196
0.803000,0.0503,0.1259,0.0627,0.149
0.812000,0.0371,0.0593,0.0741,0.102
0.813000,-0.0265,0.0278,0.0115,0.040
0.817000,-0.1000,0.0472,0.0651,0.128
0.825000,-0.1513,0.1440,0.0996,0.231
0.827000,-0.2155,0.2338,0.1424,0.348
0.832000,-0.2167,0.3566,0.1132,0.432
0.838000,-0.1653,0.4521,0.0217,0.482
0.842000,-0.1519,0.4746,-0.1599,0.523
0.847000,-0.1217,0.4689,-0.3633,0.606
0.852000,-0.1606,0.4726,-0.4058,0.643
0.857000,-0.2051,0.4595,-0.4635,0.684
0.862000,-0.2221,0.4298,-0.5565,0.737
0.867000,-0.2580,0.4191,-0.6346,0.803
0.884000,-0.3349,0.4484,-0.6308,0.843
0.885000,-0.4250,0.5744,-0.5834,0.922
0.886000,-0.4209,0.8164,-0.4539,1.025
