time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.0623,0.2757,-0.9826,1.022
0.004000,0.1100,0.3597,-1.0252,1.092
0.004000,0.2173,0.5022,-0.8914,1.046
0.008000,0.2338,0.6207,-0.5870,0.886
0.009000,0.2093,0.6983,-0.2479,0.770
0.015000,0.2260,0.7494,0.1828,0.804
0.022000,0.3141,0.7632,0.6521,1.052
0.026000,0.4610,0.7445,0.9430,1.287
0.030000,0.5049,0.7118,1.2070,1.489
0.035000,0.5476,0.6919,1.3983,1.653
0.040000,0.5519,0.6604,1.5472,1.770
0.045000,0.5396,0.6025,1.5986,1.792
0.051000,0.5017,0.4860,1.5218,1.674
0.055000,0.3760,0.3320,1.4109,1.497
0.060000,0.2862,0.2036,1.1880,1.239
0.065000,0.2264,0.0739,0.9079,0.939
0.070000,0.2023,-0.0429,0.6301,0.663
0.075000,0.2454,-0.1673,0.4246,0.518
0.080000,0.2749,-0.2295,0.1573,0.391
0.087000,0.3011,-0.1740,-0.0848,0.358
0.090000,0.3249,-0.1060,-0.3136,0.464
0.096000,0.3515,-0.0030,-0.5411,0.645
0.102000,0.2869,0.1239,-0.6728,0.742
0.106000,0.1827,0.2803,-0.7074,0.783
0.111000,0.0625,0.4205,-0.7885,0.896
0.117000,0.0248,0.5215,-0.9373,1.073
0.121000,0.0459,0.5126,-1.0510,1.170
0.126000,0.0020,0.3543,-0.9227,0.988
0.131000,0.0246,0.1533,-0.7249,0.741
0.136000,0.1572,-0.0626,-0.6202,0.643
0.141000,0.3026,-0.1555,-0.7331,0.808
0.146000,0.3967,-0.2317,-0.8661,0.980
0.152000,0.4030,-0.2598,-0.8293,0.958
0.156000,0.3112,-0.1885,-0.6276,0.725
0.161000,0.2284,-0.1196,-0.4274,0.499
0.166000,0.2454,-0.0042,-0.2190,0.329
0.171000,0.2911,0.1471,-0.0372,0.328
0.177000,0.3850,0.2335,0.0560,0.454
0.181000,0.4827,0.2673,0.1550,0.573
0.198000,0.5008,0.2138,0.0436,0.546
0.199000,0.4329,0.0859,-0.1399,0.463
0.200000,0.3397,-0.0882,-0.2973,0.460
0.204000,0.3172,-0.1824,-0.4051,0.546
0.207000,0.3052,-0.2201,-0.5186,0.641
0.212000,0.2117,-0.1833,-0.5542,0.621
0.217000,0.1681,-0.1157,-0.5201,0.559
0.222000,0.1273,0.0455,-0.3611,0.386
0.228000,0.1561,0.2444,-0.1488,0.326
0.231000,0.2447,0.3497,0.0358,0.428
0.237000,0.3429,0.4003,0.1858,0.559
0.242000,0.4385,0.3745,0.2512,0.629
0.247000,0.4694,0.2632,0.2275,0.584
0.252000,0.4720,0.1255,0.1733,0.518
0.257000,0.4767,-0.0119,0.0731,0.482
0.262000,0.4479,-0.1510,-0.0901,0.481
