time,ax,ay,az
2019-11-14 20:12:01.2070,0.02,-0.0,-0.02
2019-11-14 20:12:01.2700,0.02,0.0,0.01
2019-11-14 20:12:01.3600,-0.02,-0.01,0.03
2019-11-14 20:12:01.4520,-0.01,0.03,-0.06
2019-11-14 20:12:01.5410,-0.02,0.04,-0.07
2019-11-14 20:12:01.6320,0.03,-0.05,-0.0
2019-11-14 20:12:01.7330,-0.0,-0.01,0.02
2019-11-14 20:12:01.8320,-0.0,-0.0,0.03
2019-11-14 20:12:01.9030,-0.0,-0.01,-0.0
2019-11-14 20:12:01.9980,-0.03,-0.0,-0.05
2019-11-14 20:12:02.0830,0.0,-0.01,0.01
2019-11-14 20:12:02.1720,0.01,0.01,-0.01
2019-11-14 20:12:02.2630,0.02,-0.0,-0.01
2019-11-14 20:12:02.3550,0.0,0.01,-0.0
2019-11-14 20:12:02.4430,0.01,0.1,0.05
2019-11-14 20:12:02.5360,0.03,-0.01,-0.05
2019-11-14 20:12:02.6340,-0.01,-0.0,0.05
2019-11-14 20:12:02.7360,0.01,-0.02,-0.01
2019-11-14 20:12:02.8060,0.0,-0.0,0.01
2019-11-14 20:12:02.9010,-0.0,-0.0,-0.01
2019-11-14 20:12:02.9850,-0.0,0.02,0.02
2019-11-14 20:12:03.0750,-0.0,0.0,0.03
2019-11-14 20:12:03.1660,-0.02,-0.01,0.04
2019-11-14 20:12:03.2580,-0.01,-0.02,0.02
2019-11-14 20:12:03.3460,-0.0,-0.02,0.01
2019-11-14 20:12:03.4370,0.02,-0.0,0.01
2019-11-14 20:12:03.5360,-0.0,0.0,0.01
2019-11-14 20:12:03.6370,-0.01,0.0,0.02
2019-11-14 20:12:03.7080,0.01,-0.06,0.02
2019-11-14 20:12:03.8040,0.04,-0.0,0.11
2019-11-14 20:12:03.8880,0.13,0.29,0.02
2019-11-14 20:12:03.9780,0.55,0.76,0.43
2019-11-14 20:12:04.0680,0.76,0.72,0.12
2019-11-14 20:12:04.1600,0.75,0.69,-0.28
2019-11-14 20:12:04.2490,0.51,0.65,-0.62
2019-11-14 20:12:04.3410,-0.02,0.59,-0.72
2019-11-14 20:12:04.4420,-0.14,0.27,-0.97
2019-11-14 20:12:04.5430,-0.35,0.76,-0.56
2019-11-14 20:12:04.6120,-0.16,0.95,0.03
2019-11-14 20:12:04.7070,-0.1,0.15,0.35
2019-11-14 20:12:04.7900,-0.04,0.63,0.8
2019-11-14 20:12:04.8810,-0.04,0.69,-2.98
2019-11-14 20:12:04.9710,-0.17,0.09,0.63
2019-11-14 20:12:05.0640,-0.26,0.07,-1.55
2019-11-14 20:12:05.1520,0.09,-0.08,-0.15
2019-11-14 20:12:05.2450,0.03,-0.02,-0.07
2019-11-14 20:12:05.3410,0.01,-0.06,-0.05
2019-11-14 20:12:05.4460,0.0,-0.1,0.01
2019-11-14 20:12:05.5160,-0.0,0.02,0.01
2019-11-14 20:12:05.6090,-0.0,-0.0,-0.04
2019-11-14 20:12:05.6940,-0.03,0.0,0.05
2019-11-14 20:12:05.7840,0.02,-0.02,0.0
2019-11-14 20:12:05.8740,-0.01,-0.0,-0.03
2019-11-14 20:12:05.9660,0.01,-0.01,-0.02
2019-11-14 20:12:06.0540,0.0,-0.01,-0.02
2019-11-14 20:12:06.1470,0.0,-0.01,-0.01
2019-11-14 20:12:06.2510,-0.0,-0.01,-0.01
2019-11-14 20:12:06.3450,0.01,-0.02,0.0
2019-11-14 20:12:06.4160,0.01,-0.02,0.0
2019-11-14 20:12:06.5130,0.0,-0.02,-0.0
2019-11-14 20:12:06.5960,0.0,-0.02,-0.0
2019-11-14 20:12:06.6860,0.0,-0.02,-0.0
2019-11-14 20:12:06.7770,0.0,-0.01,0.0
2019-11-14 20:12:06.8690,0.01,-0.02,-0.01
2019-11-14 20:12:06.9570,0.0,-0.02,0.01
2019-11-14 20:12:07.0540,0.0,-0.01,-0.0
2019-11-14 20:12:07.1460,-0.0,-0.01,-0.01
2019-11-14 20:12:07.2480,-0.02,0.0,0.05
2019-11-14 20:12:07.3200,0.02,-0.01,0.01
