time,ax,ay,az
2019-11-14 19:18:31.3150,0.03,-0.01,0.03
2019-11-14 19:18:31.4130,-0.02,0.03,-0.05
2019-11-14 19:18:31.5110,0.02,-0.0,0.05
2019-11-14 19:18:31.5760,-0.0,0.0,-0.04
2019-11-14 19:18:31.6660,-0.01,-0.01,-0.01
2019-11-14 19:18:31.7560,-0.01,0.01,0.0
2019-11-14 19:18:31.8460,-0.01,0.01,0.02
2019-11-14 19:18:31.9360,0.01,-0.0,0.06
2019-11-14 19:18:32.0270,-0.02,-0.04,-0.0
2019-11-14 19:18:32.1170,-0.01,-0.04,0.02
2019-11-14 19:18:32.2150,-0.01,-0.01,-0.02
2019-11-14 19:18:32.3150,0.02,0.01,0.01
2019-11-14 19:18:32.4160,0.01,0.02,-0.0
2019-11-14 19:18:32.4780,-0.01,0.01,-0.04
2019-11-14 19:18:32.5680,-0.01,0.01,0.02
2019-11-14 19:18:32.6590,-0.0,-0.01,0.03
2019-11-14 19:18:32.7490,0.0,-0.03,-0.0
2019-11-14 19:18:32.8390,-0.02,-0.0,-0.02
2019-11-14 19:18:32.9290,0.01,0.01,0.03
2019-11-14 19:18:33.0190,0.01,-0.0,0.04
2019-11-14 19:18:33.1160,0.01,-0.01,-0.01
2019-11-14 19:18:33.2160,-0.01,-0.01,-0.0
2019-11-14 19:18:33.3160,0.02,0.03,0.08
2019-11-14 19:18:33.3810,0.07,-0.03,0.1
2019-11-14 19:18:33.4710,-0.11,0.06,-0.02
2019-11-14 19:18:33.5610,0.01,-0.04,0.09
2019-11-14 19:18:33.6510,0.09,0.0,-0.1
2019-11-14 19:18:33.7410,-0.02,-0.01,0.07
2019-11-14 19:18:33.8320,-0.08,-0.08,0.19
2019-11-14 19:18:33.9220,-0.04,-0.04,0.01
2019-11-14 19:18:34.0180,-0.01,-0.12,0.16
2019-11-14 19:18:34.1190,0.06,-0.05,0.1
2019-11-14 19:18:34.2190,0.01,-0.03,0.28
2019-11-14 19:18:34.2830,-0.11,0.01,0.1
2019-11-14 19:18:34.3730,-0.24,0.05,0.23
2019-11-14 19:18:34.4640,-0.31,0.09,0.51
2019-11-14 19:18:34.5540,-0.47,0.16,0.41
2019-11-14 19:18:34.6440,-0.34,0.27,0.39
2019-11-14 19:18:34.7340,-0.29,0.39,0.76
2019-11-14 19:18:34.8240,-0.1,-0.19,-0.72
2019-11-14 19:18:34.9220,1.17,3.52,-2.56
2019-11-14 19:18:35.0240,-0.35,-0.01,0.08
2019-11-14 19:18:35.1240,-0.15,-0.06,0.6
2019-11-14 19:18:35.1860,-0.32,0.06,-0.25
2019-11-14 19:18:35.2760,-0.08,0.1,0.06
2019-11-14 19:18:35.3660,0.15,0.0,-0.04
2019-11-14 19:18:35.4560,0.17,0.03,-0.09
2019-11-14 19:18:35.5460,-0.09,-0.03,0.05
2019-11-14 19:18:35.6370,-0.09,0.03,0.03
2019-11-14 19:18:35.7270,-0.04,-0.0,0.09
2019-11-14 19:18:35.8270,0.02,0.05,-0.12
2019-11-14 19:18:35.9280,0.04,0.01,0.03
2019-11-14 19:18:36.0250,0.0,0.01,-0.01
2019-11-14 19:18:36.0880,-0.02,0.01,-0.01
2019-11-14 19:18:36.1780,-0.01,0.0,0.03
2019-11-14 19:18:36.2690,-0.02,0.01,-0.03
2019-11-14 19:18:36.3590,-0.02,0.04,-0.03
2019-11-14 19:18:36.4490,0.07,0.1,-0.15
2019-11-14 19:18:36.5390,0.06,0.17,0.14
2019-11-14 19:18:36.6290,-0.06,-0.03,0.15
2019-11-14 19:18:36.7300,0.0,-0.08,0.05
2019-11-14 19:18:36.8280,0.01,0.03,-0.06
2019-11-14 19:18:36.9290,0.03,-0.02,0.06
2019-11-14 19:18:36.9910,-0.07,-0.02,-0.0
2019-11-14 19:18:37.0810,0.01,-0.0,0.05
2019-11-14 19:18:37.1710,0.01,0.03,-0.12
2019-11-14 19:18:37.2610,0.03,0.01,0.01
2019-11-14 19:18:37.3510,-0.03,-0.02,0.02
2019-11-14 19:18:37.4420,-0.03,0.02,-0.05
2019-11-14 19:18:37.5320,-0.03,0.0,0.05
2019-11-14 19:18:37.6320,0.04,0.03,-0.07
