time,ax,ay,az
2019-11-14 20:39:56.0380,-0.01,0.03,-0.04
2019-11-14 20:39:56.1290,-0.02,0.0,-0.02
2019-11-14 20:39:56.2270,-0.03,-0.02,-0.01
2019-11-14 20:39:56.3110,-0.05,-0.0,-0.01
2019-11-14 20:39:56.4010,-0.0,-0.0,0.01
2019-11-14 20:39:56.4950,-0.04,0.03,0.02
2019-11-14 20:39:56.5820,-0.01,-0.04,0.01
2019-11-14 20:39:56.6720,-0.0,-0.05,-0.02
2019-11-14 20:39:56.7610,-0.01,0.04,-0.07
2019-11-14 20:39:56.8510,0.0,0.05,-0.01
2019-11-14 20:39:56.9470,-0.03,0.05,-0.02
2019-11-14 20:39:57.0480,0.02,-0.0,-0.01
2019-11-14 20:39:57.1330,0.01,-0.02,-0.01
2019-11-14 20:39:57.2140,-0.0,-0.02,0.0
2019-11-14 20:39:57.3030,-0.01,0.01,0.01
2019-11-14 20:39:57.4000,-0.0,0.01,-0.03
2019-11-14 20:39:57.4830,-0.0,0.01,0.01
2019-11-14 20:39:57.5760,-0.0,0.0,0.01
2019-11-14 20:39:57.6640,-0.01,-0.01,-0.01
2019-11-14 20:39:57.7540,-0.03,-0.0,-0.04
2019-11-14 20:39:57.8440,0.06,0.02,0.04
2019-11-14 20:39:57.9440,0.05,0.03,-0.01
2019-11-14 20:39:58.0400,-0.0,-0.01,-0.01
2019-11-14 20:39:58.1180,-0.0,-0.02,-0.02
2019-11-14 20:39:58.2060,-0.06,0.01,-0.07
2019-11-14 20:39:58.3000,-0.03,-0.02,0.03
2019-11-14 20:39:58.3870,-0.01,-0.05,0.05
2019-11-14 20:39:58.4780,-0.0,0.05,0.05
2019-11-14 20:39:58.5660,0.01,0.06,0.14
2019-11-14 20:39:58.6560,-0.05,0.11,0.14
2019-11-14 20:39:58.7480,-0.04,0.15,0.2
2019-11-14 20:39:58.8470,0.04,0.06,0.15
2019-11-14 20:39:58.9450,0.04,-0.0,0.06
2019-11-14 20:39:59.0190,0.11,-0.04,0.0
2019-11-14 20:39:59.1080,0.14,-0.09,0.04
2019-11-14 20:39:59.2030,0.12,-0.11,-0.07
2019-11-14 20:39:59.2900,-0.04,-0.02,-0.02
2019-11-14 20:39:59.3810,-0.05,0.02,-0.02
2019-11-14 20:39:59.4690,-0.06,-0.02,-0.25
2019-11-14 20:39:59.5590,0.09,-0.12,-0.19
2019-11-14 20:39:59.6500,0.06,-0.17,-0.16
2019-11-14 20:39:59.7520,0.01,0.04,-0.09
2019-11-14 20:39:59.8460,0.02,0.03,0.09
2019-11-14 20:39:59.9240,0.05,0.06,0.07
2019-11-14 20:40:00.0110,0.05,0.06,0.18
2019-11-14 20:40:00.1050,0.08,0.13,0.13
2019-11-14 20:40:00.1920,0.07,0.1,0.31
2019-11-14 20:40:00.2850,-0.06,0.09,-0.0
2019-11-14 20:40:00.3720,0.01,0.15,-0.11
2019-11-14 20:40:00.4620,0.08,0.01,-0.05
2019-11-14 20:40:00.5540,0.06,-0.22,-0.29
2019-11-14 20:40:00.6550,-0.1,0.0,-0.15
2019-11-14 20:40:00.7500,-0.05,0.17,-0.17
2019-11-14 20:40:00.8240,-0.09,0.14,-0.07
2019-11-14 20:40:00.9130,-0.01,-0.03,0.02
2019-11-14 20:40:01.0070,0.04,0.02,-0.02
2019-11-14 20:40:01.0950,0.23,0.05,-0.01
2019-11-14 20:40:01.1880,-0.14,0.27,-0.07
2019-11-14 20:40:01.2740,0.26,-0.73,0.05
2019-11-14 20:40:01.3650,0.09,0.23,0.07
2019-11-14 20:40:01.4550,0.04,0.03,0.04
2019-11-14 20:40:01.5580,-0.03,0.03,-0.07
2019-11-14 20:40:01.6560,0.04,0.0,-0.14
2019-11-14 20:40:01.7270,-0.04,0.06,0.01
2019-11-14 20:40:01.8170,0.03,0.01,0.03
2019-11-14 20:40:01.9100,-0.01,-0.04,-0.07
2019-11-14 20:40:01.9970,-0.03,-0.0,-0.02
2019-11-14 20:40:02.0910,-0.0,0.01,-0.03
2019-11-14 20:40:02.1770,0.03,0.01,0.01
2019-11-14 20:40:02.2680,0.05,0.0,-0.01
2019-11-14 20:40:02.3610,-0.0,0.0,-0.01
2019-11-14 20:40:02.4610,0.0,0.0,0.02
2019-11-14 20:40:02.5570,0.04,0.02,0.02
2019-11-14 20:40:02.6300,0.03,0.02,0.04
2019-11-14 20:40:02.7190,0.0,0.02,-0.02
2019-11-14 20:40:02.8160,-0.03,-0.0,-0.01
2019-11-14 20:40:02.9010,0.01,0.01,0.02
2019-11-14 20:40:02.9940,0.01,-0.0,0.05
2019-11-14 20:40:03.0800,0.02,-0.02,-0.01
2019-11-14 20:40:03.1700,0.0,0.02,0.03
2019-11-14 20:40:03.2600,-0.01,0.0,-0.07
2019-11-14 20:40:03.3680,-0.02,0.01,0.01
2019-11-14 20:40:03.4590,0.0,-0.0,0.01
2019-11-14 20:40:03.5330,-0.0,-0.01,0.01
2019-11-14 20:40:03.6220,0.01,0.01,-0.02
2019-11-14 20:40:03.7130,-0.0,-0.01,-0.04
