time,ax,ay,az
2019-11-14 19:45:43.8030,-0.04,-0.02,-0.03
2019-11-14 19:45:43.8630,-0.0,-0.0,-0.0
2019-11-14 19:45:43.9530,0.0,0.0,0.01
2019-11-14 19:45:44.0440,-0.0,0.0,-0.01
2019-11-14 19:45:44.1340,-0.0,-0.0,0.01
2019-11-14 19:45:44.2240,-0.01,-0.0,0.01
2019-11-14 19:45:44.3140,-0.0,0.01,-0.06
2019-11-14 19:45:44.4100,0.01,0.0,0.0
2019-11-14 19:45:44.5110,-0.02,0.01,0.01
2019-11-14 19:45:44.6090,-0.0,0.01,-0.02
2019-11-14 19:45:44.6760,-0.01,0.0,-0.03
2019-11-14 19:45:44.7660,-0.01,0.01,0.0
2019-11-14 19:45:44.8560,-0.01,0.01,0.0
2019-11-14 19:45:44.9460,0.0,0.01,-0.0
2019-11-14 19:45:45.0370,-0.0,0.02,-0.04
2019-11-14 19:45:45.1270,-0.01,0.01,0.02
2019-11-14 19:45:45.2170,-0.02,0.02,0.01
2019-11-14 19:45:45.3170,-0.01,0.03,0.07
2019-11-14 19:45:45.4130,-0.0,0.05,0.09
2019-11-14 19:45:45.5130,-0.01,0.09,0.13
2019-11-14 19:45:45.5790,-0.0,0.15,0.14
2019-11-14 19:45:45.6690,0.02,0.17,-0.02
2019-11-14 19:45:45.7590,0.03,0.15,-0.05
2019-11-14 19:45:45.8490,0.02,0.12,-0.06
2019-11-14 19:45:45.9390,0.01,0.07,-0.2
2019-11-14 19:45:46.0290,-0.02,0.02,-0.29
2019-11-14 19:45:46.1190,-0.06,0.03,-0.34
2019-11-14 19:45:46.2210,-0.02,0.06,-0.25
2019-11-14 19:45:46.3130,-0.03,0.04,-0.01
2019-11-14 19:45:46.4130,-0.06,-0.13,0.0
2019-11-14 19:45:46.4820,-0.13,-0.28,0.14
2019-11-14 19:45:46.5720,-0.05,-0.13,0.05
2019-11-14 19:45:46.6620,0.05,-0.03,0.16
2019-11-14 19:45:46.7520,0.06,0.03,0.23
2019-11-14 19:45:46.8420,-0.03,0.01,0.21
2019-11-14 19:45:46.9320,-0.01,-0.03,0.08
2019-11-14 19:45:47.0220,-0.01,0.02,0.0
2019-11-14 19:45:47.1220,0.05,0.0,-0.06
2019-11-14 19:45:47.2150,-0.01,-0.01,-0.09
2019-11-14 19:45:47.3200,0.02,0.02,-0.07
2019-11-14 19:45:47.3840,0.01,0.04,-0.05
2019-11-14 19:45:47.4750,0.01,0.03,-0.01
2019-11-14 19:45:47.5650,-0.02,0.01,-0.05
2019-11-14 19:45:47.6550,-0.04,-0.01,0.01
2019-11-14 19:45:47.7450,-0.03,0.01,0.02
2019-11-14 19:45:47.8350,-0.01,-0.02,-0.01
