time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.0897,0.0240,0.4258,0.436
0.004000,-0.0869,-0.0148,0.4019,0.411
0.004000,-0.0357,-0.0304,0.3500,0.353
0.009000,-0.0054,-0.0561,0.2773,0.283
0.017000,0.0444,-0.0492,0.2317,0.241
0.019000,0.0709,-0.0287,0.1985,0.213
0.022000,0.0860,-0.0303,0.1894,0.210
0.027000,0.1376,-0.0182,0.1996,0.243
0.036000,0.1753,-0.0067,0.1908,0.259
0.038000,0.1991,-0.0004,0.1656,0.259
0.043000,0.2254,-0.0065,0.1217,0.256
0.046000,0.2468,0.0155,0.0950,0.265
0.053000,0.2395,0.0203,0.0662,0.249
0.059000,0.2274,0.0654,0.0591,0.244
0.063000,0.1820,0.0769,0.0188,0.198
0.071000,0.1533,0.1120,0.0120,0.190
0.072000,0.1407,0.1231,-0.0255,0.189
0.076000,0.1204,0.1080,-0.0532,0.170
0.084000,0.1159,0.0861,-0.0689,0.160
0.087000,0.1013,0.0905,-0.0536,0.146
0.092000,0.0862,0.0666,-0.0479,0.119
0.096000,0.0946,0.0619,-0.0518,0.124
0.100000,0.1167,0.0480,-0.1056,0.165
0.106000,0.1290,0.0677,-0.1400,0.202
0.111000,0.1550,0.0568,-0.1576,0.228
0.115000,0.1614,0.0533,-0.1704,0.241
0.119000,0.1697,0.0526,-0.1737,0.248
0.125000,0.1799,0.0711,-0.1391,0.238
0.131000,0.2039,0.0968,-0.1238,0.257
0.135000,0.2134,0.1247,-0.1561,0.292
0.140000,0.2322,0.1431,-0.1905,0.333
0.144000,0.2413,0.1260,-0.2105,0.344
0.149000,0.2122,0.1377,-0.2162,0.333
0.155000,0.2382,0.1162,-0.2266,0.349
0.160000,0.2454,0.1046,-0.1728,0.318
0.164000,0.2484,0.1004,-0.1244,0.295
0.169000,0.2689,0.0603,-0.0739,0.285
0.174000,0.2808,0.0561,-0.0594,0.292
0.179000,0.2604,0.0325,-0.0900,0.277
0.184000,0.2173,0.0255,-0.1061,0.243
0.189000,0.1825,-0.0077,-0.1387,0.229
0.191000,0.1131,-0.0168,-0.0998,0.152
0.196000,0.0804,-0.0189,-0.0873,0.120
0.202000,0.0699,-0.0307,-0.0773,0.109
0.207000,0.0860,-0.0423,-0.0982,0.137
0.212000,0.0855,-0.0326,-0.1165,0.148
0.223000,0.0664,-0.0395,-0.1371,0.157
0.224000,0.0689,-0.0652,-0.1314,0.162
0.227000,0.0977,-0.0834,-0.1021,0.164
0.240000,0.1051,-0.1203,-0.0897,0.183
0.240000,0.1079,-0.1284,-0.0727,0.183
0.241000,0.1229,-0.1270,-0.0605,0.187
0.246000,0.1401,-0.1494,-0.0295,0.207
0.251000,0.1264,-0.1363,-0.0389,0.190
0.255000,0.1151,-0.1495,-0.0364,0.192
0.260000,0.0756,-0.1294,-0.0315,0.153
0.266000,0.0386,-0.1049,-0.0552,0.125
0.269000,-0.0007,-0.0852,-0.0834,0.119
0.274000,-0.0304,-0.0631,-0.1066,0.128
