time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.5248,0.0429,0.8325,0.985
0.003000,0.0361,-0.1250,0.4421,0.461
0.005000,-0.2288,-0.2299,0.0668,0.331
0.011000,-0.3553,-0.2947,-0.2798,0.540
0.016000,-0.3707,-0.3423,-0.4352,0.666
0.021000,-0.2443,-0.3550,-0.3992,0.587
0.027000,-0.0188,-0.3255,-0.2283,0.398
0.029000,0.2160,-0.2494,-0.0425,0.333
0.034000,0.3610,-0.1769,0.1439,0.427
0.040000,0.4271,-0.0943,0.2719,0.515
0.047000,0.4196,-0.0280,0.3517,0.548
0.049000,0.3486,0.0287,0.4434,0.565
0.053000,0.2546,0.0658,0.5805,0.637
0.059000,0.1586,0.1157,0.8297,0.853
0.064000,0.0669,0.1562,1.1551,1.168
0.069000,0.0142,0.1956,1.4571,1.470
0.078000,0.0132,0.3155,1.7011,1.730
0.079000,0.0527,0.4381,1.8550,1.907
0.082000,0.1243,0.5452,1.8587,1.941
0.089000,0.2362,0.5934,1.6972,1.813
0.095000,0.3877,0.5989,1.4886,1.651
0.098000,0.5072,0.5406,1.2620,1.464
0.102000,0.6287,0.4309,1.0365,1.287
0.106000,0.7245,0.2823,0.8238,1.133
0.116000,0.7673,0.1196,0.7066,1.050
0.120000,0.5927,-0.0826,0.8333,1.026
0.123000,0.4627,-0.1361,0.6343,0.797
0.128000,0.3946,-0.2177,0.3902,0.596
0.130000,0.3023,-0.3951,0.2409,0.553
0.137000,0.2106,-0.5026,0.1090,0.556
0.143000,0.1646,-0.5039,0.1790,0.560
0.146000,0.1639,-0.2142,0.5342,0.598
0.150000,0.0746,-0.4073,0.1038,0.427
0.155000,-0.0683,-0.5912,-0.2186,0.634
0.161000,-0.1439,-0.7053,-0.4845,0.868
0.167000,-0.2220,-0.7704,-0.6264,1.017
0.171000,-0.2149,-0.9429,-0.7502,1.224
0.174000,-0.0468,-1.1643,-0.9279,1.490
0.178000,-0.0367,-1.0418,-1.1048,1.519
0.186000,-0.1078,-0.8843,-1.2789,1.559
0.189000,0.0127,-0.4997,-1.5903,1.667
0.194000,0.1978,0.1466,-1.7031,1.721
0.198000,0.1820,0.3618,-1.4987,1.552
0.203000,0.1315,0.3112,-1.3718,1.413
0.211000,0.0232,0.1545,-1.2262,1.236
0.213000,0.1605,0.1597,-1.2603,1.280
0.218000,0.3129,0.1607,-1.1841,1.235
0.224000,0.4536,0.1955,-1.0834,1.191
0.228000,0.5701,0.2419,-0.9770,1.157
0.233000,0.7818,0.2396,-0.9770,1.274
0.237000,0.9618,0.2957,-0.9442,1.380
0.252000,0.8375,0.2925,-0.8088,1.200
0.253000,0.6984,0.2723,-0.7236,1.042
0.253000,0.6015,0.2611,-0.6548,0.927
