time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.4293,-0.3316,0.0566,0.545
0.003000,-0.2885,-0.2340,0.1865,0.416
0.007000,-0.1136,-0.0502,0.3390,0.361
0.017000,0.0526,0.1261,0.5004,0.519
0.017000,0.1627,0.3131,0.6237,0.717
0.020000,0.2480,0.4458,0.7100,0.874
0.026000,0.2841,0.5762,0.7169,0.963
0.030000,0.3259,0.6105,0.7265,1.003
0.034000,0.3135,0.5653,0.7654,1.002
0.041000,0.2825,0.4740,0.8532,1.016
0.046000,0.2301,0.3721,0.9399,1.037
0.050000,0.2088,0.2881,1.0354,1.095
0.054000,0.1634,0.2601,1.1422,1.183
0.058000,0.1538,0.2520,1.2319,1.267
0.065000,0.1510,0.2899,1.2639,1.305
0.070000,0.1479,0.3210,1.2145,1.265
0.074000,0.0893,0.2953,1.0551,1.099
0.086000,0.0947,0.3468,0.9769,1.041
0.086000,0.1428,0.3608,0.9198,0.998
0.088000,0.0711,0.3232,0.7281,0.800
0.097000,-0.0461,0.2512,0.5571,0.613
0.098000,-0.1566,0.1497,0.3873,0.444
0.103000,-0.2198,0.0312,0.2063,0.303
0.108000,-0.2645,-0.0681,0.0760,0.283
0.113000,-0.2524,-0.1360,-0.0280,0.288
0.118000,-0.1856,-0.1605,-0.0583,0.252
0.123000,-0.0901,-0.1771,-0.0748,0.212
0.126000,-0.0447,-0.1619,-0.0467,0.174
0.131000,-0.0205,-0.1389,-0.0529,0.150
0.137000,-0.0125,-0.1128,-0.0984,0.150
0.142000,-0.0109,-0.1029,-0.1421,0.176
0.147000,-0.0400,-0.1163,-0.1961,0.231
0.150000,-0.0854,-0.1482,-0.2173,0.277
0.155000,-0.0843,-0.1427,-0.1496,0.223
0.162000,-0.0731,-0.1371,-0.0069,0.155
0.166000,-0.0802,-0.1411,0.0613,0.173
0.171000,-0.1532,-0.1693,0.0201,0.229
0.175000,-0.2087,-0.1858,-0.0344,0.282
0.181000,-0.2116,-0.1671,-0.0808,0.281
0.185000,-0.1814,-0.1513,-0.0882,0.252
0.190000,-0.1324,-0.1289,-0.0619,0.195
0.196000,-0.0932,-0.0881,-0.0258,0.131
0.199000,-0.0830,-0.0433,-0.0038,0.094
0.203000,-0.0734,-0.0254,-0.0146,0.079
0.209000,-0.0977,-0.0293,-0.0107,0.103
0.217000,-0.1278,-0.0856,-0.0208,0.155
0.219000,-0.1493,-0.1463,-0.0139,0.210
0.222000,-0.1841,-0.2160,0.0097,0.284
0.230000,-0.2130,-0.2897,0.0306,0.361
0.233000,-0.2762,-0.3458,0.0699,0.448
0.239000,-0.3355,-0.4056,0.1273,0.542
0.243000,-0.4193,-0.4358,0.1978,0.636
0.247000,-0.4821,-0.4484,0.2527,0.705
0.252000,-0.5430,-0.4339,0.3133,0.762
0.258000,-0.5946,-0.4281,0.4410,0.855
0.263000,-0.6204,-0.3951,0.4313,0.853
0.267000,-0.6585,-0.3971,0.5179,0.927
0.271000,-0.6562,-0.3983,0.6029,0.976
0.278000,-0.6326,-0.4109,0.6701,1.009
0.282000,-0.5901,-0.4090,0.6818,0.990
0.286000,-0.5433,-0.4023,0.6579,0.943
0.291000,-0.4875,-0.3792,0.6890,0.925
0.297000,-0.4416,-0.3687,0.6658,0.880
0.301000,-0.3342,-0.3281,0.6863,0.831
0.305000,-0.1753,-0.2294,0.6626,0.723
0.313000,-0.0555,-0.1492,0.5645,0.586
0.315000,0.0162,-0.0613,0.4113,0.416
0.319000,0.0542,0.0296,0.2678,0.275
0.325000,0.0872,0.0904,0.0885,0.154
0.330000,0.1294,0.0976,-0.0361,0.166
0.335000,0.1381,0.0876,-0.1093,0.197
0.339000,0.1493,0.0702,-0.1767,0.242
0.343000,0.1464,0.0265,-0.2074,0.255
0.354000,0.0914,-0.0004,-0.2592,0.275
0.355000,0.0678,-0.0461,-0.2796,0.291
0.358000,0.0090,-0.0984,-0.2976,0.314
0.363000,0.0244,-0.1383,-0.3203,0.350
0.367000,0.0136,-0.1849,-0.3217,0.371
0.374000,0.0315,-0.1667,-0.3398,0.380
0.378000,0.0566,-0.1319,-0.3368,0.366
0.383000,0.0959,-0.0757,-0.3198,0.342
0.388000,0.1376,-0.0389,-0.2889,0.322
0.392000,0.1675,0.0050,-0.2562,0.306
0.397000,0.1831,0.0582,-0.2310,0.300
0.402000,0.2132,0.0802,-0.1991,0.302
0.407000,0.2457,0.1067,-0.1912,0.329
0.412000,0.2808,0.1592,-0.2024,0.381
0.415000,0.2805,0.1970,-0.2136,0.404
0.422000,0.2877,0.2179,-0.2059,0.415
0.426000,0.2811,0.2268,-0.2054,0.415
0.432000,0.2512,0.2072,-0.2002,0.382
0.437000,0.2170,0.1571,-0.1834,0.325
0.440000,0.1737,0.1265,-0.1646,0.271
0.459000,0.1379,0.0680,-0.1082,0.188
0.460000,0.1165,0.0387,-0.0361,0.128
0.461000,0.1047,-0.0018,0.0232,0.107
0.462000,0.1001,-0.0062,0.0557,0.115
0.465000,0.0884,-0.0031,0.1136,0.144
0.472000,0.0958,0.0358,0.1327,0.168
0.475000,0.1055,0.0603,0.1515,0.194
0.480000,0.1079,0.0968,0.1390,0.201
0.485000,0.1269,0.1068,0.1693,0.237
0.489000,0.1029,0.1382,0.2040,0.267
0.496000,0.1314,0.1240,0.2268,0.290
0.500000,0.1335,0.1288,0.2164,0.285
0.504000,0.1475,0.1215,0.1872,0.268
0.509000,0.1473,0.1377,0.1539,0.254
0.513000,0.1494,0.1156,0.1733,0.256
0.518000,0.1520,0.1101,0.1571,0.245
0.522000,0.1456,0.0832,0.1530,0.227
0.528000,0.1563,0.0657,0.1659,0.237
0.532000,0.1389,0.0434,0.1480,0.208
0.535000,0.1365,0.0234,0.1376,0.195
0.542000,0.1203,-0.0084,0.0871,0.149
0.547000,0.1072,-0.0259,0.0823,0.138
0.552000,0.1137,-0.0363,0.1061,0.160
0.556000,0.1113,0.0032,0.1251,0.167
0.575000,0.1048,0.0754,0.1488,0.197
0.576000,0.0823,0.1067,0.1865,0.230
0.577000,0.0558,0.1327,0.2146,0.258
0.577000,0.0418,0.1110,0.2568,0.283
0.596000,0.0211,0.0678,0.2776,0.287
0.597000,-0.0277,-0.0036,0.2769,0.278
0.597000,-0.0522,-0.0437,0.2480,0.257
0.597000,-0.0764,-0.0860,0.2194,0.248
0.600000,-0.0910,-0.1279,0.1578,0.223
0.605000,-0.1222,-0.1457,0.0897,0.210
0.608000,-0.1158,-0.1633,0.0268,0.202
0.616000,-0.0886,-0.1688,0.0001,0.191
0.619000,-0.0387,-0.1575,-0.0266,0.164
0.624000,-0.0064,-0.1508,-0.0248,0.153
0.629000,0.0774,-0.1109,-0.0397,0.141
0.633000,0.1245,-0.0639,-0.0381,0.145
0.638000,0.2019,-0.0005,-0.0248,0.203
0.645000,0.2619,0.0696,-0.0189,0.272
0.648000,0.2740,0.1298,-0.0086,0.303
0.654000,0.3172,0.1542,0.0394,0.355
0.656000,0.3414,0.1666,0.1058,0.394
0.664000,0.3492,0.1671,0.1454,0.414
0.668000,0.3575,0.1533,0.1871,0.432
0.672000,0.3426,0.1111,0.1834,0.404
0.691000,0.2952,0.0880,0.1894,0.362
0.691000,0.2726,0.0388,0.2075,0.345
0.692000,0.2292,-0.0174,0.1805,0.292
0.692000,0.1482,-0.0686,0.1257,0.206
0.711000,0.0988,-0.1196,0.1214,0.197
0.712000,0.0567,-0.1253,0.0794,0.159
0.712000,0.0195,-0.1285,0.0828,0.154
0.713000,0.0131,-0.1270,0.1172,0.173
0.716000,0.0136,-0.1327,0.1633,0.211
0.721000,0.0113,-0.1195,0.1569,0.198
0.725000,0.0015,-0.1135,0.1411,0.181
0.729000,0.0009,-0.0912,0.1233,0.153
0.735000,-0.0194,-0.0880,0.0582,0.107
0.740000,-0.0234,-0.0800,0.0102,0.084
0.745000,-0.0162,-0.0863,-0.0421,0.097
0.749000,-0.0026,-0.0996,-0.0871,0.132
0.752000,0.0102,-0.1196,-0.1247,0.173
0.760000,0.0175,-0.1010,-0.1697,0.198
0.764000,0.0217,-0.0893,-0.1816,0.203
0.769000,0.0704,-0.0890,-0.2105,0.239
0.774000,0.0851,-0.0194,-0.1757,0.196
0.780000,0.1115,0.0239,-0.1274,0.171
0.784000,0.1282,0.0481,-0.0347,0.141
0.788000,0.1332,0.0439,0.0190,0.141
0.793000,0.1122,0.0587,0.0769,0.148
0.799000,0.1106,0.0282,0.1273,0.171
0.801000,0.0713,0.0168,0.1466,0.164
0.808000,0.0563,-0.0114,0.1493,0.160
0.825000,0.0320,-0.0158,0.1334,0.138
0.827000,0.0103,-0.0133,0.1226,0.124
0.827000,0.0029,-0.0206,0.0884,0.091
0.827000,0.0192,-0.0256,0.0406,0.052
0.832000,0.0162,-0.0498,-0.0066,0.053
0.837000,-0.0177,-0.0739,-0.0343,0.083
0.841000,-0.0564,-0.0788,-0.0690,0.119
0.846000,-0.1020,-0.1120,-0.0844,0.173
0.850000,-0.1286,-0.1234,-0.0785,0.195
0.855000,-0.1483,-0.1440,-0.0516,0.213
0.861000,-0.1300,-0.1382,-0.0536,0.197
