time,ax,ay,az
2019-11-14 20:10:16.1530,0.0,-0.02,-0.04
2019-11-14 20:10:16.1980,0.01,-0.02,-0.01
2019-11-14 20:10:16.2880,0.01,-0.0,-0.03
2019-11-14 20:10:16.3790,0.0,-0.0,0.07
2019-11-14 20:10:16.4760,-0.01,-0.0,-0.0
2019-11-14 20:10:16.5700,-0.01,-0.01,0.0
2019-11-14 20:10:16.6700,0.01,-0.01,0.01
2019-11-14 20:10:16.7410,0.01,-0.0,-0.01
2019-11-14 20:10:16.8370,0.0,-0.0,0.0
2019-11-14 20:10:16.9210,0.01,-0.01,-0.01
2019-11-14 20:10:17.0110,0.0,-0.0,0.04
2019-11-14 20:10:17.1010,-0.0,-0.01,0.0
2019-11-14 20:10:17.1930,0.01,-0.02,0.01
2019-11-14 20:10:17.2810,0.01,-0.01,0.03
2019-11-14 20:10:17.3720,-0.01,0.0,0.02
2019-11-14 20:10:17.4710,0.0,-0.01,0.01
2019-11-14 20:10:17.5730,-0.0,0.0,0.01
2019-11-14 20:10:17.6430,-0.0,0.0,-0.0
2019-11-14 20:10:17.7410,-0.01,-0.0,-0.01
2019-11-14 20:10:17.8230,0.0,-0.02,-0.02
2019-11-14 20:10:17.9130,0.0,-0.01,0.03
2019-11-14 20:10:18.0040,-0.01,0.01,0.05
2019-11-14 20:10:18.0960,-0.27,0.19,0.66
2019-11-14 20:10:18.1840,0.15,0.06,-0.35
2019-11-14 20:10:18.2770,0.76,0.88,0.34
2019-11-14 20:10:18.3740,0.69,0.9,-0.28
2019-11-14 20:10:18.4730,0.12,0.88,-0.41
2019-11-14 20:10:18.5450,-0.24,0.83,0.05
2019-11-14 20:10:18.6410,0.11,0.72,0.49
2019-11-14 20:10:18.7260,0.07,0.74,0.93
2019-11-14 20:10:18.8160,0.03,0.79,0.54
2019-11-14 20:10:18.9060,-0.0,-0.1,0.43
2019-11-14 20:10:18.9990,0.03,0.6,0.83
2019-11-14 20:10:19.0870,0.14,0.15,0.34
2019-11-14 20:10:19.1800,-0.02,0.05,0.13
2019-11-14 20:10:19.2780,-0.03,0.16,0.43
2019-11-14 20:10:19.3780,0.01,0.14,0.09
2019-11-14 20:10:19.4490,0.05,0.16,-0.03
2019-11-14 20:10:19.5450,-0.03,0.13,-0.06
2019-11-14 20:10:19.6290,-0.02,0.1,-0.01
2019-11-14 20:10:19.7190,0.03,0.13,-0.03
2019-11-14 20:10:19.8090,0.0,0.13,-0.03
2019-11-14 20:10:19.9010,-0.06,0.09,0.02
2019-11-14 20:10:19.9900,-0.01,0.12,0.01
2019-11-14 20:10:20.0820,0.01,0.12,-0.02
2019-11-14 20:10:20.1820,-0.0,0.12,-0.02
2019-11-14 20:10:20.2830,-0.01,0.12,-0.02
2019-11-14 20:10:20.3520,0.0,0.11,-0.02
2019-11-14 20:10:20.4490,0.0,0.11,-0.01
2019-11-14 20:10:20.5310,0.0,0.1,-0.01
2019-11-14 20:10:20.6210,-0.0,0.11,-0.01
2019-11-14 20:10:20.7120,0.0,0.1,-0.01
2019-11-14 20:10:20.8040,0.0,0.1,-0.01
2019-11-14 20:10:20.8920,0.0,0.1,-0.01
2019-11-14 20:10:20.9850,0.0,0.09,-0.01
2019-11-14 20:10:21.0820,-0.0,0.09,-0.01
2019-11-14 20:10:21.1830,0.0,0.09,-0.01
2019-11-14 20:10:21.2540,0.0,0.09,-0.01
2019-11-14 20:10:21.3500,0.0,0.08,-0.01
2019-11-14 20:10:21.4340,0.01,0.09,-0.01
2019-11-14 20:10:21.5240,0.0,0.08,-0.01
2019-11-14 20:10:21.6140,0.0,0.08,-0.01
2019-11-14 20:10:21.7070,-0.0,0.08,-0.01
2019-11-14 20:10:21.7950,-0.0,0.08,-0.01
2019-11-14 20:10:21.8870,-0.0,0.08,-0.01
2019-11-14 20:10:21.9880,0.01,0.07,-0.02
