time,ax,ay,az
2019-11-14 20:12:27.2170,0.0,-0.07,0.01
2019-11-14 20:12:27.2840,-0.02,-0.03,0.03
2019-11-14 20:12:27.3740,-0.0,0.07,0.09
2019-11-14 20:12:27.4730,-0.04,0.02,0.05
2019-11-14 20:12:27.5740,-0.01,-0.01,0.0
2019-11-14 20:12:27.6470,-0.01,-0.02,-0.03
2019-11-14 20:12:27.7440,-0.04,0.02,0.03
2019-11-14 20:12:27.8260,-0.03,0.01,0.04
2019-11-14 20:12:27.9170,-0.03,-0.0,0.02
2019-11-14 20:12:28.0060,-0.02,-0.01,0.01
2019-11-14 20:12:28.0980,-0.02,-0.01,0.02
2019-11-14 20:12:28.1870,-0.02,-0.0,-0.0
2019-11-14 20:12:28.2810,-0.02,-0.0,0.05
2019-11-14 20:12:28.3770,-0.0,-0.01,0.03
2019-11-14 20:12:28.4770,-0.02,-0.01,-0.02
2019-11-14 20:12:28.5490,-0.04,-0.01,0.02
2019-11-14 20:12:28.6450,-0.0,-0.02,0.03
2019-11-14 20:12:28.7290,-0.01,-0.01,0.02
2019-11-14 20:12:28.8190,-0.01,0.01,-0.01
2019-11-14 20:12:28.9090,-0.0,-0.0,0.04
2019-11-14 20:12:29.0010,-0.01,-0.02,0.03
2019-11-14 20:12:29.0900,-0.01,-0.01,-0.0
2019-11-14 20:12:29.1890,-0.02,-0.0,-0.0
2019-11-14 20:12:29.2790,-0.01,-0.02,0.05
2019-11-14 20:12:29.3800,-0.03,-0.01,0.02
2019-11-14 20:12:29.4510,-0.02,0.0,0.06
2019-11-14 20:12:29.5460,-0.02,-0.01,0.02
2019-11-14 20:12:29.6310,0.02,-0.01,0.03
2019-11-14 20:12:29.7220,-0.18,0.17,0.84
2019-11-14 20:12:29.8120,-0.32,0.57,0.73
2019-11-14 20:12:29.9040,-0.56,-0.36,0.0
2019-11-14 20:12:29.9920,-0.15,-0.9,-0.13
2019-11-14 20:12:30.0850,0.06,-0.66,0.5
2019-11-14 20:12:30.1840,-0.01,0.22,0.85
2019-11-14 20:12:30.2830,0.01,2.32,-5.44
2019-11-14 20:12:30.3540,0.05,0.87,0.73
2019-11-14 20:12:30.4510,0.08,1.18,0.1
2019-11-14 20:12:30.5350,-0.15,-1.57,-0.18
2019-11-14 20:12:30.6250,-0.02,0.72,-0.62
2019-11-14 20:12:30.7150,-0.01,0.48,-0.5
2019-11-14 20:12:30.8070,0.03,0.02,-0.99
2019-11-14 20:12:30.8950,0.03,0.15,0.5
2019-11-14 20:12:30.9880,0.01,0.01,0.18
2019-11-14 20:12:31.0850,0.03,-0.02,-0.0
2019-11-14 20:12:31.1850,0.05,-0.0,0.01
2019-11-14 20:12:31.2570,0.0,0.01,0.02
2019-11-14 20:12:31.3530,-0.0,-0.03,0.04
2019-11-14 20:12:31.4370,0.03,-0.03,0.06
2019-11-14 20:12:31.5270,0.01,-0.05,0.03
2019-11-14 20:12:31.6170,0.0,-0.04,0.02
2019-11-14 20:12:31.7090,0.02,-0.01,0.03
2019-11-14 20:12:31.7980,0.02,-0.01,0.01
2019-11-14 20:12:31.8890,0.03,0.02,0.04
2019-11-14 20:12:31.9890,0.02,-0.01,0.01
2019-11-14 20:12:32.0890,-0.04,0.01,-0.15
2019-11-14 20:12:32.1590,-0.01,0.01,-0.15
2019-11-14 20:12:32.2540,0.02,-0.01,-0.02
2019-11-14 20:12:32.3400,0.03,0.0,0.13
2019-11-14 20:12:32.4300,0.03,0.04,0.05
2019-11-14 20:12:32.5200,0.02,-0.21,0.02
2019-11-14 20:12:32.6120,0.09,-0.05,0.18
2019-11-14 20:12:32.7010,0.11,-0.03,0.15
2019-11-14 20:12:32.7930,-0.24,0.0,0.04
2019-11-14 20:12:32.8910,-0.18,0.07,-0.15
2019-11-14 20:12:32.9930,-0.08,0.03,0.25
2019-11-14 20:12:33.0640,0.05,-0.04,0.17
2019-11-14 20:12:33.1600,-0.05,0.01,0.18
2019-11-14 20:12:33.2430,-0.03,0.01,0.05
