time,ax,ay,az
2019-11-14 19:22:53.7540,0.01,-0.0,-0.01
2019-11-14 19:22:53.7900,0.01,-0.01,0.0
2019-11-14 19:22:53.8810,-0.01,-0.0,0.0
2019-11-14 19:22:53.9850,0.0,0.0,-0.01
2019-11-14 19:22:54.0620,0.0,0.01,-0.0
2019-11-14 19:22:54.1520,0.0,0.0,0.02
2019-11-14 19:22:54.2420,-0.0,0.01,0.01
2019-11-14 19:22:54.3320,-0.0,-0.01,0.01
2019-11-14 19:22:54.4230,-0.02,-0.0,-0.02
2019-11-14 19:22:54.5130,-0.01,0.0,0.01
2019-11-14 19:22:54.6030,-0.01,0.01,0.01
2019-11-14 19:22:54.6990,-0.01,-0.0,-0.01
2019-11-14 19:22:54.7970,0.02,-0.01,0.0
2019-11-14 19:22:54.8970,0.0,0.01,-0.01
2019-11-14 19:22:54.9650,0.01,0.01,0.0
2019-11-14 19:22:55.0550,0.01,0.0,0.0
2019-11-14 19:22:55.1450,-0.0,-0.0,0.0
2019-11-14 19:22:55.2350,0.0,-0.01,0.01
2019-11-14 19:22:55.3250,0.01,0.0,0.01
2019-11-14 19:22:55.4150,0.01,-0.0,0.01
2019-11-14 19:22:55.5060,0.01,0.0,0.0
2019-11-14 19:22:55.6030,0.01,-0.01,-0.01
2019-11-14 19:22:55.6970,0.0,-0.01,0.0
2019-11-14 19:22:55.7970,0.01,0.0,-0.01
2019-11-14 19:22:55.8670,-0.0,-0.01,-0.0
2019-11-14 19:22:55.9570,0.01,-0.01,0.02
2019-11-14 19:22:56.0470,0.0,-0.0,-0.01
2019-11-14 19:22:56.1380,0.0,0.02,-0.01
2019-11-14 19:22:56.2280,0.01,0.0,0.01
2019-11-14 19:22:56.3190,0.01,-0.01,0.01
2019-11-14 19:22:56.4080,-0.01,-0.01,0.03
2019-11-14 19:22:56.5040,-0.03,-0.01,0.05
2019-11-14 19:22:56.6000,-0.02,0.02,0.06
2019-11-14 19:22:56.7010,0.01,0.0,0.09
2019-11-14 19:22:56.7700,-0.07,-0.06,0.05
2019-11-14 19:22:56.8600,-0.08,-0.08,0.07
2019-11-14 19:22:56.9500,-0.03,-0.05,0.12
2019-11-14 19:22:57.0400,-0.08,-0.04,0.12
2019-11-14 19:22:57.1310,-0.09,-0.01,0.24
2019-11-14 19:22:57.2210,-0.33,0.01,0.11
2019-11-14 19:22:57.3100,-0.2,0.08,0.25
2019-11-14 19:22:57.4040,-0.2,0.06,0.29
2019-11-14 19:22:57.5040,-0.04,0.09,0.39
2019-11-14 19:22:57.6060,-0.12,0.17,0.66
2019-11-14 19:22:57.6720,-0.35,0.22,0.96
2019-11-14 19:22:57.7620,-0.48,0.71,0.25
2019-11-14 19:22:57.8530,0.04,3.53,-3.59
2019-11-14 19:22:57.9430,-0.83,0.29,0.03
2019-11-14 19:22:58.0330,0.83,0.29,0.03
2019-11-14 19:22:58.1230,-0.2,0.05,0.22
2019-11-14 19:22:58.2130,-0.5,-0.13,0.09
2019-11-14 19:22:58.3090,0.02,0.03,-0.04
2019-11-14 19:22:58.4090,0.16,0.15,-0.12
2019-11-14 19:22:58.5030,0.21,0.03,0.05
2019-11-14 19:22:58.5750,0.06,0.18,-0.15
2019-11-14 19:22:58.6650,0.15,0.29,-0.13
2019-11-14 19:22:58.7550,0.3,0.45,-0.3
2019-11-14 19:22:58.8450,0.18,0.3,-0.06
2019-11-14 19:22:58.9350,0.02,0.52,-0.11
2019-11-14 19:22:59.0250,-0.42,0.4,-0.03
2019-11-14 19:22:59.1160,-0.35,0.11,-0.19
2019-11-14 19:22:59.2110,-0.26,0.09,-0.0
2019-11-14 19:22:59.3110,-0.27,-0.06,0.06
2019-11-14 19:22:59.4070,-0.3,-0.08,0.0
2019-11-14 19:22:59.4770,-0.34,0.11,0.0
2019-11-14 19:22:59.5680,-0.26,-0.01,0.23
2019-11-14 19:22:59.6580,-0.21,0.05,0.11
2019-11-14 19:22:59.7480,-0.11,0.08,0.17
2019-11-14 19:22:59.8380,-0.16,0.24,0.21
2019-11-14 19:22:59.9280,-0.14,0.23,-0.01
2019-11-14 19:23:00.0190,0.12,-0.17,-0.16
2019-11-14 19:23:00.1130,0.06,0.01,-0.1
2019-11-14 19:23:00.2100,-0.06,-0.0,-0.09
2019-11-14 19:23:00.3150,0.13,0.11,-0.06
2019-11-14 19:23:00.3800,0.11,0.08,-0.04
2019-11-14 19:23:00.4700,-0.04,0.01,-0.27
2019-11-14 19:23:00.5600,-0.16,0.03,-0.23
2019-11-14 19:23:00.6510,-0.02,-0.02,0.21
2019-11-14 19:23:00.7410,0.1,0.07,0.0
2019-11-14 19:23:00.8310,0.23,0.13,-0.12
2019-11-14 19:23:00.9210,0.21,-0.01,0.04
2019-11-14 19:23:01.0210,-0.04,0.04,-0.36
2019-11-14 19:23:01.1130,0.06,0.03,0.03
2019-11-14 19:23:01.2150,0.05,0.03,-0.04
2019-11-14 19:23:01.2830,-0.09,-0.01,-0.27
2019-11-14 19:23:01.3730,0.2,0.08,-0.48
2019-11-14 19:23:01.4630,0.14,0.2,-0.48
