time,ax,ay,az
2019-11-14 19:31:32.3200,0.01,0.03,-0.05
2019-11-14 19:31:32.3770,0.02,-0.01,-0.02
2019-11-14 19:31:32.4670,0.01,-0.0,-0.0
2019-11-14 19:31:32.5580,0.01,0.01,0.01
2019-11-14 19:31:32.6480,0.02,-0.02,0.0
2019-11-14 19:31:32.7380,0.0,-0.01,-0.02
2019-11-14 19:31:32.8290,-0.01,0.02,-0.04
2019-11-14 19:31:32.9190,-0.01,0.02,0.12
2019-11-14 19:31:33.0180,0.03,-0.0,0.22
2019-11-14 19:31:33.1130,-0.0,-0.01,-0.01
2019-11-14 19:31:33.2160,-0.0,0.02,-0.02
2019-11-14 19:31:33.2800,0.01,0.02,0.04
2019-11-14 19:31:33.3700,0.01,0.01,0.03
2019-11-14 19:31:33.4600,-0.01,-0.0,0.0
2019-11-14 19:31:33.5510,-0.0,-0.01,0.01
2019-11-14 19:31:33.6410,-0.02,0.01,0.04
2019-11-14 19:31:33.7310,-0.05,-0.05,0.1
2019-11-14 19:31:33.8210,-0.11,-0.1,0.05
2019-11-14 19:31:33.9200,-0.08,-0.09,0.07
2019-11-14 19:31:34.0150,-0.15,0.02,0.06
2019-11-14 19:31:34.1190,-0.21,0.01,0.12
2019-11-14 19:31:34.1830,-0.3,0.02,0.06
2019-11-14 19:31:34.2730,-0.31,0.04,0.11
2019-11-14 19:31:34.3630,-0.46,0.02,0.12
2019-11-14 19:31:34.4530,-0.52,0.09,0.2
2019-11-14 19:31:34.5440,-0.69,0.21,0.29
2019-11-14 19:31:34.6340,-0.88,0.36,0.44
2019-11-14 19:31:34.7240,-1.53,0.35,0.41
2019-11-14 19:31:34.8230,-1.23,1.07,0.53
2019-11-14 19:31:34.9200,0.0,-1.09,-0.06
2019-11-14 19:31:35.0230,-0.11,0.09,-0.09
2019-11-14 19:31:35.0850,0.06,-0.13,-0.15
2019-11-14 19:31:35.1760,-0.24,-0.0,0.2
2019-11-14 19:31:35.2660,0.35,0.07,0.34
2019-11-14 19:31:35.3560,0.39,0.16,-0.04
2019-11-14 19:31:35.4460,0.08,0.12,-0.02
2019-11-14 19:31:35.5370,-0.03,0.08,-0.08
2019-11-14 19:31:35.6270,0.08,0.05,-0.14
2019-11-14 19:31:35.7270,-0.04,0.03,-0.11
2019-11-14 19:31:35.8210,-0.11,-0.04,0.11
2019-11-14 19:31:35.9260,0.1,0.02,-0.06
2019-11-14 19:31:35.9880,-0.04,-0.03,0.07
2019-11-14 19:31:36.0780,0.03,0.08,0.05
2019-11-14 19:31:36.1690,-0.25,-0.12,0.13
2019-11-14 19:31:36.2590,0.01,-0.06,0.03
2019-11-14 19:31:36.3490,0.21,0.05,-0.14
2019-11-14 19:31:36.4390,0.27,0.07,-0.26
2019-11-14 19:31:36.5290,0.31,0.23,-0.27
2019-11-14 19:31:36.6250,0.22,0.31,-0.09
2019-11-14 19:31:36.7280,0.04,0.44,-0.27
2019-11-14 19:31:36.8240,-0.32,0.19,-0.3
2019-11-14 19:31:36.8910,-0.23,0.19,-0.22
2019-11-14 19:31:36.9810,-0.15,0.08,-0.05
2019-11-14 19:31:37.0710,-0.17,0.03,0.01
2019-11-14 19:31:37.1610,-0.08,-0.0,0.02
2019-11-14 19:31:37.2520,-0.07,-0.0,-0.04
2019-11-14 19:31:37.3420,-0.0,0.01,0.06
2019-11-14 19:31:37.4320,-0.04,-0.04,-0.02
