time,ax,ay,az
2019-11-14 20:35:27.2640,-0.04,-0.11,0.05
2019-11-14 20:35:27.3370,-0.01,-0.05,0.09
2019-11-14 20:35:27.4280,0.01,0.02,0.0
2019-11-14 20:35:27.5310,0.02,-0.01,0.12
2019-11-14 20:35:27.6280,0.03,0.02,0.11
2019-11-14 20:35:27.7010,-0.0,-0.05,0.01
2019-11-14 20:35:27.7900,-0.0,-0.05,-0.06
2019-11-14 20:35:27.8840,-0.01,-0.02,0.01
2019-11-14 20:35:27.9710,0.02,0.0,0.05
2019-11-14 20:35:28.0620,0.0,0.01,0.03
2019-11-14 20:35:28.1500,-0.03,0.01,-0.01
2019-11-14 20:35:28.2400,-0.02,-0.01,-0.0
2019-11-14 20:35:28.3350,-0.01,-0.02,-0.0
2019-11-14 20:35:28.4300,-0.01,-0.02,-0.02
2019-11-14 20:35:28.5270,-0.03,-0.02,0.01
2019-11-14 20:35:28.6030,-0.01,-0.01,-0.01
2019-11-14 20:35:28.6920,-0.02,0.01,0.0
2019-11-14 20:35:28.7860,-0.0,0.03,0.05
2019-11-14 20:35:28.8740,-0.02,-0.02,-0.01
2019-11-14 20:35:28.9650,-0.0,-0.03,-0.04
2019-11-14 20:35:29.0530,-0.01,0.02,0.02
2019-11-14 20:35:29.1430,0.01,0.03,0.09
2019-11-14 20:35:29.2340,-0.01,0.01,0.05
2019-11-14 20:35:29.3330,-0.05,0.04,0.03
2019-11-14 20:35:29.4300,-0.07,0.04,0.02
2019-11-14 20:35:29.5050,-0.09,0.06,0.14
2019-11-14 20:35:29.5950,-0.1,0.06,0.13
2019-11-14 20:35:29.6890,-0.02,0.05,0.17
2019-11-14 20:35:29.7760,0.09,0.01,0.08
2019-11-14 20:35:29.8670,0.15,-0.03,0.02
2019-11-14 20:35:29.9560,0.12,-0.07,-0.03
2019-11-14 20:35:30.0460,-0.0,-0.05,-0.02
2019-11-14 20:35:30.1360,-0.02,-0.09,0.13
2019-11-14 20:35:30.2370,0.06,-0.16,0.12
2019-11-14 20:35:30.3340,0.04,-0.16,-0.06
2019-11-14 20:35:30.4080,0.04,-0.16,-0.39
2019-11-14 20:35:30.4990,0.02,-0.09,-0.12
2019-11-14 20:35:30.5920,-0.03,0.13,0.09
2019-11-14 20:35:30.6780,-0.01,0.12,0.18
2019-11-14 20:35:30.7710,-0.03,0.12,0.23
2019-11-14 20:35:30.8580,-0.0,0.12,-0.1
2019-11-14 20:35:30.9490,0.0,0.05,-0.11
2019-11-14 20:35:31.0440,-0.02,0.0,-0.12
2019-11-14 20:35:31.1400,-0.03,-0.05,0.0
2019-11-14 20:35:31.2390,0.04,0.01,0.07
2019-11-14 20:35:31.3120,-0.01,0.04,0.16
2019-11-14 20:35:31.4010,0.03,0.06,0.02
2019-11-14 20:35:31.4950,0.12,0.15,0.13
2019-11-14 20:35:31.5810,0.03,0.14,0.16
2019-11-14 20:35:31.6730,-0.01,0.13,-0.01
2019-11-14 20:35:31.7610,0.0,0.08,-0.09
2019-11-14 20:35:31.8510,0.05,0.03,-0.1
2019-11-14 20:35:31.9420,-0.01,0.07,0.1
2019-11-14 20:35:32.0420,-0.0,0.07,-0.14
2019-11-14 20:35:32.1370,0.11,0.02,-0.23
2019-11-14 20:35:32.2150,-0.01,0.02,0.08
2019-11-14 20:35:32.3030,-0.01,0.0,-0.28
2019-11-14 20:35:32.3980,0.01,0.07,0.25
2019-11-14 20:35:32.4850,0.03,-0.02,0.03
2019-11-14 20:35:32.5750,0.21,-0.01,0.02
2019-11-14 20:35:32.6640,0.05,0.08,-0.06
2019-11-14 20:35:32.7540,-0.07,-0.01,0.18
2019-11-14 20:35:32.8460,-0.02,-0.01,0.01
2019-11-14 20:35:32.9500,-0.0,0.02,-0.02
2019-11-14 20:35:33.0400,-0.01,-0.0,0.01
2019-11-14 20:35:33.1170,0.01,0.02,0.01
2019-11-14 20:35:33.2060,0.0,0.01,-0.01
2019-11-14 20:35:33.3000,0.01,0.01,-0.0
2019-11-14 20:35:33.3860,0.02,0.02,0.01
2019-11-14 20:35:33.4810,0.01,0.01,0.0
2019-11-14 20:35:33.5660,0.01,0.01,0.0
2019-11-14 20:35:33.6570,0.01,0.01,0.0
2019-11-14 20:35:33.7470,0.01,0.01,0.0
2019-11-14 20:35:33.8460,0.0,0.01,-0.0
2019-11-14 20:35:33.9390,-0.0,0.01,0.0
2019-11-14 20:35:34.0220,0.0,-0.0,-0.0
2019-11-14 20:35:34.1080,0.0,-0.0,0.0
2019-11-14 20:35:34.2030,0.01,0.01,0.0
2019-11-14 20:35:34.2900,0.0,0.0,0.0
2019-11-14 20:35:34.3830,-0.0,0.01,-0.01
2019-11-14 20:35:34.4690,0.01,0.02,0.01
2019-11-14 20:35:34.5590,0.01,0.02,-0.01
