time,ax,ay,az
2019-11-14 20:35:47.7980,0.01,-0.02,-0.0
2019-11-14 20:35:47.8850,-0.0,-0.01,0.01
2019-11-14 20:35:47.9780,0.0,0.0,-0.03
2019-11-14 20:35:48.0790,-0.02,0.0,-0.02
2019-11-14 20:35:48.1560,-0.01,0.01,0.02
2019-11-14 20:35:48.2470,-0.0,0.02,0.02
2019-11-14 20:35:48.3380,0.01,-0.02,0.03
2019-11-14 20:35:48.4270,0.01,-0.02,-0.04
2019-11-14 20:35:48.5190,-0.0,-0.01,-0.02
2019-11-14 20:35:48.6070,-0.01,0.02,-0.0
2019-11-14 20:35:48.6970,-0.01,-0.0,-0.01
2019-11-14 20:35:48.7910,-0.01,-0.0,0.04
2019-11-14 20:35:48.8890,0.05,-0.02,-0.03
2019-11-14 20:35:48.9840,0.01,0.03,-0.03
2019-11-14 20:35:49.0590,-0.01,0.02,-0.01
2019-11-14 20:35:49.1490,-0.0,-0.02,0.07
2019-11-14 20:35:49.2410,0.01,0.01,0.02
2019-11-14 20:35:49.3300,-0.01,0.0,-0.04
2019-11-14 20:35:49.4220,-0.04,-0.02,-0.02
2019-11-14 20:35:49.5100,0.01,-0.03,0.03
2019-11-14 20:35:49.6000,0.02,0.02,-0.02
2019-11-14 20:35:49.6900,0.01,-0.0,-0.0
2019-11-14 20:35:49.7890,0.01,-0.01,0.01
2019-11-14 20:35:49.8840,0.01,0.0,0.01
2019-11-14 20:35:49.9610,0.03,0.01,0.0
2019-11-14 20:35:50.0520,0.05,0.0,-0.0
2019-11-14 20:35:50.1470,-0.0,0.0,0.03
2019-11-14 20:35:50.2320,-0.01,-0.0,0.06
2019-11-14 20:35:50.3240,-0.04,0.07,0.03
2019-11-14 20:35:50.4130,-0.04,0.03,0.16
2019-11-14 20:35:50.5030,-0.09,0.01,0.12
2019-11-14 20:35:50.5940,-0.05,0.06,0.16
2019-11-14 20:35:50.6910,0.04,0.01,0.15
2019-11-14 20:35:50.7890,0.04,-0.03,0.04
2019-11-14 20:35:50.8650,0.04,0.01,-0.03
2019-11-14 20:35:50.9540,-0.05,-0.04,-0.0
2019-11-14 20:35:51.0460,-0.06,-0.01,-0.04
2019-11-14 20:35:51.1350,-0.1,-0.09,0.01
2019-11-14 20:35:51.2280,-0.01,-0.02,-0.01
2019-11-14 20:35:51.3160,0.14,-0.05,0.2
2019-11-14 20:35:51.4060,0.11,-0.13,-0.07
2019-11-14 20:35:51.4960,0.1,-0.22,-0.16
2019-11-14 20:35:51.5980,0.03,-0.08,-0.25
2019-11-14 20:35:51.6940,-0.01,0.11,-0.15
2019-11-14 20:35:51.7670,-0.02,0.08,-0.1
2019-11-14 20:35:51.8580,0.14,0.06,0.24
2019-11-14 20:35:51.9500,0.18,-0.02,0.29
2019-11-14 20:35:52.0380,0.19,-0.15,-0.04
2019-11-14 20:35:52.1300,0.0,-0.09,0.01
2019-11-14 20:35:52.2180,-0.04,-0.1,0.09
2019-11-14 20:35:52.3080,0.02,0.01,0.13
2019-11-14 20:35:52.4000,0.01,0.07,0.1
2019-11-14 20:35:52.5000,-0.05,0.07,0.15
2019-11-14 20:35:52.5960,0.11,0.09,0.02
2019-11-14 20:35:52.6700,0.14,0.07,-0.21
2019-11-14 20:35:52.7600,0.15,0.25,0.22
2019-11-14 20:35:52.8530,0.23,-0.14,-0.16
2019-11-14 20:35:52.9400,0.18,-0.06,-0.35
2019-11-14 20:35:53.0340,-0.06,-0.05,-0.37
2019-11-14 20:35:53.1210,0.17,-0.2,-0.28
2019-11-14 20:35:53.2110,-0.08,-0.1,-0.01
2019-11-14 20:35:53.3040,-0.08,-0.04,0.14
2019-11-14 20:35:53.4040,-0.02,0.16,0.09
2019-11-14 20:35:53.4990,0.15,-0.01,-0.22
2019-11-14 20:35:53.5730,0.03,-0.14,0.01
2019-11-14 20:35:53.6630,0.08,-0.0,0.27
2019-11-14 20:35:53.7560,-0.03,-0.09,-0.28
2019-11-14 20:35:53.8440,0.02,0.08,0.26
2019-11-14 20:35:53.9350,0.04,-0.01,0.12
2019-11-14 20:35:54.0240,-0.02,0.04,0.14
2019-11-14 20:35:54.1140,-0.11,-0.04,-0.08
2019-11-14 20:35:54.2070,-0.09,-0.02,-0.12
2019-11-14 20:35:54.3070,-0.02,-0.0,-0.08
2019-11-14 20:35:54.4020,-0.03,-0.01,-0.03
2019-11-14 20:35:54.4750,0.03,0.01,0.03
2019-11-14 20:35:54.5650,-0.0,0.0,-0.04
2019-11-14 20:35:54.6570,0.02,-0.0,-0.03
2019-11-14 20:35:54.7460,-0.0,0.01,-0.05
2019-11-14 20:35:54.8400,0.04,-0.01,0.04
2019-11-14 20:35:54.9260,0.03,0.01,-0.01
2019-11-14 20:35:55.0160,0.0,-0.01,-0.01
2019-11-14 20:35:55.1080,0.01,0.01,-0.01
