time,ax,ay,az
2019-11-14 19:51:19.5150,0.02,-0.01,0.03
2019-11-14 19:51:19.5750,0.01,-0.01,-0.0
2019-11-14 19:51:19.6660,0.0,-0.0,-0.01
2019-11-14 19:51:19.7560,-0.02,-0.0,-0.03
2019-11-14 19:51:19.8460,-0.01,0.01,-0.02
2019-11-14 19:51:19.9370,-0.0,0.01,0.02
2019-11-14 19:51:20.0340,-0.01,0.0,0.01
2019-11-14 19:51:20.1380,-0.01,-0.0,0.01
2019-11-14 19:51:20.2130,-0.0,-0.0,-0.01
2019-11-14 19:51:20.2990,-0.01,-0.0,0.02
2019-11-14 19:51:20.3890,0.01,-0.0,-0.02
2019-11-14 19:51:20.4790,-0.0,0.01,-0.02
2019-11-14 19:51:20.5690,0.0,0.01,-0.0
2019-11-14 19:51:20.6590,0.0,0.0,-0.0
2019-11-14 19:51:20.7490,-0.01,0.01,-0.02
2019-11-14 19:51:20.8400,0.0,-0.0,-0.01
2019-11-14 19:51:20.9440,0.0,-0.0,0.02
2019-11-14 19:51:21.0360,-0.01,-0.01,0.02
2019-11-14 19:51:21.1150,-0.01,-0.0,-0.01
2019-11-14 19:51:21.2020,-0.02,0.0,-0.02
2019-11-14 19:51:21.2920,0.0,0.01,-0.01
2019-11-14 19:51:21.3810,0.01,0.01,-0.0
2019-11-14 19:51:21.4720,-0.01,0.0,0.01
2019-11-14 19:51:21.5620,-0.01,0.01,-0.03
2019-11-14 19:51:21.6520,-0.01,0.01,0.02
2019-11-14 19:51:21.7450,-0.01,0.01,0.05
2019-11-14 19:51:21.8450,0.01,-0.01,0.0
2019-11-14 19:51:21.9410,0.0,-0.01,0.02
2019-11-14 19:51:22.0160,-0.0,0.02,0.02
2019-11-14 19:51:22.1040,-0.0,0.02,0.01
2019-11-14 19:51:22.1940,0.01,0.04,0.08
2019-11-14 19:51:22.2840,0.01,0.12,0.11
2019-11-14 19:51:22.3750,0.01,0.16,0.19
2019-11-14 19:51:22.4640,0.01,0.18,0.12
2019-11-14 19:51:22.5550,0.0,0.15,0.04
2019-11-14 19:51:22.6480,-0.0,0.07,-0.12
2019-11-14 19:51:22.7470,-0.04,-0.05,-0.11
2019-11-14 19:51:22.8460,-0.1,0.04,-0.34
2019-11-14 19:51:22.9200,0.1,0.04,-0.23
2019-11-14 19:51:23.0070,0.02,-0.22,0.1
2019-11-14 19:51:23.0970,-0.1,-0.31,-0.01
2019-11-14 19:51:23.1870,0.02,-0.15,-0.0
2019-11-14 19:51:23.2770,-0.05,0.01,0.05
2019-11-14 19:51:23.3670,-0.05,0.02,0.2
2019-11-14 19:51:23.4570,0.01,-0.02,0.18
2019-11-14 19:51:23.5510,0.03,-0.01,0.06
2019-11-14 19:51:23.6470,-0.04,-0.01,0.01
2019-11-14 19:51:23.7480,-0.01,-0.03,0.01
2019-11-14 19:51:23.8240,0.01,-0.01,0.01
2019-11-14 19:51:23.9100,0.02,0.01,-0.01
2019-11-14 19:51:24.0000,0.01,0.01,-0.03
2019-11-14 19:51:24.0900,0.02,0.03,-0.0
2019-11-14 19:51:24.1800,0.01,0.02,-0.03
2019-11-14 19:51:24.2700,-0.03,-0.0,-0.07
2019-11-14 19:51:24.3600,-0.02,0.01,-0.03
2019-11-14 19:51:24.4510,-0.01,-0.0,-0.0
2019-11-14 19:51:24.5500,0.01,-0.01,0.02
2019-11-14 19:51:24.6450,0.0,0.01,-0.02
2019-11-14 19:51:24.7260,-0.0,-0.01,0.03
2019-11-14 19:51:24.8130,0.01,0.01,0.01
2019-11-14 19:51:24.9030,-0.0,0.01,0.01
2019-11-14 19:51:24.9930,-0.0,0.0,0.01
2019-11-14 19:51:25.0830,-0.0,0.0,-0.01
