time,ax,ay,az
2019-11-14 19:44:40.2150,-0.0,0.01,0.01
2019-11-14 19:44:40.2470,0.0,-0.01,0.02
2019-11-14 19:44:40.3370,-0.01,0.0,-0.01
2019-11-14 19:44:40.4270,-0.01,0.01,-0.02
2019-11-14 19:44:40.5180,0.0,-0.01,0.0
2019-11-14 19:44:40.6080,0.0,-0.01,0.01
2019-11-14 19:44:40.7070,0.01,-0.0,-0.0
2019-11-14 19:44:40.8070,-0.0,-0.0,0.02
2019-11-14 19:44:40.9040,-0.0,-0.0,-0.0
2019-11-14 19:44:40.9700,0.01,0.0,-0.0
2019-11-14 19:44:41.0600,0.0,0.01,-0.01
2019-11-14 19:44:41.1500,-0.0,0.01,-0.01
2019-11-14 19:44:41.2400,-0.0,0.01,0.05
2019-11-14 19:44:41.3300,-0.01,0.03,0.04
2019-11-14 19:44:41.4200,0.0,0.02,-0.0
2019-11-14 19:44:41.5110,0.01,0.03,-0.0
2019-11-14 19:44:41.6120,0.01,0.03,0.09
2019-11-14 19:44:41.7090,0.03,0.09,0.07
2019-11-14 19:44:41.8060,0.04,0.13,0.1
2019-11-14 19:44:41.8720,0.01,0.12,-0.03
2019-11-14 19:44:41.9620,-0.03,0.09,-0.1
2019-11-14 19:44:42.0530,-0.0,0.14,-0.01
2019-11-14 19:44:42.1430,-0.02,0.07,0.06
2019-11-14 19:44:42.2330,-0.02,0.01,-0.2
2019-11-14 19:44:42.3230,-0.02,-0.03,-0.31
2019-11-14 19:44:42.4130,0.01,-0.03,-0.42
2019-11-14 19:44:42.5100,0.0,0.07,-0.43
2019-11-14 19:44:42.6090,-0.07,-0.17,0.3
2019-11-14 19:44:42.7090,-0.13,-0.2,-0.0
2019-11-14 19:44:42.7750,0.11,-0.16,0.11
2019-11-14 19:44:42.8660,0.09,0.01,0.15
2019-11-14 19:44:42.9550,-0.05,0.06,0.22
2019-11-14 19:44:43.0450,0.05,-0.01,0.11
2019-11-14 19:44:43.1350,0.04,-0.0,0.03
2019-11-14 19:44:43.2260,-0.07,-0.02,0.08
2019-11-14 19:44:43.3160,-0.07,-0.03,-0.01
2019-11-14 19:44:43.4200,-0.01,-0.01,-0.08
2019-11-14 19:44:43.5110,-0.01,-0.02,-0.01
2019-11-14 19:44:43.6120,0.01,0.01,0.03
2019-11-14 19:44:43.6780,-0.0,0.0,0.01
2019-11-14 19:44:43.7680,-0.01,0.0,-0.01
2019-11-14 19:44:43.8580,-0.01,0.0,0.01
2019-11-14 19:44:43.9480,0.01,0.0,0.01
2019-11-14 19:44:44.0380,0.0,0.0,-0.0
2019-11-14 19:44:44.1280,-0.0,0.0,-0.01
2019-11-14 19:44:44.2220,0.0,0.01,-0.01
2019-11-14 19:44:44.3180,0.0,-0.0,0.01
