time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.0648,-0.1630,0.3777,0.416
0.004000,0.0966,-0.1299,0.5241,0.549
0.014000,0.2650,-0.0129,0.6332,0.687
0.014000,0.3862,0.0422,0.7172,0.816
0.015000,0.2808,0.0669,0.6364,0.699
0.019000,-0.0019,-0.0262,0.3539,0.355
0.027000,-0.2972,-0.1715,0.1349,0.369
0.028000,-0.3884,-0.2465,0.1687,0.490
0.033000,-0.3502,-0.2609,-0.0338,0.438
0.042000,-0.3654,-0.2482,-0.0027,0.442
0.044000,0.1104,0.0116,0.5712,0.582
0.049000,0.5140,0.2920,1.0639,1.217
0.052000,0.5112,0.4750,1.4028,1.567
0.058000,0.2225,0.5885,1.5921,1.712
0.064000,-0.0790,0.6654,1.5884,1.724
0.068000,-0.2104,0.7458,1.3128,1.524
0.073000,-0.1465,0.8297,0.9148,1.244
0.076000,0.1033,0.9036,0.5662,1.071
0.083000,0.4051,0.8780,0.3637,1.033
0.087000,0.7087,0.9040,0.2607,1.178
0.092000,0.9868,0.8153,0.2252,1.300
0.098000,0.9458,0.6486,0.2424,1.172
0.101000,0.6649,0.4331,0.1551,0.808
0.113000,0.1863,0.1126,-0.1285,0.253
0.114000,-0.4275,-0.3419,-0.6449,0.846
0.116000,-1.0394,-0.8070,-1.2001,1.781
0.128000,-1.4794,-1.2292,-1.6252,2.518
0.129000,-1.7086,-1.5576,-1.7651,2.909
0.130000,-1.7256,-1.7120,-1.7126,2.973
0.136000,-1.5597,-1.6383,-1.3767,2.648
0.140000,-1.1250,-0.4429,-0.7409,1.418
0.144000,-0.5959,0.4678,-0.5109,0.914
0.148000,-0.1922,0.3283,-0.5664,0.682
0.157000,0.0344,0.2701,-0.3928,0.478
0.160000,0.1471,0.1227,0.1056,0.219
0.163000,0.1447,-0.0099,0.3092,0.342
0.168000,0.1324,-0.0902,0.3524,0.387
0.173000,0.0851,-0.1190,0.3336,0.364
0.179000,0.0254,-0.1203,0.2699,0.297
0.183000,-0.0139,-0.0851,0.2067,0.224
0.189000,-0.0574,-0.0303,0.1465,0.160
0.193000,-0.0596,0.0390,0.0821,0.109
0.197000,-0.0643,0.0389,-0.0080,0.076
0.203000,-0.1004,0.1057,0.0103,0.146
0.207000,-0.0869,0.1168,0.0412,0.151
0.212000,-0.1342,0.1293,0.0033,0.186
0.218000,-0.2401,0.0976,-0.1606,0.305
0.230000,-0.4386,0.0170,-0.4193,0.607
0.230000,-0.6583,-0.1379,-0.7011,0.972
0.231000,-0.8400,-0.3017,-0.9821,1.327
0.237000,-0.9124,-0.4258,-1.1980,1.565
0.242000,-0.7992,-0.5646,-1.3249,1.647
0.245000,-0.6443,-0.6193,-1.3202,1.594
0.251000,-0.5672,-0.6282,-1.1576,1.434
0.256000,-0.5522,-0.5268,-0.9665,1.231
0.261000,-0.5502,-0.4302,-0.7398,1.017
0.265000,-0.5225,-0.3146,-0.4727,0.772
0.268000,-0.4303,-0.1999,-0.2560,0.539
0.275000,-0.2810,-0.0961,-0.0322,0.299
0.280000,-0.0914,-0.0109,0.1389,0.167
0.285000,0.1144,0.0458,0.2670,0.294
0.290000,0.2744,0.0997,0.3141,0.429
0.293000,0.3720,0.1248,0.3303,0.513
0.300000,0.3720,0.1115,0.2344,0.454
0.305000,0.3415,0.0770,0.1149,0.368
0.309000,0.2591,0.0340,-0.0233,0.262
0.314000,0.1964,-0.0432,-0.1350,0.242
0.317000,0.1701,-0.1041,-0.2488,0.319
