time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.1948,-0.1621,-0.2949,0.389
0.004000,0.4435,-0.0883,-0.3755,0.588
0.004000,0.6386,-0.0360,-0.5594,0.850
0.010000,0.6722,0.0144,-0.6457,0.932
0.013000,0.5902,0.0658,-0.5365,0.800
0.018000,0.5079,0.1182,-0.2705,0.587
0.022000,0.4614,0.1522,0.0113,0.486
0.029000,0.4434,0.1786,0.3065,0.568
0.034000,0.3771,0.1872,0.5700,0.709
0.038000,0.2477,0.1369,0.7229,0.776
0.042000,0.0219,0.0508,0.9283,0.930
0.046000,-0.2579,-0.0521,1.2203,1.248
0.052000,-0.5458,-0.1245,1.4293,1.535
0.057000,-0.7899,-0.1340,1.4756,1.679
0.062000,-0.9491,-0.1053,1.2275,1.555
0.067000,-0.9663,-0.0715,0.6828,1.185
0.070000,-0.8585,-0.0341,0.0362,0.860
0.082000,-0.6654,0.0219,-0.5739,0.879
0.083000,-0.4070,0.0975,-1.0389,1.120
0.087000,-0.1493,0.1053,-1.2746,1.288
0.091000,0.0518,0.0980,-1.1784,1.184
0.095000,0.1367,0.0134,-0.8933,0.904
0.100000,0.1123,-0.1060,-0.5133,0.536
0.106000,0.0132,-0.2255,-0.1362,0.264
0.110000,-0.1271,-0.2984,0.1051,0.341
0.115000,-0.2996,-0.3307,0.0931,0.456
0.119000,-0.4298,-0.3560,0.0224,0.559
0.125000,-0.4451,-0.2935,-0.0614,0.537
0.129000,-0.3535,-0.1223,-0.1678,0.410
0.134000,-0.2478,0.0414,-0.2659,0.366
0.139000,-0.1223,0.1887,-0.3488,0.415
0.144000,-0.0264,0.2492,-0.4096,0.480
0.149000,-0.0046,0.2243,-0.3656,0.429
0.154000,-0.0727,0.1242,-0.3244,0.355
0.159000,-0.1920,-0.0051,-0.2647,0.327
0.163000,-0.3006,-0.1017,-0.2674,0.415
0.168000,-0.3536,-0.1587,-0.2867,0.482
0.173000,-0.3088,-0.1909,-0.2823,0.460
0.178000,-0.1622,-0.1511,-0.2495,0.334
0.183000,-0.1187,-0.0428,-0.2740,0.302
0.187000,-0.1586,0.0458,-0.3695,0.405
0.202000,-0.2193,0.0818,-0.4097,0.472
0.202000,-0.2202,0.0683,-0.3666,0.433
