time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.0683,-0.1874,-0.4490,0.491
0.006000,0.0003,-0.1879,-0.4015,0.443
0.006000,0.0913,-0.1348,-0.2260,0.279
0.020000,0.1100,-0.0507,0.0268,0.124
0.020000,0.1025,0.0565,0.2714,0.296
0.021000,0.0758,0.1119,0.4989,0.517
0.023000,0.1029,0.1316,0.7267,0.746
0.028000,0.1423,0.1745,0.9222,0.949
0.033000,0.1910,0.1965,1.0864,1.120
0.039000,0.1892,0.2206,1.2318,1.266
0.041000,0.1746,0.2792,1.3568,1.396
0.049000,0.1592,0.2858,1.3383,1.378
0.052000,0.1732,0.2574,1.2609,1.299
0.056000,0.1591,0.1871,1.1059,1.133
0.061000,0.1450,0.1277,0.9379,0.958
0.066000,0.0837,0.0892,0.8162,0.825
0.072000,0.0400,0.0790,0.7659,0.771
0.076000,0.0619,0.1257,0.7604,0.773
0.081000,0.2089,0.4238,0.6470,0.801
0.086000,0.2474,0.5018,0.4025,0.689
0.089000,0.2179,0.3806,0.4411,0.622
0.096000,0.2571,0.5206,0.4776,0.752
0.100000,0.1015,0.2886,0.1673,0.349
0.105000,-0.0864,0.0023,-0.0907,0.125
0.111000,-0.3657,-0.2919,-0.3500,0.584
0.113000,-0.6714,-0.6309,-0.3996,1.004
0.119000,-0.3614,-0.6507,-0.2155,0.775
0.127000,-0.1398,-0.5677,-0.2459,0.634
0.129000,-0.1055,-0.4254,-0.2826,0.522
0.133000,-0.1718,-0.1938,-0.1139,0.283
0.138000,-0.2831,-0.0210,0.0447,0.287
0.144000,-0.4108,0.0572,0.1892,0.456
0.149000,-0.4127,-0.0327,0.1846,0.453
0.153000,-0.3763,-0.1639,0.2226,0.467
0.158000,-0.3545,-0.2749,0.2578,0.517
0.162000,-0.3525,-0.3378,0.1957,0.526
0.168000,-0.3610,-0.2917,0.2272,0.517
0.172000,-0.3280,-0.2330,0.1310,0.423
0.177000,-0.2425,-0.1457,-0.0132,0.283
0.183000,-0.1460,-0.0586,0.1369,0.209
0.186000,-0.0047,-0.1031,0.0213,0.105
0.192000,0.0929,-0.1500,-0.0728,0.191
0.197000,0.1091,-0.1829,-0.1525,0.262
0.204000,0.0397,-0.1949,-0.3225,0.379
0.206000,0.0178,-0.3000,-0.3232,0.441
0.210000,0.0783,-0.3028,-0.3959,0.505
0.216000,-0.0547,-0.2515,-0.4259,0.498
0.221000,-0.1409,-0.2314,-0.5161,0.583
0.226000,-0.0920,-0.2558,-0.6521,0.706
0.230000,-0.0703,-0.3115,-0.7058,0.775
0.233000,-0.0782,-0.3763,-0.6402,0.747
0.240000,-0.1032,-0.3807,-0.5351,0.665
0.244000,-0.1230,-0.3582,-0.4098,0.558
0.249000,-0.1182,-0.3183,-0.3218,0.468
0.260000,-0.0694,-0.2444,-0.2350,0.346
0.261000,0.0043,-0.1678,-0.2064,0.266
0.263000,0.0788,-0.1358,-0.2001,0.254
0.276000,0.1542,-0.0911,-0.2088,0.275
0.278000,0.1828,-0.0597,-0.2561,0.320
0.278000,0.2218,-0.0345,-0.3013,0.376
0.281000,0.2736,-0.0083,-0.3350,0.433
0.287000,0.2974,-0.0050,-0.3453,0.456
0.292000,0.3244,-0.0057,-0.3465,0.475
0.297000,0.3091,0.0323,-0.3101,0.439
0.303000,0.2897,0.0277,-0.2862,0.408
0.305000,0.2326,0.0139,-0.2792,0.364
0.311000,0.1829,0.0171,-0.2487,0.309
0.317000,0.1594,0.0111,-0.2352,0.284
0.322000,0.1093,-0.0277,-0.2055,0.234
0.327000,0.0637,-0.0612,-0.1714,0.193
0.330000,0.0246,-0.0797,-0.1188,0.145
0.336000,-0.0007,-0.0524,-0.1049,0.117
0.341000,0.0112,-0.0461,-0.1010,0.112
0.345000,0.0082,-0.0274,-0.0856,0.090
0.349000,0.0236,-0.0225,-0.1134,0.118
0.355000,0.0196,-0.0027,-0.1793,0.180
0.360000,0.0035,0.0319,-0.2356,0.238
0.365000,-0.0219,0.0529,-0.2683,0.274
0.371000,-0.0207,0.0463,-0.2680,0.273
0.375000,-0.0263,0.0360,-0.2091,0.214
0.379000,-0.0384,0.0244,-0.1417,0.149
0.384000,-0.0594,0.0161,-0.1157,0.131
0.390000,-0.0444,0.0012,-0.1021,0.111
0.395000,-0.0174,0.0177,-0.0532,0.059
0.399000,-0.0095,0.0438,-0.0238,0.051
0.416000,-0.0275,0.0766,0.0173,0.083
0.417000,-0.0122,0.0897,0.0536,0.105
0.417000,0.0055,0.1045,0.0994,0.144
0.439000,-0.0054,0.1185,0.1380,0.182
0.440000,0.0052,0.1128,0.1839,0.216
0.440000,0.0184,0.0898,0.2464,0.263
0.440000,-0.0038,0.0829,0.2803,0.292
0.441000,-0.0160,0.0681,0.3143,0.322
0.441000,-0.0326,0.0478,0.2940,0.300
0.447000,-0.0372,0.0576,0.2364,0.246
0.451000,-0.0349,0.0474,0.1490,0.160
0.456000,-0.0041,0.0625,0.0652,0.090
0.462000,0.0027,0.0530,0.0063,0.053
0.466000,0.0092,0.0383,-0.0471,0.061
0.471000,0.0062,0.0140,-0.1023,0.103
0.474000,0.0125,0.0160,-0.1475,0.149
0.481000,0.0472,0.0206,-0.1877,0.195
0.486000,0.0698,0.0495,-0.2232,0.239
0.491000,0.0687,0.0457,-0.2066,0.222
0.495000,0.0679,0.0310,-0.1931,0.207
0.499000,0.0701,0.0412,-0.1922,0.209
0.504000,0.0632,0.0310,-0.1872,0.200
0.510000,0.0780,0.0362,-0.1733,0.193
0.514000,0.0670,0.0495,-0.1222,0.148
0.519000,0.0399,0.0231,-0.0838,0.096
0.523000,0.0418,0.0118,-0.0247,0.050
0.530000,-0.0061,-0.0108,0.0146,0.019
0.534000,-0.0107,-0.0044,0.1032,0.104
0.539000,-0.0012,0.0019,0.1603,0.160
0.544000,0.0155,0.0128,0.2169,0.218
0.548000,0.0227,0.0518,0.2591,0.265
0.578000,0.0277,0.0591,0.2489,0.257
