time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.0171,-0.0943,0.1110,0.147
0.006000,-0.0393,-0.2087,0.1178,0.243
0.007000,-0.0681,-0.2665,0.1309,0.305
0.010000,-0.0895,-0.2397,0.1290,0.287
0.014000,-0.0469,-0.1339,0.1905,0.238
0.018000,0.0093,-0.0567,0.2227,0.230
0.027000,0.0553,0.0012,0.2424,0.249
0.029000,0.1078,0.0184,0.2406,0.264
0.033000,0.1694,0.0141,0.2292,0.285
0.038000,0.2475,0.0571,0.2110,0.330
0.051000,0.3044,0.0404,0.2356,0.387
0.052000,0.2935,0.0427,0.2886,0.414
0.054000,0.2060,0.0187,0.3553,0.411
0.064000,0.1232,-0.0004,0.4287,0.446
0.065000,0.0686,0.0086,0.5184,0.523
0.066000,0.0537,0.0432,0.5862,0.590
0.071000,0.0354,0.1171,0.6683,0.679
0.077000,-0.0789,0.1183,0.7430,0.756
0.082000,-0.2414,0.1090,0.7751,0.819
0.086000,-0.2863,0.1552,0.7225,0.793
0.091000,-0.2464,0.1853,0.5432,0.625
0.096000,-0.2250,0.1759,0.1621,0.328
0.102000,-0.2203,0.1018,-0.3032,0.388
0.109000,-0.1441,0.0071,-0.6934,0.708
0.110000,-0.0228,-0.0950,-0.8865,0.892
0.114000,0.0680,-0.2042,-0.8962,0.922
0.120000,0.1123,-0.2680,-0.7740,0.827
0.125000,0.0564,-0.2541,-0.5825,0.638
0.130000,-0.0181,-0.2634,-0.3834,0.466
0.135000,-0.0828,-0.2322,-0.2003,0.318
0.149000,-0.0100,-0.1520,-0.0658,0.166
0.149000,0.0019,-0.0780,-0.0245,0.082
0.150000,0.1150,0.0112,0.0266,0.119
0.154000,0.1673,-0.0200,-0.0076,0.169
0.161000,0.1264,-0.0396,-0.1457,0.197
0.163000,0.3188,0.0475,0.0215,0.323
0.168000,0.4301,0.0149,0.0901,0.440
0.175000,0.2879,-0.0463,-0.0030,0.292
0.178000,0.1051,-0.1074,-0.0500,0.158
0.183000,0.0260,-0.1491,-0.0158,0.152
0.186000,0.0117,-0.1836,0.0017,0.184
0.192000,0.0401,-0.1968,-0.0045,0.201
0.199000,0.0348,-0.2196,-0.0246,0.224
0.203000,0.0129,-0.2306,-0.0753,0.243
0.207000,-0.0112,-0.2273,-0.1375,0.266
0.211000,-0.0280,-0.2784,-0.1849,0.335
0.216000,-0.0184,-0.2813,-0.2275,0.362
0.221000,-0.0181,-0.2908,-0.2891,0.410
0.226000,-0.0865,-0.2973,-0.4193,0.521
0.232000,-0.2402,-0.3267,-0.6345,0.753
0.235000,-0.3365,-0.3260,-0.6897,0.834
0.241000,-0.3308,-0.3285,-0.6054,0.764
0.246000,-0.2424,-0.3177,-0.4681,0.616
0.251000,-0.1833,-0.2656,-0.3328,0.464
0.266000,-0.1459,-0.1990,-0.2298,0.337
0.266000,-0.1180,-0.0640,-0.1208,0.181
0.267000,-0.0519,0.0460,-0.0599,0.092
0.270000,-0.0314,0.1284,-0.0205,0.134
0.278000,-0.0489,0.1853,-0.0117,0.192
0.279000,-0.0426,0.1861,0.0239,0.192
0.283000,-0.0246,0.1883,0.0836,0.207
0.288000,-0.0116,0.1752,0.1269,0.217
0.294000,-0.0247,0.1635,0.1207,0.205
0.298000,-0.0520,0.1604,0.0535,0.177
0.304000,-0.0937,0.1519,0.0183,0.179
0.308000,-0.1046,0.1260,-0.0351,0.168
0.313000,-0.1350,0.1164,-0.1162,0.213
0.318000,-0.1708,0.0948,-0.2060,0.284
0.323000,-0.1740,0.0522,-0.2475,0.307
0.327000,-0.1330,0.0197,-0.2677,0.300
0.332000,-0.0599,0.0098,-0.2716,0.278
0.337000,-0.0092,0.0435,-0.2714,0.275
0.342000,0.0312,0.0805,-0.2387,0.254
0.347000,0.0594,0.1421,-0.1761,0.234
0.353000,0.0992,0.1615,-0.0651,0.200
0.362000,0.1414,0.1744,0.0897,0.242
0.363000,0.0954,0.1755,0.1884,0.275
0.366000,-0.0239,0.2098,0.0987,0.233
0.371000,-0.0948,0.1985,0.0123,0.220
0.376000,-0.0822,0.1140,0.0238,0.143
0.380000,-0.0506,0.0376,0.1537,0.166
0.386000,-0.0046,0.0045,0.2351,0.235
0.400000,0.0060,0.0333,0.2375,0.240
0.401000,0.0028,0.0781,0.2449,0.257
0.401000,-0.0116,0.0866,0.2169,0.234
0.404000,-0.0419,0.0874,0.1775,0.202
0.416000,-0.0857,0.0760,0.1720,0.207
0.417000,-0.0981,0.0619,0.1430,0.184
0.419000,-0.1364,0.0240,0.0979,0.170
0.425000,-0.1654,-0.0235,0.0390,0.172
0.428000,-0.1759,-0.0636,0.0093,0.187
0.433000,-0.1965,-0.1106,-0.0462,0.230
0.438000,-0.1796,-0.1120,-0.1060,0.237
0.443000,-0.1420,-0.1367,-0.1253,0.234
0.449000,-0.0815,-0.1275,-0.1020,0.183
0.452000,-0.0148,-0.0893,-0.1055,0.139
0.458000,0.0585,-0.0629,-0.0522,0.100
0.463000,0.1101,-0.0007,-0.0233,0.112
0.469000,0.1330,0.0182,-0.0351,0.139
0.473000,0.1349,0.0323,-0.0657,0.154
