time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.1804,0.0068,-0.5164,0.547
0.005000,0.1162,0.0406,-0.4480,0.465
0.005000,0.0032,0.0549,-0.3600,0.364
0.009000,-0.0204,0.0973,-0.2281,0.249
0.012000,-0.0124,0.1217,-0.0209,0.124
0.018000,0.0437,0.1506,0.2316,0.280
0.023000,0.0597,0.1818,0.4605,0.499
0.027000,0.0482,0.1743,0.6759,0.700
0.037000,0.0452,0.1756,0.9068,0.925
0.037000,0.0527,0.1923,1.1534,1.170
0.042000,0.0921,0.2714,1.4228,1.451
0.047000,0.1036,0.3837,1.6369,1.684
0.052000,0.0522,0.4748,1.7948,1.857
0.057000,-0.0441,0.4844,1.8207,1.885
0.060000,-0.2052,0.4386,1.6980,1.766
0.067000,-0.3936,0.3185,1.3722,1.463
0.071000,-0.4836,0.1532,0.9196,1.050
0.076000,-0.5091,0.0391,0.4523,0.682
0.081000,-0.4249,-0.0257,0.0487,0.428
0.085000,-0.2762,-0.0236,-0.2775,0.392
0.090000,-0.0717,0.0217,-0.4504,0.457
0.095000,0.1295,0.1632,-0.4990,0.541
0.110000,0.3091,0.3099,-0.4165,0.604
0.111000,0.3980,0.4281,-0.2915,0.653
0.111000,0.3751,0.4767,-0.1594,0.627
0.115000,0.2476,0.4341,-0.0942,0.509
0.121000,0.0844,0.2908,-0.0813,0.313
0.125000,-0.0738,0.1437,-0.0796,0.180
0.129000,-0.1701,0.0046,-0.0443,0.176
0.133000,-0.2263,-0.1169,-0.0257,0.256
0.139000,-0.1855,-0.1498,0.0144,0.239
0.144000,-0.0739,-0.1208,0.0257,0.144
0.149000,-0.0225,-0.0281,0.0324,0.048
0.156000,-0.0352,0.0495,0.0200,0.064
0.157000,-0.0497,0.0838,-0.0279,0.101
0.164000,-0.0758,0.0491,-0.0685,0.113
0.168000,-0.1185,-0.0278,-0.1279,0.177
0.174000,-0.1423,-0.1536,-0.1846,0.279
0.177000,-0.1950,-0.2781,-0.2315,0.411
0.184000,-0.2146,-0.3965,-0.2782,0.530
0.188000,-0.2252,-0.4161,-0.2655,0.543
0.192000,-0.1863,-0.4021,-0.2626,0.515
0.197000,-0.1526,-0.3332,-0.2505,0.444
0.202000,-0.0624,-0.2196,-0.2623,0.348
0.206000,-0.0088,-0.1520,-0.3026,0.339
0.212000,0.0228,-0.0851,-0.3068,0.319
0.216000,0.0729,-0.0499,-0.3131,0.325
0.221000,0.0749,-0.0176,-0.2622,0.273
0.226000,0.0934,-0.0143,-0.2186,0.238
0.230000,0.0930,0.0003,-0.2083,0.228
0.239000,0.0570,-0.0140,-0.2168,0.225
0.241000,0.0473,-0.0523,-0.2581,0.268
0.245000,0.0517,-0.0764,-0.2371,0.254
0.249000,0.0580,-0.0864,-0.2041,0.229
0.253000,0.0259,-0.0942,-0.1996,0.222
0.260000,0.0457,-0.0880,-0.2020,0.225
0.264000,0.0647,-0.0891,-0.1853,0.216
0.270000,0.1019,-0.1069,-0.1235,0.193
0.274000,0.1433,-0.1057,-0.0930,0.201
0.279000,0.1842,-0.1212,-0.0958,0.240
0.284000,0.1821,-0.1222,-0.1486,0.265
0.288000,0.1706,-0.1278,-0.2296,0.313
0.293000,0.1473,-0.1352,-0.2961,0.357
0.298000,0.0957,-0.1610,-0.3410,0.389
0.301000,0.0254,-0.2121,-0.3529,0.412
0.308000,-0.0206,-0.2714,-0.3082,0.411
0.312000,-0.0352,-0.2917,-0.2811,0.407
0.318000,-0.0352,-0.2944,-0.2358,0.379
0.322000,0.0105,-0.2656,-0.1700,0.316
0.325000,0.0705,-0.1844,-0.1124,0.227
0.332000,0.1450,-0.1060,-0.0672,0.192
0.337000,0.1766,-0.0520,-0.0248,0.186
0.341000,0.2036,-0.0131,-0.0086,0.204
0.345000,0.2470,0.0109,0.0006,0.247
0.352000,0.2973,0.0247,0.0077,0.298
0.356000,0.3235,0.0213,0.0343,0.326
0.360000,0.3379,0.0245,0.0110,0.339
0.365000,0.3430,0.0297,0.0001,0.344
0.369000,0.3482,0.0464,0.0062,0.351
0.375000,0.2823,0.0367,0.0101,0.285
0.380000,0.2551,0.0269,0.0020,0.257
0.393000,0.2047,0.0078,-0.0202,0.206
0.394000,0.1501,-0.0253,-0.0209,0.154
0.394000,0.0912,-0.0534,-0.0383,0.112
0.398000,0.0019,-0.1214,-0.1412,0.186
0.411000,-0.0631,-0.1862,-0.1912,0.274
0.412000,-0.1280,-0.2382,-0.2410,0.362
0.414000,-0.1740,-0.2989,-0.2884,0.450
0.421000,-0.1751,-0.2778,-0.3263,0.463
0.422000,-0.1767,-0.2561,-0.3145,0.442
0.428000,-0.1263,-0.2291,-0.2940,0.394
0.434000,-0.0883,-0.1588,-0.2197,0.285
0.438000,-0.0413,-0.0955,-0.1631,0.193
0.441000,0.0029,-0.0395,-0.0907,0.099
0.446000,0.0062,-0.0050,-0.0192,0.021
0.454000,0.0425,-0.0182,0.0517,0.069
0.457000,0.0450,-0.0053,0.0938,0.104
0.461000,0.0710,0.0023,0.1167,0.137
0.468000,0.0493,-0.0070,0.0969,0.109
0.471000,0.0372,-0.0095,0.0776,0.087
0.477000,-0.0225,-0.0075,0.0801,0.084
0.481000,-0.0462,-0.0296,0.0519,0.075
0.486000,-0.0651,-0.0185,0.0598,0.090
0.491000,-0.0553,-0.0529,0.0488,0.091
0.495000,-0.0454,-0.0896,0.0643,0.119
0.513000,-0.0759,-0.0907,0.0680,0.136
0.514000,-0.1394,-0.1064,0.0505,0.183
0.515000,-0.2003,-0.1340,0.0286,0.243
