time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.4854,-0.5588,-0.3215,0.807
0.002000,-0.2270,-0.5054,-0.2927,0.627
0.005000,0.0770,-0.4116,-0.1816,0.456
0.011000,0.2992,-0.2471,-0.0386,0.390
0.015000,0.4106,-0.0769,0.0890,0.427
0.019000,0.4338,0.0626,0.2397,0.500
0.024000,0.4046,0.1402,0.3622,0.561
0.035000,0.3463,0.2080,0.5450,0.678
0.036000,0.2561,0.2463,0.7792,0.856
0.039000,0.1765,0.2617,0.9723,1.022
0.043000,0.0952,0.2609,1.1634,1.196
0.048000,0.0337,0.2532,1.3149,1.339
0.054000,-0.0776,0.2665,1.4298,1.457
0.063000,-0.2123,0.2793,1.4328,1.475
0.064000,-0.3659,0.2631,1.3602,1.433
0.068000,-0.4179,0.2515,1.1674,1.265
0.073000,-0.4264,0.2140,0.8645,0.987
0.077000,-0.3970,0.2012,0.5043,0.673
0.083000,-0.3489,0.1850,0.1080,0.409
0.088000,-0.2848,0.1614,-0.2702,0.424
0.093000,-0.2543,0.0883,-0.5883,0.647
0.095000,-0.2354,-0.0119,-0.7857,0.820
0.102000,-0.2300,-0.0841,-0.8209,0.857
0.108000,-0.2115,-0.1401,-0.7455,0.787
0.111000,-0.2130,-0.1539,-0.5556,0.615
0.116000,-0.2362,-0.1524,-0.2993,0.411
0.120000,-0.2763,-0.1361,-0.0718,0.316
0.126000,-0.3189,-0.1247,0.1040,0.358
0.132000,-0.3143,-0.0663,0.2100,0.384
0.135000,-0.2891,-0.0045,0.2161,0.361
0.141000,-0.2435,0.0556,0.1949,0.317
0.143000,-0.1630,0.1259,0.2130,0.296
0.150000,-0.0263,0.1683,0.2083,0.269
0.154000,0.0979,0.2424,0.2047,0.332
0.159000,0.2246,0.3144,0.1978,0.434
0.163000,0.2661,0.3489,0.2158,0.489
0.168000,0.2587,0.3817,0.2728,0.536
0.180000,0.2052,0.3322,0.2784,0.480
0.180000,0.1196,0.2534,0.2565,0.380
0.184000,0.0496,0.1387,0.1004,0.178
0.188000,-0.0339,-0.0110,-0.0280,0.045
0.192000,-0.0717,-0.1523,-0.1079,0.200
0.197000,-0.0926,-0.2800,-0.2018,0.357
0.202000,-0.1607,-0.3367,-0.2960,0.476
0.209000,-0.1950,-0.3822,-0.3335,0.543
0.212000,-0.2339,-0.4353,-0.3342,0.597
0.215000,-0.2536,-0.4555,-0.3033,0.603
0.221000,-0.2637,-0.4929,-0.2669,0.619
0.227000,-0.2502,-0.4741,-0.1894,0.569
0.231000,-0.2084,-0.4305,-0.1682,0.507
0.236000,-0.1671,-0.3674,-0.1623,0.435
0.240000,-0.1192,-0.2664,-0.1663,0.336
0.246000,-0.0765,-0.1469,-0.1754,0.241
0.251000,-0.0126,-0.0591,-0.1537,0.165
0.255000,0.0153,0.0090,-0.1584,0.159
0.260000,0.0313,0.0265,-0.1011,0.109
0.265000,0.0664,0.0388,-0.0820,0.112
0.270000,0.1087,0.0553,-0.0627,0.137
0.281000,0.1485,0.0544,-0.0548,0.167
0.282000,0.1718,0.0553,-0.0131,0.181
0.287000,0.1953,0.0743,-0.0066,0.209
0.288000,0.1882,0.0878,0.0336,0.210
0.295000,0.1675,0.1267,0.0147,0.211
0.299000,0.1069,0.1220,-0.0060,0.162
0.304000,0.0401,0.1170,-0.0807,0.148
0.308000,-0.0072,0.0598,-0.1477,0.159
0.312000,-0.0684,0.0078,-0.0884,0.112
0.318000,-0.1410,-0.0719,-0.0938,0.184
0.324000,-0.2036,-0.1008,-0.1399,0.267
0.328000,-0.2376,-0.1503,-0.1766,0.332
0.333000,-0.2504,-0.1559,-0.1851,0.348
0.336000,-0.2399,-0.1206,-0.1561,0.311
0.343000,-0.2014,-0.1041,-0.1326,0.263
0.348000,-0.1730,-0.0659,-0.1143,0.218
0.352000,-0.1311,-0.0612,-0.0821,0.166
0.357000,-0.1089,-0.0470,-0.0192,0.120
0.361000,-0.0706,-0.0354,0.0528,0.095
0.367000,-0.0493,-0.0124,0.0983,0.111
0.372000,0.0002,0.0077,0.1510,0.151
0.376000,0.0257,0.0581,0.1751,0.186
0.381000,0.0606,0.0909,0.2232,0.249
0.384000,0.0667,0.0993,0.2263,0.256
0.404000,0.0656,0.1025,0.1988,0.233
0.405000,0.0524,0.0886,0.1909,0.217
0.406000,0.0368,0.0318,0.2380,0.243
0.406000,0.0399,0.0106,0.3018,0.305
0.418000,-0.0429,0.0270,0.1970,0.203
0.419000,-0.1490,0.0311,-0.0181,0.153
0.420000,-0.1880,0.0140,-0.1462,0.239
0.426000,-0.1511,-0.0379,-0.1907,0.246
0.428000,-0.0911,-0.0434,-0.1312,0.166
0.433000,-0.0648,-0.0410,0.0006,0.077
0.439000,-0.0527,0.0169,0.1306,0.142
0.443000,-0.0759,0.0438,0.2068,0.225
0.448000,-0.0841,0.1042,0.2273,0.264
0.452000,-0.0896,0.1334,0.2428,0.291
0.458000,-0.0686,0.1339,0.2770,0.315
0.463000,-0.0595,0.1486,0.3015,0.341
0.468000,-0.0504,0.1509,0.3334,0.369
0.475000,-0.0817,0.1123,0.3369,0.364
0.477000,-0.0679,0.1018,0.3316,0.353
0.481000,-0.0543,0.0836,0.3056,0.321
0.489000,-0.0386,0.0508,0.2946,0.301
0.504000,-0.0065,0.0676,0.2676,0.276
0.505000,0.0111,0.0744,0.2388,0.250
0.505000,0.0335,0.0785,0.2294,0.245
0.506000,0.0345,0.0896,0.2202,0.240
0.517000,0.0379,0.0931,0.1852,0.211
0.517000,0.0413,0.0967,0.1672,0.198
0.520000,0.0210,0.0669,0.1185,0.138
0.524000,0.0079,0.0539,0.1130,0.125
0.529000,0.0161,0.0292,0.1076,0.113
0.535000,0.0194,0.0023,0.0808,0.083
0.541000,0.0058,-0.0219,0.0779,0.081
0.544000,-0.0126,-0.0033,0.0609,0.062
0.549000,-0.0074,-0.0013,0.0606,0.061
0.553000,-0.0286,0.0148,0.0389,0.051
0.559000,-0.0498,0.0355,0.0270,0.067
0.564000,-0.0829,0.0229,-0.0205,0.088
0.569000,-0.0826,0.0105,-0.0867,0.120
0.574000,-0.0730,-0.0132,-0.1124,0.135
0.578000,-0.0778,-0.0293,-0.0931,0.125
0.584000,-0.0588,-0.0449,-0.1003,0.125
0.604000,-0.0423,-0.0507,-0.0745,0.100
0.607000,-0.0138,-0.0301,-0.0563,0.065
0.607000,-0.0018,-0.0144,-0.0453,0.048
0.607000,0.0245,0.0320,-0.0368,0.055
0.608000,0.0272,0.0541,-0.0021,0.061
0.613000,0.0490,0.0902,0.0515,0.115
0.617000,0.0426,0.0878,0.1047,0.143
0.620000,0.0271,0.1018,0.1434,0.178
0.626000,0.0098,0.1037,0.1868,0.214
0.632000,-0.0024,0.0791,0.2276,0.241
0.636000,-0.0238,0.0496,0.2377,0.244
0.641000,-0.0023,0.0341,0.2196,0.222
0.646000,-0.0309,0.0205,0.1714,0.175
0.650000,-0.0404,0.0208,0.0743,0.087
0.657000,-0.0286,0.0110,-0.0145,0.034
0.661000,-0.0552,0.0033,-0.1068,0.120
0.665000,-0.0415,-0.0068,-0.1982,0.203
0.670000,-0.0188,-0.0263,-0.2486,0.251
0.675000,-0.0226,-0.0170,-0.2677,0.269
0.681000,-0.0287,-0.0265,-0.2371,0.240
0.685000,-0.0444,-0.0428,-0.2117,0.221
0.691000,-0.0623,-0.0681,-0.1893,0.211
0.694000,-0.0708,-0.0573,-0.1697,0.193
0.698000,-0.0796,-0.0556,-0.1768,0.202
0.704000,-0.1241,-0.0606,-0.2175,0.258
0.710000,-0.1257,-0.0795,-0.2464,0.288
0.714000,-0.0659,-0.0880,-0.2613,0.284
0.717000,-0.0542,-0.0745,-0.2460,0.263
0.736000,-0.0401,-0.0843,-0.1932,0.215
0.737000,-0.0167,-0.0818,-0.1414,0.164
0.738000,-0.0077,-0.0932,-0.1068,0.142
0.739000,0.0013,-0.0759,-0.1155,0.138
0.756000,0.0080,-0.0539,-0.1193,0.131
0.757000,0.0242,-0.0534,-0.1114,0.126
0.757000,0.0284,-0.0530,-0.1153,0.130
0.759000,0.0517,-0.0454,-0.1121,0.131
0.761000,0.0628,-0.0214,-0.1088,0.127
0.766000,0.0833,-0.0095,-0.0913,0.124
0.770000,0.0990,-0.0073,-0.0571,0.114
0.777000,0.0813,-0.0220,-0.0634,0.105
0.781000,0.0969,-0.0034,-0.0291,0.101
0.786000,0.0816,-0.0017,-0.0402,0.091
0.791000,0.0712,-0.0024,-0.0392,0.081
0.794000,0.0583,-0.0198,-0.0502,0.079
0.801000,0.0574,-0.0368,-0.0588,0.090
0.809000,0.0279,-0.0441,-0.0389,0.065
0.811000,0.0296,-0.0678,-0.0336,0.081
0.815000,0.0359,-0.0911,-0.0333,0.103
0.819000,0.0162,-0.1046,-0.0331,0.111
0.835000,-0.0082,-0.1012,-0.0568,0.116
0.837000,-0.0016,-0.1215,-0.0853,0.148
0.837000,-0.0119,-0.1152,-0.0685,0.135
0.838000,0.0061,-0.1493,-0.0615,0.162
0.856000,0.0166,-0.1782,-0.0452,0.185
0.857000,0.0364,-0.1592,-0.0196,0.165
0.858000,0.0347,-0.1499,0.0129,0.154
0.859000,0.0329,-0.1550,0.0499,0.166
0.863000,0.0358,-0.1174,0.0701,0.141
0.867000,0.0341,-0.1230,0.0761,0.149
0.875000,0.0420,-0.1099,0.0632,0.134
0.877000,0.0548,-0.1210,0.0342,0.137
0.883000,0.0913,-0.1228,-0.0393,0.158
0.886000,0.1488,-0.1558,-0.1024,0.238
0.891000,0.2030,-0.1722,-0.1219,0.293
0.897000,0.2374,-0.1960,-0.1052,0.325
0.901000,0.3469,-0.2223,-0.1311,0.432
0.907000,0.5145,-0.2295,-0.0996,0.572
0.911000,0.6285,-0.2061,0.0174,0.662
0.915000,0.6586,-0.1807,0.1264,0.695
0.921000,0.6416,-0.1959,0.1396,0.685
0.925000,0.6159,-0.2300,0.1337,0.671
0.931000,0.5698,-0.2542,0.0898,0.630
0.934000,0.5201,-0.2805,0.0057,0.591
0.952000,0.4479,-0.3016,-0.0993,0.549
0.953000,0.3771,-0.3344,-0.1703,0.532
0.954000,0.3002,-0.3524,-0.2860,0.544
0.955000,0.2337,-0.3560,-0.3842,0.574
0.973000,0.1796,-0.3379,-0.4936,0.625
0.975000,0.1353,-0.3365,-0.5881,0.691
0.975000,0.1384,-0.3183,-0.6558,0.742
0.976000,0.1362,-0.2855,-0.6878,0.757
0.979000,0.0980,-0.2597,-0.6867,0.741
0.983000,0.0168,-0.2691,-0.6552,0.709
0.988000,-0.0310,-0.2281,-0.6767,0.715
0.994000,-0.0693,-0.2605,-0.6821,0.733
0.999000,-0.1219,-0.2944,-0.6950,0.765
1.003000,-0.1840,-0.3249,-0.6966,0.790
1.007000,-0.2342,-0.3119,-0.6797,0.784
1.011000,-0.2728,-0.3127,-0.6564,0.777
1.017000,-0.2882,-0.3249,-0.6218,0.758
1.023000,-0.2997,-0.3415,-0.5616,0.722
1.027000,-0.2643,-0.3412,-0.5092,0.667
1.031000,-0.2089,-0.3195,-0.4547,0.594
1.036000,-0.1308,-0.2697,-0.4978,0.581
1.042000,-0.0327,-0.2085,-0.5239,0.565
1.047000,0.0425,-0.1361,-0.5186,0.538
1.051000,0.1190,-0.0382,-0.4920,0.508
1.070000,0.1541,-0.0076,-0.4062,0.435
1.071000,0.1460,0.0038,-0.3093,0.342
1.071000,0.1588,0.0198,-0.2653,0.310
1.072000,0.2130,0.0758,-0.4398,0.495
1.092000,0.1955,0.0098,-0.1755,0.263
1.094000,0.2503,-0.0252,-0.0457,0.256
1.094000,0.3198,-0.0106,-0.0137,0.320
1.095000,0.3474,-0.0106,0.0706,0.355
1.095000,0.2479,0.0486,0.1497,0.294
1.099000,-0.0298,0.0860,0.1997,0.220
1.103000,0.3132,0.1212,0.1920,0.387
1.109000,0.7454,0.2019,0.3454,0.846
1.115000,0.9394,0.3697,0.6826,1.219
1.119000,0.7701,0.5976,0.8274,1.279
1.125000,0.3908,0.8111,0.6081,1.086
1.127000,0.0880,1.0060,0.3551,1.070
1.134000,-0.1091,1.0306,0.5340,1.166
1.138000,0.3398,1.3398,0.6497,1.527
1.149000,0.9815,1.8760,0.8291,2.274
1.150000,1.2742,1.5919,1.4973,2.530
1.151000,1.1534,1.5446,1.7896,2.630
1.164000,0.5855,1.5250,1.9187,2.520
1.165000,1.0538,1.8061,1.5175,2.584
