time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,-0.2559,-0.0660,0.1873,0.324
0.004000,-0.1519,-0.0375,0.3133,0.350
0.006000,-0.0342,-0.0187,0.4454,0.447
0.010000,0.0357,0.0659,0.5576,0.563
0.016000,0.0936,0.1728,0.6171,0.648
0.019000,0.1397,0.2825,0.6624,0.734
0.024000,0.1953,0.3901,0.6772,0.806
0.033000,0.2677,0.4546,0.7355,0.905
0.035000,0.3451,0.4883,0.7848,0.987
0.040000,0.4394,0.5790,0.7565,1.049
0.044000,0.5811,0.6981,0.7364,1.169
0.051000,0.6320,0.6928,0.7629,1.209
0.054000,0.5381,0.6068,0.7169,1.082
0.059000,0.4068,0.4835,0.4827,0.795
0.065000,0.3161,0.3141,0.1946,0.486
0.067000,0.0394,0.0736,-0.2185,0.234
0.073000,-0.2681,-0.2007,-0.6517,0.733
0.078000,-0.3689,-0.4169,-0.8278,0.998
0.085000,-0.3733,-0.5721,-0.8801,1.114
0.088000,-0.4688,-0.7113,-0.8790,1.224
0.091000,-0.2791,-0.5896,-0.7515,0.995
0.106000,-0.2404,-0.4398,-0.6814,0.846
0.107000,-0.3085,-0.3241,-0.5731,0.727
0.107000,-0.3094,-0.2236,-0.4479,0.589
0.112000,-0.1701,-0.1604,-0.2226,0.323
0.120000,0.0729,-0.0541,0.0336,0.097
0.120000,0.3097,0.0915,0.2212,0.391
0.127000,0.4743,0.2208,0.3531,0.631
0.131000,0.3940,0.1317,0.2307,0.475
0.136000,0.5034,0.0036,0.4781,0.694
0.140000,0.9009,0.3873,0.6914,1.200
0.144000,1.0168,0.7745,0.7025,1.458
0.150000,0.9081,0.7852,0.4398,1.278
0.156000,0.7196,0.5276,-0.0142,0.892
0.161000,0.4581,0.2237,-0.3687,0.629
0.165000,0.2379,-0.1374,-0.5350,0.601
0.169000,0.0610,-0.3478,-0.5148,0.624
0.174000,-0.0160,-0.3778,-0.3194,0.495
0.180000,-0.1064,-0.3812,-0.2800,0.485
0.185000,-0.2979,-0.3679,-0.4238,0.635
0.188000,-0.4573,-0.4160,-0.6355,0.887
0.193000,-0.4971,-0.5365,-0.8529,1.124
0.199000,-0.3778,-0.4506,-0.9481,1.116
0.204000,-0.2309,-0.3757,-0.8582,0.965
0.209000,-0.3882,-0.4139,-0.7058,0.906
0.212000,-0.1396,-0.1514,-0.5839,0.619
0.223000,-0.0270,0.0078,-0.4872,0.488
0.224000,0.0008,0.0713,-0.3632,0.370
0.227000,0.0326,0.1275,-0.2215,0.258
0.237000,0.0186,0.1263,-0.1331,0.184
0.237000,-0.0313,0.0558,-0.0618,0.089
0.241000,-0.1219,-0.0384,-0.0194,0.129
0.248000,-0.1912,-0.2013,-0.0148,0.278
0.252000,-0.2059,-0.3419,-0.0030,0.399
0.258000,-0.2089,-0.3748,-0.0077,0.429
0.261000,-0.2259,-0.4099,0.0281,0.469
0.266000,-0.2709,-0.4022,0.0495,0.487
0.271000,-0.3009,-0.3162,0.0659,0.441
0.277000,-0.2424,-0.1077,-0.0387,0.268
0.282000,-0.1919,0.0700,-0.0210,0.205
