time,ax,ay,az
2019-11-14 20:10:00.3870,-0.0,-0.01,0.01
2019-11-14 20:10:00.4290,0.0,-0.03,0.01
2019-11-14 20:10:00.5330,0.02,-0.0,-0.01
2019-11-14 20:10:00.6080,-0.0,0.01,0.01
2019-11-14 20:10:00.7010,-0.01,0.03,0.06
2019-11-14 20:10:00.7890,0.03,-0.05,-0.04
2019-11-14 20:10:00.8790,-0.0,-0.02,-0.03
2019-11-14 20:10:00.9690,-0.01,-0.01,0.01
2019-11-14 20:10:01.0610,-0.0,0.03,0.01
2019-11-14 20:10:01.1500,-0.01,0.03,0.03
2019-11-14 20:10:01.2430,-0.01,-0.01,0.07
2019-11-14 20:10:01.3420,-0.0,-0.06,-0.05
2019-11-14 20:10:01.4440,-0.04,-0.02,-0.02
2019-11-14 20:10:01.5120,-0.0,0.02,0.02
2019-11-14 20:10:01.6060,0.0,-0.0,0.06
2019-11-14 20:10:01.6920,0.01,-0.0,-0.01
2019-11-14 20:10:01.7820,0.0,0.0,0.0
2019-11-14 20:10:01.8720,-0.01,0.01,0.03
2019-11-14 20:10:01.9640,0.01,-0.02,-0.0
2019-11-14 20:10:02.0520,-0.0,-0.02,-0.02
2019-11-14 20:10:02.1460,-0.01,0.02,0.05
2019-11-14 20:10:02.2420,-0.0,0.01,0.02
2019-11-14 20:10:02.3460,0.0,-0.02,0.07
2019-11-14 20:10:02.4150,-0.03,0.02,0.13
2019-11-14 20:10:02.5080,-0.32,0.29,0.65
2019-11-14 20:10:02.5940,-0.51,0.51,0.67
2019-11-14 20:10:02.6840,-0.69,0.12,0.23
2019-11-14 20:10:02.7750,-0.36,-0.66,-0.16
2019-11-14 20:10:02.8670,0.22,-0.73,0.24
2019-11-14 20:10:02.9550,0.71,-0.03,0.64
2019-11-14 20:10:03.0510,1.28,0.54,-7.17
2019-11-14 20:10:03.1480,1.07,0.38,0.53
2019-11-14 20:10:03.2480,1.03,0.53,-0.39
2019-11-14 20:10:03.3170,-0.16,-0.68,-1.29
2019-11-14 20:10:03.4110,1.68,0.82,5.14
2019-11-14 20:10:03.4970,-0.31,0.08,-0.67
2019-11-14 20:10:03.5870,-0.28,-0.05,-0.21
2019-11-14 20:10:03.6770,-0.26,0.05,-0.0
2019-11-14 20:10:03.7700,-0.26,0.04,0.03
2019-11-14 20:10:03.8580,-0.26,0.03,0.04
2019-11-14 20:10:03.9500,-0.25,0.04,0.04
2019-11-14 20:10:04.0490,-0.24,0.03,0.03
2019-11-14 20:10:04.1490,-0.25,0.04,-0.0
2019-11-14 20:10:04.2190,-0.19,-0.0,0.01
2019-11-14 20:10:04.3160,-0.3,-0.07,0.04
2019-11-14 20:10:04.4000,-0.19,0.06,0.06
2019-11-14 20:10:04.4900,-0.14,0.2,0.11
2019-11-14 20:10:04.5800,-0.21,0.05,0.07
2019-11-14 20:10:04.6720,-0.19,0.03,0.06
2019-11-14 20:10:04.7610,-0.22,0.03,-0.01
2019-11-14 20:10:04.8530,-0.2,0.03,0.03
2019-11-14 20:10:04.9540,-0.26,0.03,0.02
2019-11-14 20:10:05.0540,-0.17,0.03,-0.05
2019-11-14 20:10:05.1230,-0.15,-0.02,0.1
2019-11-14 20:10:05.2170,0.25,0.28,0.4
2019-11-14 20:10:05.3030,0.15,0.46,0.24
2019-11-14 20:10:05.3930,0.42,0.73,0.1
2019-11-14 20:10:05.4830,0.05,0.41,-0.07
2019-11-14 20:10:05.5750,-0.08,0.13,0.1
2019-11-14 20:10:05.6640,-0.15,0.11,-0.04
2019-11-14 20:10:05.7560,-0.12,0.14,0.01
2019-11-14 20:10:05.8570,-0.18,0.11,-0.11
2019-11-14 20:10:05.9550,-0.17,0.08,-0.1
2019-11-14 20:10:06.0250,-0.1,0.11,0.02
2019-11-14 20:10:06.1190,-0.09,0.11,0.08
2019-11-14 20:10:06.2060,-0.18,0.05,0.03
